Contig	220804_BK_C1_DNA_brine_C.sorted RPKM	220804_BK_C1_DNA_brine_C.sorted Covered Fraction	220805_BK_F1_DNA_brine.sorted RPKM	220805_BK_F1_DNA_brine.sorted Covered Fraction	220805_BK_F3_DNA_brine_C.sorted RPKM	220805_BK_F3_DNA_brine_C.sorted Covered Fraction	220805_MW_S1_DNA_Brine.sorted RPKM	220805_MW_S1_DNA_Brine.sorted Covered Fraction	220805_MW_S2_DNA_Brine_B.sorted RPKM	220805_MW_S2_DNA_Brine_B.sorted Covered Fraction	220805_MW_S3_DNA_Brine.sorted RPKM	220805_MW_S3_DNA_Brine.sorted Covered Fraction	220805_MW_S4_DNA_Brine.sorted RPKM	220805_MW_S4_DNA_Brine.sorted Covered Fraction	220806_BK_F5_DNA_brine_A.sorted RPKM	220806_BK_F5_DNA_brine_A.sorted Covered Fraction	220806_BK_F6D_DNA_brine.sorted RPKM	220806_BK_F6D_DNA_brine.sorted Covered Fraction	220806_BK_F6E_DNA_brine.sorted RPKM	220806_BK_F6E_DNA_brine.sorted Covered Fraction	220806_MW_S5_DNA_Brine_A.sorted RPKM	220806_MW_S5_DNA_Brine_A.sorted Covered Fraction	220806_MW_S6_DNA_Brine.sorted RPKM	220806_MW_S6_DNA_Brine.sorted Covered Fraction	220807_BK_F8_DNA_brine_C.sorted RPKM	220807_BK_F8_DNA_brine_C.sorted Covered Fraction	220807_MW_S7_DNA_Brine_B.sorted RPKM	220807_MW_S7_DNA_Brine_B.sorted Covered Fraction	220807_MW_S8_DNA_Brine_A.sorted RPKM	220807_MW_S8_DNA_Brine_A.sorted Covered Fraction	220808_BK_F10_DNA_brine_B.sorted RPKM	220808_BK_F10_DNA_brine_B.sorted Covered Fraction	220808_BK_F11_DNA_brine_A.sorted RPKM	220808_BK_F11_DNA_brine_A.sorted Covered Fraction	220808_BK_F12_DNA_brine_C.sorted RPKM	220808_BK_F12_DNA_brine_C.sorted Covered Fraction	220808_BK_F13_DNA_brine_C.sorted RPKM	220808_BK_F13_DNA_brine_C.sorted Covered Fraction	220808_BK_F14_DNA_brine_C.sorted RPKM	220808_BK_F14_DNA_brine_C.sorted Covered Fraction	220808_BK_F15_DNA_brine_B.sorted RPKM	220808_BK_F15_DNA_brine_B.sorted Covered Fraction	220808_BK_F9_DNA_brine_A.sorted RPKM	220808_BK_F9_DNA_brine_A.sorted Covered Fraction	220809_MW_F8_DNA_BrineA_A.sorted RPKM	220809_MW_F8_DNA_BrineA_A.sorted Covered Fraction	220809_MW_F8_DNA_BrineB_A.sorted RPKM	220809_MW_F8_DNA_BrineB_A.sorted Covered Fraction	220809_MW_S9_DNA_BrineA_A.sorted RPKM	220809_MW_S9_DNA_BrineA_A.sorted Covered Fraction	220809_MW_S9_DNA_BrineB_A.sorted RPKM	220809_MW_S9_DNA_BrineB_A.sorted Covered Fraction	220809_MW_S9_DNA_BrineC_A.sorted RPKM	220809_MW_S9_DNA_BrineC_A.sorted Covered Fraction	220811_JW_F17_DNA_Brine_A.sorted RPKM	220811_JW_F17_DNA_Brine_A.sorted Covered Fraction	220811_JW_F18_DNA_Brine_B.sorted RPKM	220811_JW_F18_DNA_Brine_B.sorted Covered Fraction	220811_JW_F19_DNA_Brine_A.sorted RPKM	220811_JW_F19_DNA_Brine_A.sorted Covered Fraction	220811_JW_F20_DNA_Brine_A.sorted RPKM	220811_JW_F20_DNA_Brine_A.sorted Covered Fraction	220811_JW_F21_DNA_Brine.sorted RPKM	220811_JW_F21_DNA_Brine.sorted Covered Fraction	220811_MW_F13_DNA_Brine_B.sorted RPKM	220811_MW_F13_DNA_Brine_B.sorted Covered Fraction	220811_MW_F14_DNA_Brine_C.sorted RPKM	220811_MW_F14_DNA_Brine_C.sorted Covered Fraction	220812_MW_F10_DNA_Brine_B.sorted RPKM	220812_MW_F10_DNA_Brine_B.sorted Covered Fraction	220812_MW_F11_DNA_Brine_A.sorted RPKM	220812_MW_F11_DNA_Brine_A.sorted Covered Fraction	220812_MW_F12_DNA_Brine_B.sorted RPKM	220812_MW_F12_DNA_Brine_B.sorted Covered Fraction	220812_MW_F9_DNA_Brine.sorted RPKM	220812_MW_F9_DNA_Brine.sorted Covered Fraction	220813_JW_F23_DNA_Brine_A.sorted RPKM	220813_JW_F23_DNA_Brine_A.sorted Covered Fraction	220813_JW_F25_DNA_Brine_A.sorted RPKM	220813_JW_F25_DNA_Brine_A.sorted Covered Fraction	220813_LF_F9_DNA_Brine.sorted RPKM	220813_LF_F9_DNA_Brine.sorted Covered Fraction	220814_MW_F9_DNA_Brine_C.sorted RPKM	220814_MW_F9_DNA_Brine_C.sorted Covered Fraction	220815_LF_B1_DNA_brine_A.sorted RPKM	220815_LF_B1_DNA_brine_A.sorted Covered Fraction	220815_LF_B2_DNA_brine_B.sorted RPKM	220815_LF_B2_DNA_brine_B.sorted Covered Fraction	220815_LF_B3_DNA_brine_A.sorted RPKM	220815_LF_B3_DNA_brine_A.sorted Covered Fraction	220816_LF_B4_DNA_brine_C.sorted RPKM	220816_LF_B4_DNA_brine_C.sorted Covered Fraction	220816_LF_B5_DNA_brine_C.sorted RPKM	220816_LF_B5_DNA_brine_C.sorted Covered Fraction	220816_LF_B6_DNA_brine_A.sorted RPKM	220816_LF_B6_DNA_brine_A.sorted Covered Fraction	220816_LF_B7_DNA_brine_B.sorted RPKM	220816_LF_B7_DNA_brine_B.sorted Covered Fraction	220817_LF_B8_DNA_brine_C.sorted RPKM	220817_LF_B8_DNA_brine_C.sorted Covered Fraction	240111_N1_DNA_S12_L002.sorted RPKM	240111_N1_DNA_S12_L002.sorted Covered Fraction	240111_N1_DNA_S1_L001.sorted RPKM	240111_N1_DNA_S1_L001.sorted Covered Fraction	240111_N3B_DNA_S4_L001.sorted RPKM	240111_N3B_DNA_S4_L001.sorted Covered Fraction	240111_N3_DNA_S14_L002.sorted RPKM	240111_N3_DNA_S14_L002.sorted Covered Fraction	240111_N3_DNA_S3_L001.sorted RPKM	240111_N3_DNA_S3_L001.sorted Covered Fraction	240113_N4_DNA_S6_L001.sorted RPKM	240113_N4_DNA_S6_L001.sorted Covered Fraction	240113_N5_DNA_S7_L001.sorted RPKM	240113_N5_DNA_S7_L001.sorted Covered Fraction	240114_N7B_DNA_S20_L002.sorted RPKM	240114_N7B_DNA_S20_L002.sorted Covered Fraction	240114_N7B_DNA_S9_L001.sorted RPKM	240114_N7B_DNA_S9_L001.sorted Covered Fraction	240114_N9_DNA_S11_L001.sorted RPKM	240114_N9_DNA_S11_L001.sorted Covered Fraction	240114_N9_DNA_S22_L002.sorted RPKM	240114_N9_DNA_S22_L002.sorted Covered Fraction	240115_N10_DNA_S12_L001.sorted RPKM	240115_N10_DNA_S12_L001.sorted Covered Fraction	240115_N10_DNA_S23_L002.sorted RPKM	240115_N10_DNA_S23_L002.sorted Covered Fraction	240116_N11_DNA_S13_L001.sorted RPKM	240116_N11_DNA_S13_L001.sorted Covered Fraction	240116_N12_DNA_S14_L001.sorted RPKM	240116_N12_DNA_S14_L001.sorted Covered Fraction	240116_N13_DNA_S15_L001.sorted RPKM	240116_N13_DNA_S15_L001.sorted Covered Fraction	240117_N15_DNA_S17_L001.sorted RPKM	240117_N15_DNA_S17_L001.sorted Covered Fraction	240117_N15_DNA_S28_L002.sorted RPKM	240117_N15_DNA_S28_L002.sorted Covered Fraction	240120_N3C_DNA_S5_L001.sorted RPKM	240120_N3C_DNA_S5_L001.sorted Covered Fraction
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_7_length_45237_cov_12.687907	188.7023	0.99957997	0.016175179	0.002873754	0.01887217	0.006675951	0.05050027	0.010544466	4.2022905	0.23186772	0.38849238	0.015562482	0.04028263	0.0053053917	0	0	0.43878156	0.032429207	0	0	0	0	0	0	0.03552876	0.00046422175	0	0	0.050272215	0.006675951	0.37466806	0.08528417	0.12949422	0.038751464	0.51743215	0.095696	0.021303365	0.00079580874	0	0	0	0	1.1831522	0.26217476	0.1009106	0.00846652	0.09261974	0.0007737029	0	0	0	0	0.062469937	0.005791719	0	0	0	0	0.008380699	0.0020558392	0	0	0	0	0	0	0	0	0	0	0.09224099	0.014611932	0.33361402	0.01467825	0.069639124	0.009394964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019345627	0.0016800407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_45_length_23904_cov_27.142270	376.47272	0.99958163	0.18366379	0.022799531	0	0	0.31059915	0.06145415	0.9685862	0.040997323	0.94525754	0.045097053	0	0	1.4342185	0.03041332	8.071196	0.38817772	0.025110077	0.009245315	0	0	0	0	0	0	2.4072506	0.051497657	0	0	1.1252135	0.18858768	0.2673389	0.041624833	0.993612	0.19536479	2.318138	0.013763387	0.056165464	0.02183735	0	0	0.24075808	0.050619144	0	0	0.05842591	0.00092034804	0	0	0	0	0	0	0	0	0	0	0	0	0.0068360483	0.0063169342	0	0	1.269991	0.0073627844	0	0	0	0	0.014546748	0.0063169342	0.31567305	0.014558233	0.23062934	0.017821286	0	0	0	0	0	0	0.020575192	0.0036813922	1.4696493	0.0072791167	0	0	0.842413	0.0075301207	0	0	0.027950902	0.0042252345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1922053	0.074171685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_53_length_23231_cov_11.185364	164.65155	0.9985795	0	0	0	0	0	0	0.9966461	0.04455254	0.054035645	0.0064999354	0	0	0.29515353	0.0028410314	0.06835405	0.0045628687	0	0	0	0	0	0	0	0	0	0	0	0	0.047581267	0.0064999354	0	0	0.10372142	0.014635616	0.18667518	0.0064999354	0	0	0	0	0.024773281	0.004218501	0	0	0	0	0	0	0	0	0	0	0.51417464	0.005940338	0	0	0	0	0	0	0.021897394	0.005509879	0.14519808	0.003744996	0	0	0	0	0.02993633	0.0008609186	0	0	0	0	0	0	0	0	0	0	0	0	1.1564074	0.00856614	0	0	0.7028252	0.008264818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054623146	0.006801257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_71_length_21209_cov_19.587454	282.47894	0.9995757	0	0	0	0	0.053856395	0.008534113	40.506447	0.9230987	0	0	0	0	17.781092	0.23060964	33.092857	0.6304871	0.1273535	0.033712104	0	0	0	0	0.037889916	0.007119619	16.361036	0.3977085	0.026806591	0.007119619	0	0	0	0	0.048689958	0.014852186	0	0	0.025320932	0.0018859918	0	0	0.027135087	0.0068367203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011992511	0.0009901457	0.15904081	0.0031118866	0	0	0	0	0	0	0.14231408	0.007166769	0	0	0	0	0	0	0	0	0	0	0.68204534	0.04163327	0	0	0.102644034	0.0109859025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008252516	0.0037719836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_134_length_16780_cov_11.178176	161.80397	1	0.043606464	0.017997617	0	0	3.0291834	0.37413588	355.4807	0.9994636	1.421379	0.0852205	0.21719491	0.019904649	0	0	0	0	0	0	0	0	0	0	1.1014879	0.078784265	0	0	0	0	21.80419	0.9828367	0.031736534	0.002443385	46.525322	0.99827176	0	0	0	0	0.14116159	0.015852205	8.488573	0.7178784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48505205	0.12926103	0	0	0	0	0	0	0.041445225	0.0052443384	43.440342	0.90518475	0.2816089	0.051549464	0	0	0	0	0.1195041	0.016865317	0.014655225	0.008998808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.305652	0.9622169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_137_length_16617_cov_21.397838	309.14755	0.99975926	0	0	0	0	0.068739265	0.017692724	1.1733366	0.06589637	0.1510865	0.011915509	0	0	0	0	0.47780377	0.058494315	0	0	0	0	0	0	0	0	0	0	0.23950095	0.03249684	0.022173284	0.009087079	0.08011962	0.023349581	0.3521556	0.066317625	0	0	0	0	0	0	0.06926739	0.022446891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23601212	0.04429199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13100906	0.00270807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.62877	0.01901667	63.64204	0.01901667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_182_length_14998_cov_11.269223	163.56395	0.99813306	0.048787605	0.00720096	0.01423057	0.0013335111	0.15231901	0.019869316	7.312475	0.3589812	0.16739592	0.020136017	0	0	0	0	0.31762895	0.032004267	0	0	0	0	0	0	0	0	0.116263814	0.0010001333	0.11372337	0.029337244	0.2456684	0.049339913	0.19529039	0.054140553	1.0787053	0.19242565	0	0	0	0	0.15793383	0.007067609	0.65232944	0.13288438	0	0	0	0	0	0	0	0	0	0	0.7964256	0.011334845	0	0	0.037916824	0.030204028	0.021790758	0.0063341777	0	0	0	0	0	0	0	0	0.11592394	0.03120416	0.4024989	0.021536205	0.052511416	0.011201493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_218_length_13960_cov_14.318231	212.31035	0.9998567	0	0	0.06115475	0.006303725	0.08182237	0.01726361	8.379943	0.35823783	0.3596854	0.025573066	0.32633692	0.013108882	0	0	0.8531159	0.07141834	0	0	0	0	0	0	0.6332149	0.04025788	0	0	0.48871723	0.038896848	0.5542638	0.10179083	0.43869624	0.10308023	1.2822013	0.24584527	0.034516484	0.0011461318	0	0	0	0	2.0406628	0.29383954	0.8501949	0.052793697	0.7003073	0.05114613	0	0	0	0	0	0	0	0	0.02516841	0.002363897	0.027157424	0.008595988	0.1404661	0.019770773	0	0	0	0	0	0	0	0	0	0	1.1891738	0.06375358	0.16924776	0.021203438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04853667	0.0022922636	0.047860913	0.021633238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6550998	0.113467045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_228_length_13772_cov_10.464752	160.06029	0.99818474	0.42504588	0.088295095	0.015497392	0.01060122	0.12440898	0.007769387	18.138948	0.6573482	0	0	0	0	0	0	0.2306031	0.032892827	0	0	0	0	0	0	0	0	0	0	1.7338603	0.24186756	0.13376904	0.032892827	0.38668245	0.13062736	0.39990908	0.07144932	0	0	0	0	0	0	0.12536483	0.012924775	0	0	0.20281918	0.008568109	0	0	0	0	0	0	0	0	0.012755991	0.010964275	0	0	0.36782426	0.14173685	0.036937144	0.02192855	0	0	0	0	0	0	0.2019898	0.026866104	0.3287474	0.02192855	0.057186045	0.012924775	0	0	0	0	0	0	0	0	0	0	0.26230782	0.009076387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATL22_220804_BK_C1_DNA_brine_C_contigs_plasmid.fna|NODE_333_length_11797_cov_19.695367	274.6583	0.99957615	0.06202564	0.019072646	0	0	0.29047394	0.038399592	39.252495	0.8991269	0	0	0	0	16.274302	0.27896923	37.150932	0.46816987	0.101759985	0.028651351	0	0	0	0	0	0	20.989141	0.38297874	0.19277479	0.024752056	0	0	0	0	1.8382614	0.020937527	0.65352225	0.045265745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11977419	0.005933712	0	0	0	0	0	0	0	0	0	0	1.0007491	0.028312283	0	0	0	0	0	0	1.407211	0.020767992	0.100139804	0.012799865	0	0	0	0	0	0	0	0	0.87585825	0.039247267	0	0	2.6296456	0.049588878	0	0	0.056636292	0.015597186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6209009	0.036449946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
