Contig	240111_N1_DNA_S12_L002_sorted RPKM	240111_N1_DNA_S1_L001_sorted RPKM	240111_N2_VIROME_S26_L001_sorted RPKM	240111_N2_VIROME_S37_L002_sorted RPKM	240111_N3A_sed_DNA_S24_L001_sorted RPKM	240111_N3A_sed_DNA_S35_L002_sorted RPKM	240111_N3B_DNA_S4_L001_sorted RPKM	240111_N3B_VIROME_S28_L001_sorted RPKM	240111_N3_DNA_S14_L002_sorted RPKM	240111_N3_DNA_S3_L001_sorted RPKM	240113_N4_DNA_S6_L001_sorted RPKM	240113_N4_VIROME_S29_L001_sorted RPKM	240113_N5_DNA_S7_L001_sorted RPKM	240113_N5_VIROME_S30_L001_sorted RPKM	240114_N7A_VIROME_S31_L001_sorted RPKM	240114_N7A_VIROME_S43_L002_sorted RPKM	240114_N7B_DNA_S20_L002_sorted RPKM	240114_N7B_DNA_S9_L001_sorted RPKM	240114_N7B_VIROME_S32_L001_sorted RPKM	240114_N9_DNA_S11_L001_sorted RPKM	240114_N9_DNA_S22_L002_sorted RPKM	240114_N9_mat_DNA_S21_L001_sorted RPKM	240114_N9_VIROME_S34_L001_sorted RPKM	240115_N10_DNA_S12_L001_sorted RPKM	240115_N10_DNA_S23_L002_sorted RPKM	240115_N10_VIROME_S35_L001_sorted RPKM	240115_N11_mat_DNA_S22_L001_sorted RPKM	240115_N9_mat_DNA_S23_L001_sorted RPKM	240116_N11_DNA_S13_L001_sorted RPKM	240116_N11_VIROME_S36_L001_sorted RPKM	240116_N12_DNA_S14_L001_sorted RPKM	240116_N12_VIROME_S37_L001_sorted RPKM	240116_N13_DNA_S15_L001_sorted RPKM	240116_N13_VIROME_S38_L001_sorted RPKM	240117_GW01_DNA_S18_L001_sorted RPKM	240117_GW01_VIROME_S41_L001_sorted RPKM	240117_N14_VIROME_S39_L001_sorted RPKM	240117_N14_VIROME_S51_L002_sorted RPKM	240117_N15_DNA_S17_L001_sorted RPKM	240117_N15_DNA_S28_L002_sorted RPKM	240117_N15_VIROME_S52_L002_sorted RPKM	240119_GW02_VIROME_S42_L001_sorted RPKM	240119_GW02_VIROME_S54_L002_sorted RPKM	240119_GW03_DNA_S20_L001_sorted RPKM	240120_N3C_DNA_S5_L001_sorted RPKM	240120_N3C_VIROME_1_S38_L002_sorted RPKM	240120_N3C_VIROME_S27_L001_sorted RPKM
genomad_k141_1879475|provirus_191_53337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6591.3257	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3745874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.900967	13.629707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2378692	0	0	0	0	0	0	0	390.4216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.80019	166.59105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_535683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.129715	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_476444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.92049	0	6.6624975	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1903644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3947	25.760225	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_120470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.38344	19.01139	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2380331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.783424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1012704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2381.1619	2505.447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2227.4993	2418.2813	0	0	0	0	0	0	0
genomad_k141_834866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.016565	0	9.902647	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2202766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4677.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1013603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.31764	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1251740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.53625	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1013829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.35799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1192818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.952901	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1965955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651.8352	155.79605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_242011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.60221	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2442115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.68282	162.95984	189.99321	0	102.07438	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2026007	0	0	0	0	0	0	0	253.19151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226.07039	545.6015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_242621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3061.2854	960.12445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1075139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.443302	27.755823	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_897075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.772337	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1789190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.628126	29.924812	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1611552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339.79062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1671150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.38387	17.645613	0	4.9917145	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_660674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.631939	11.041929	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1195877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.175735	45.925186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2266936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.39094	0	25.985584	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_721050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.438078	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2267546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.366735	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_304518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.39001	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1137268	0	0	269.93896	241.77261	0	0	0	0	0	0	0	350.7288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321.44232	287.8053	0	0	0	0
genomad_k141_899841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.870249	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1197032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1151.3936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3635951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.340813	128.2223	0	41.796806	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1732379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.91278	188.663	0	47.73672	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1851683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.16614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1732879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.410416	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1673933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439.8391	295.16187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3637542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.59404	85.99063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1972349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.38325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1378312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380.39856	561.44366	0	111.84622	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2924534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.625996	10.097021	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_545567	0	0	0	0	0	0	0	0	0	0	13120.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2686279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.23887	0	42.368076	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1913875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.66397	9.627038	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_70847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.64479	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1083073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.17773	73.47877	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1380290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.81378	32.453533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_727283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.27484	22.588919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3047912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.52257	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_253013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.02819	21.104841	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3226718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1473.1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1323995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.176844	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2096284	0	0	0	0	2451.1348	2344.3706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3227064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.69305	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_788634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.664186	61.12002	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_434821	0	0	0	0	0	0	0	376.472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.36737	162.59015	14.215284	5.195589	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1743268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.60433	22.915758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1803156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130.6541	142.45145	0	58.721737	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3587154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.88736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2933203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.785933	0	1.4290031	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2397948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.235858	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_555239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.59275	23.597868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_1566822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.517643	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_2637985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.091238	21.269857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genomad_k141_3232003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.768675	4.7873864	0	0	0	0	0	0	0	0	0	0	0	0	0
