Contig	220804_BK_C1_DNA_brine_C_sorted RPKM	220805_BK_F1_DNA_brine_sorted RPKM	220805_BK_F3_DNA_brine_C_sorted RPKM	220805_MW_S1_DNA_Brine_sorted RPKM	220805_MW_S2_DNA_Brine_B_sorted RPKM	220805_MW_S3_DNA_Brine_sorted RPKM	220805_MW_S4_DNA_Brine_sorted RPKM	220806_BK_F5_DNA_brine_A_sorted RPKM	220806_BK_F6D_DNA_brine_sorted RPKM	220806_BK_F6E_DNA_brine_sorted RPKM	220806_MW_S5_DNA_Brine_A_sorted RPKM	220806_MW_S6_DNA_Brine_sorted RPKM	220807_BK_F8_DNA_brine_C_sorted RPKM	220807_MW_S7_DNA_Brine_B_sorted RPKM	220807_MW_S8_DNA_Brine_A_sorted RPKM	220808_BK_F10_DNA_brine_B_sorted RPKM	220808_BK_F11_DNA_brine_A_sorted RPKM	220808_BK_F12_DNA_brine_C_sorted RPKM	220808_BK_F13_DNA_brine_C_sorted RPKM	220808_BK_F14_DNA_brine_C_sorted RPKM	220808_BK_F15_DNA_brine_B_sorted RPKM	220808_BK_F9_DNA_brine_A_sorted RPKM	220809_MW_F8_DNA_BrineA_A_sorted RPKM	220809_MW_F8_DNA_BrineB_A_sorted RPKM	220809_MW_S9_DNA_BrineA_A_sorted RPKM	220809_MW_S9_DNA_BrineB_A_sorted RPKM	220809_MW_S9_DNA_BrineC_A_sorted RPKM	220811_JW_F17_DNA_Brine_A_sorted RPKM	220811_JW_F18_DNA_Brine_B_sorted RPKM	220811_JW_F19_DNA_Brine_A_sorted RPKM	220811_JW_F20_DNA_Brine_A_sorted RPKM	220811_JW_F21_DNA_Brine_sorted RPKM	220811_MW_F13_DNA_Brine_B_sorted RPKM	220811_MW_F14_DNA_Brine_C_sorted RPKM	220812_MW_F10_DNA_Brine_B_sorted RPKM	220812_MW_F11_DNA_Brine_A_sorted RPKM	220812_MW_F12_DNA_Brine_B_sorted RPKM	220812_MW_F9_DNA_Brine_sorted RPKM	220813_JW_F23_DNA_Brine_A_sorted RPKM	220813_JW_F25_DNA_Brine_A_sorted RPKM	220813_LF_F9_DNA_Brine_sorted RPKM	220814_MW_F9_DNA_Brine_C_sorted RPKM	220815_LF_B1_DNA_brine_A_sorted RPKM	220815_LF_B2_DNA_brine_B_sorted RPKM	220815_LF_B3_DNA_brine_A_sorted RPKM	220816_LF_B4_DNA_brine_C_sorted RPKM	220816_LF_B5_DNA_brine_C_sorted RPKM	220816_LF_B6_DNA_brine_A_sorted RPKM	220816_LF_B7_DNA_brine_B_sorted RPKM	220817_LF_B8_DNA_brine_C_sorted RPKM
NODE_1000_length_3812_cov_8.118712	0	0	407.16565	0	0	0	0	0	0	0	0	0	0	0	0	845.87787	0	0	0	0	0	345.71893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.47072	0	0	0	361.59583	0	0	0	0	0	0	0	0
NODE_1000_length_5807_cov_8.682371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.7263	0	0	0	0	0	0	0	0	0	0	0	0	0	82.98323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1000_length_6620_cov_266.358568	0	0	0	0	0	0	0	0	0	0	0	4294.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10017_length_3665_cov_20.981994	0	0	0	0	0	0	0	0	0	740.99774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1001_length_5942_cov_9.115339	0	0	0	173.61893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310.96384	0	0	0	0	0	0	0	0	0	0	0	0	0	154.16658	0	0	0	0	163.52592	0	0	0	0	285.7751	0	0	0	0	0	0	0
NODE_1002_length_4750_cov_10.988711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.01465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.80212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1002_length_6949_cov_104.379170	0	0	0	3744.315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6554.391	16.794235	0	0	0	0	0	0	0	0	0	0	0	0	3775.18	0	0	0	0	3862.8865	0	0	0	0	7931.0024	0	918.4124	0	0	0	0	0
NODE_1002_length_9016_cov_15.641111	0	0	0	0	0	917.2798	387.8067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1003_length_9061_cov_11.934821	0	0	0	259.45892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422.83868	0	0	0	0	0	0	0	0	0	0	0	0	0	306.81955	0	0	0	0	263.59454	0	0	0	0	0	0	641.86053	48.98852	0	0	0	0
NODE_1003_length_9505_cov_90.696402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598.0956	204.12068	0	0	0
NODE_1004_length_6611_cov_23.595180	0	0	0	0	0	0	0	0	0	0	0	213.11525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1004_length_9116_cov_7.043152	0	0	0	0	0	0	0	0	0	0	0	0	23.75865	0	0	0	0	0	0	0	0	0	106.48533	61.04816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1004_length_9490_cov_12.321251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.92888	0	0	42.009422	0	0	0
NODE_1005_length_14332_cov_16.891714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.70227	0
NODE_1005_length_4745_cov_10.410661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331.60626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.07602	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1005_length_5928_cov_7.589818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728.76245	0	0	0	0	0	0	0
NODE_1005_length_9489_cov_6.512084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.517565	0	0	0
NODE_1006_length_5789_cov_45.431461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.0165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341.54382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1006_length_7309_cov_5.362834	1794.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1006_length_9105_cov_10.295470	0	0	0	0	0	0	0	0	0	0	0	0	39.683712	0	0	0	0	0	0	0	0	0	82.60549	60.040108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1007_length_5784_cov_13.446675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.389786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1007_length_9477_cov_9.855232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.779348	42.63965	0	0	0
NODE_1008_length_9471_cov_36.362150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.957108	0	404.5696	117.915825	0	0	0
NODE_1009_length_3798_cov_11.022442	0	0	423.0689	0	0	0	0	0	0	0	0	0	0	0	0	1077.4059	0	0	0	0	0	615.743	0	0	0	0	0	0	0	0	0	678.74805	0	0	0	0	0	349.91977	0	0	0	1275.245	0	0	0	0	0	0	0	0
