Contig	240111_N1_DNA_S12_L002_map_sorted_plasmid RPKM	240111_N1_DNA_S1_L001_map_sorted_plasmid RPKM	240111_N2_VIROME_S26_L001_map_sorted_plasmid RPKM	240111_N2_VIROME_S37_L002_map_sorted_plasmid RPKM	240111_N3A_sed_DNA_S24_L001_map_sorted_plasmid RPKM	240111_N3A_sed_DNA_S35_L002_map_sorted_plasmid RPKM	240111_N3B_DNA_S4_L001_map_sorted_plasmid RPKM	240111_N3B_VIROME_S28_L001_map_sorted_plasmid RPKM	240111_N3_DNA_S14_L002_map_sorted_plasmid RPKM	240111_N3_DNA_S3_L001_map_sorted_plasmid RPKM	240113_N4_DNA_S6_L001_map_sorted_plasmid RPKM	240113_N4_VIROME_S29_L001_map_sorted_plasmid RPKM	240113_N5_DNA_S7_L001_map_sorted_plasmid RPKM	240113_N5_VIROME_S30_L001_map_sorted_plasmid RPKM	240114_N7A_VIROME_S31_L001_map_sorted_plasmid RPKM	240114_N7A_VIROME_S43_L002_map_sorted_plasmid RPKM	240114_N7B_DNA_S20_L002_map_sorted_plasmid RPKM	240114_N7B_DNA_S9_L001_map_sorted_plasmid RPKM	240114_N7B_VIROME_S32_L001_map_sorted_plasmid RPKM	240114_N9_DNA_S11_L001_map_sorted_plasmid RPKM	240114_N9_DNA_S22_L002_map_sorted_plasmid RPKM	240114_N9_mat_DNA_S21_L001_map_sorted_plasmid RPKM	240114_N9_VIROME_S34_L001_map_sorted_plasmid RPKM	240115_N10_DNA_S12_L001_map_sorted_plasmid RPKM	240115_N10_DNA_S23_L002_map_sorted_plasmid RPKM	240115_N10_VIROME_S35_L001_map_sorted_plasmid RPKM	240115_N11_mat_DNA_S22_L001_map_sorted_plasmid RPKM	240115_N9_mat_DNA_S23_L001_map_sorted_plasmid RPKM	240116_N11_DNA_S13_L001_map_sorted_plasmid RPKM	240116_N11_VIROME_S36_L001_map_sorted_plasmid RPKM	240116_N12_DNA_S14_L001_map_sorted_plasmid RPKM	240116_N12_VIROME_S37_L001_map_sorted_plasmid RPKM	240116_N13_DNA_S15_L001_map_sorted_plasmid RPKM	240116_N13_VIROME_S38_L001_map_sorted_plasmid RPKM	240117_GW01_DNA_S18_L001_map_sorted_plasmid RPKM	240117_GW01_VIROME_S41_L001_map_sorted_plasmid RPKM	240117_N14_VIROME_S39_L001_map_sorted_plasmid RPKM	240117_N14_VIROME_S51_L002_map_sorted_plasmid RPKM	240117_N15_DNA_S17_L001_map_sorted_plasmid RPKM	240117_N15_DNA_S28_L002_map_sorted_plasmid RPKM	240117_N15_VIROME_S52_L002_map_sorted_plasmid RPKM	240119_GW02_VIROME_S42_L001_map_sorted_plasmid RPKM	240119_GW02_VIROME_S54_L002_map_sorted_plasmid RPKM	240119_GW03_DNA_S20_L001_map_sorted_plasmid RPKM	240120_N3C_DNA_S5_L001_map_sorted_plasmid RPKM	240120_N3C_VIROME_1_S38_L002_map_sorted_plasmid RPKM	240120_N3C_VIROME_S27_L001_map_sorted_plasmid RPKM
k141_3150952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.983501	0	0	0	0	14.449463	18.14275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3448215	14.7805805	13.943008	0.08133862	0	0	0	0	0	11.353285	7.867813	9.677186	0	11.911112	0	0	0	3.8248377	4.335689	0	0	0	0	0	0	0	0.039824646	0	0	0	0	0.31753507	0	0	0	0	0	0	0	9.252315	9.286754	0	0	0	0	0	0	0
k141_891798	0	0	0	0	0.59547997	0.5995373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45404676	0	72.96999	1.8784072	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2318665	13.87894	12.569097	0.047545835	0	5.8423176	2.9410625	0	0	18.457685	25.933626	18.682226	0.045763396	19.417402	0	0	0	8.130102	8.447974	0	0	0	0	0	1.5046338	0	0.65181684	0	0.58037114	0.27255914	0.5445133	0	0	0	0	0	0	75.357834	89.17985	16.48264	18.067362	0	0	0	0	0	0	0
k141_3567132	20.47819	21.973888	0	0	0	0	0	0	48.84067	48.187225	23.064411	0.22359683	6.6328197	0	0	0	14.935893	16.510489	0	0	0	0	0	0	0	0.2274809	0	0	0	0	0	0	0	0	0	0	26.816385	33.32027	14.177173	12.876943	0	0	0	0	0	0	0
k141_2853733	0	0	0	0	0	0	0	0	0	0	0	0	2.9660614	0	0	0	41.2246	36.631237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1961934	0	0	0	0	1.0155085	1.0224278	0	0	0	0	0	0	51.74138	0	0	0	0.15544872	0.23075211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_1486327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.505184	0	0	0	0	47.708954	3.9399538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2259232	65.75563	58.079487	0.19498849	0.12009507	11.979857	26.133215	0	0	97.80962	108.97506	117.13621	0.041706357	30.70534	0	0	0	47.790295	43.77454	0	0	0	0.17565277	0.01953342	4.799355	5.0586247	0.33944666	0	0	2.732357	0	2.0298905	0	0.73547566	0	1.842835	0	20.64285	31.67289	56.09559	56.04362	0	0.04779797	0	1.2504345	0	0	0
k141_237865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.675789	0	0	0	0	0	6.8591523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2556491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.690658	0	0	0	0	58.490555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
