Contig	Cock_soda_lake.sorted RPKM
k141_732676|provirus_19094_24818	1.6481447
k141_1515296	0.9172826
k141_1407199	0.60032934
k141_54389	3.947264
k141_676840	5.295759
k141_1596831	1.9777697
k141_947586	76.234566
k141_541893	1.1218216
k141_732	1.7949148
k141_1110087	1.576801
k141_596084	1.2578472
k141_1326721	4.948692
k141_893888	1.0927944
k141_1516204	1.4279072
k141_1435146	4.96126
k141_1678870	4.5080705
k141_1083622	1.2785207
k141_542763	1.6143845
k141_1192100	2.2027147
k141_190753	6.2320704
k141_1219276	20.446886
k141_28458	1.165514
k141_1084094	2.3826637
k141_1571273	1.6596909
k141_570263	12.854619
k141_1057450	1.4789852
k141_570390	38.65131
k141_353759	15.695178
k141_949530	32.051586
k141_840954	0.73321676
k141_1165694	0.8122569
k141_814176	1.2318298
k141_732960	2.889772
k141_1463450	14.322776
k141_1598625	8.731482
k141_137313	4.3168325
k141_29332	5.282332
k141_1625989	1.8513876
k141_571174	9.4723
k141_192190	1.2004207
k141_1626024	20.304358
k141_1409883	3.4931898
k141_787574	7.7035503
k141_1193376	0.58862364
k141_1004422	14.248536
k141_1410137	1.3380284
k141_436274	14.914093
k141_3260	4.4175825
k141_1328989	8.544192
k141_111152	28.623716
k141_1356664	11.9944315
k141_1437544	2.166185
k141_652988	2.0071292
k141_246712	15.7891
k141_896582	24.640278
k141_869528	0.7202939
k141_300676	0.75800973
k141_165664	2.8075976
k141_842415	0.7037319
k141_1438157	1.0573335
k141_842807	2.091703
k141_1627259	21.37485
k141_572587	4.911322
k141_409961	0.75185734
k141_356041	31.721664
k141_599411	2.0616238
k141_1465435	16.827581
k141_1059596	3.143882
k141_870159	2.7568507
k141_626730	38.936375
k141_1113711	2.068247
k141_545620	2.459824
k141_897577	1.8448008
k141_1330209	1.2579108
k141_1303527	2.1124551
k141_1005988	0.95946455
k141_1060004	4.3183565
k141_492049	149.1203
k141_1546741	16.017387
k141_816747	16.257715
k141_112571	51.136074
k141_627192	2.256277
k141_329172	1.4345323
k141_545986	423.18988
k141_1574224	42.78994
k141_438100	1.6842364
k141_1655037	0.8926855
k141_1547178	105.770744
k141_898205	3.7884793
k141_1330719	1.0625852
k141_681798	1.3827581
k141_167375	4.0125546
k141_1466544	1.0954934
k141_817315	9.044844
k141_573759	3.3318567
k141_1277055	1.6002016
k141_1358481	1.3590329
k141_682157	6.563039
k141_817715	16.980497
k141_817781	3.2663257
k141_1629243	207.3865
k141_1304880	9.105558
k141_1575349	1.2492135
k141_1440209	1.7302195
k141_682629	2.8908277
k141_465897	0.62323433
k141_222276	0.8645164
k141_249362	3.2177467
k141_574893	14.356771
k141_1169931	1.0423586
k141_59697	6.3130493
k141_466454	0.73587215
k141_141503	0.62567836
k141_1088799	2.421887
k141_1305585	1.235986
k141_87360	8.374806
k141_1170301	1.3732933
k141_926904	0.9694269
k141_520792	16.98079
k141_169128	0.72060984
k141_1630141	24.561192
k141_656255	5.1214657
k141_818996	13.63247
k141_981291	1.5138406
k141_1170531	3.404172
k141_359292	1.5264508
k141_1360302	42.257156
k141_1468879	2.2535026
k141_737998	19.200773
k141_1387584	0.6222
k141_1062813	0.9365307
k141_1684257	10.289269
k141_982062	1.5569608
k141_467753	0.86623275
k141_1306617	6.230005
k141_360159	73.00241
k141_467930	24.683878
k141_170435	1.7012534
k141_143017	154.90375
k141_1712735	4.541849
k141_549275	0.82792956
k141_901438	1.1303805
k141_1442949	0.5439136
k141_61880	15.547093
k141_1604550	77.944916
k141_1415779	2.5504804
k141_522784	98.09878
k141_604230	2.6644888
k141_847379	17.401237
k141_631320	0.9078917
k141_1659238	1.1466762
k141_361282	0.9903093
k141_1388994	0.7728661
k141_496405	21.134882
k141_929419	0.8686955
k141_9291	1.1237884
k141_62543	6.218906
k141_1714142	2.0326576
k141_659231	4.185009
k141_1525161	27.094954
k141_1605557	1.4126644
k141_415864	0.88107294
k141_523992	1.1797009
k141_253111	138.91467
k141_740206	1.5378559
k141_767737	1.0188249
k141_848618	41.460804
k141_794823	0.94215834
k141_1686598	4.692588
k141_1335598	3.6073139
k141_470421	40.660664
k141_958293	7.1116347
k141_1471648	0.71041125
k141_145351	13.136252
k141_1715211	0.7476063
k141_172942	0.75152135
k141_903784	0.8951301
k141_10766	2.3843064
k141_633139	7.977399
k141_1364468	0.75872004
k141_633229	6.3001776
k141_1120234	6.2063828
k141_200151	1.4403025
k141_1499976	1.7634417
k141_769107	12.037771
k141_1500111	3.7460265
k141_931986	1.4267172
k141_1634863	1.9208925
k141_281981	443.6174
k141_904534	7.1179743
k141_904580	2.9722743
k141_741925	4.43493
k141_959916	3.1253238
k141_1365321	6.0887823
k141_634238	2.6136906
k141_1527515	0.76484126
k141_119408	1.4177432
k141_1256723	4.211621
k141_201037	1.0917192
k141_1446718	0.7941043
k141_1041027	3.4131873
k141_12257	16.675503
k141_905469	14.2390175
k141_201451	1.4777893
k141_1420021	1.2891234
k141_255866	13.9405775
k141_1663186	1.3146485
k141_1528411	3.4393127
k141_1528459	1.1767464
k141_1608713	1.097751
k141_1122497	2.0478616
k141_1095458	0.79722965
k141_473266	1.9855641
k141_690761	0.9929134
k141_365746	0.88758147
k141_582290	0.9867382
k141_365788	1.0843445
k141_988544	66.007866
k141_878737	0.9221187
k141_663955	1.2119657
k141_1637236	3.7840288
k141_718098	1.1840296
k141_230236	2.3800235
k141_1368050	1.1808405
k141_1475873	1.038487
k141_257897	0.8674974
k141_502016	0.8041733
k141_447830	1.3652595
k141_1177797	1.5791312
k141_664929	3.5324957
k141_935621	1.1269188
k141_1476242	0.75421786
k141_1231931	1.9988834
k141_799525	0.7365497
k141_258271	3.8330712
k141_745240	11.135644
k141_799605	2.397107
k141_286034	0.93498546
k141_990342	1.0268675
k141_1259920	0.84457546
k141_1422971	8.746243
k141_692820	0.6937797
k141_1124709	63.112484
k141_1178659	7.045212
k141_339960	1.2629954
k141_1097919	2.701014
k141_1531558	0.7085772
k141_854005	6.7510886
k141_178605	3.1135738
k141_151490	4.607612
k141_96389	5.1978016
k141_1152623	0.98918533
k141_340899	0.7510389
k141_259798	5.981609
k141_801035	0.7195767
k141_16772	3.0118754
k141_1667461	8.146717
k141_829060	12.625607
k141_43232	11.829538
k141_1071455	3.317938
k141_557743	17.22393
k141_1477718	1.9309253
k141_395845	2.3618126
k141_1179926	0.6225858
k141_829401	14.841355
k141_179438	18.57005
k141_1099377	1.7740003
k141_1045970	0.83931667
k141_1693637	155.70148
k141_855338	1.4100412
k141_205989	1.6279198
k141_992247	2.729803
k141_829631	0.7674049
k141_1506649	2.0688276
k141_694644	1.9647013
k141_882509	1.1426654
k141_1126740	0.873536
k141_423890	0.6986576
k141_451128	2.2150047
k141_370226	5.0102115
k141_1641238	1.198872
k141_477736	6.0382843
k141_98126	0.68920785
k141_478031	5.9090357
k141_939247	0.68646103
k141_505880	0.64002055
k141_830940	1.156293
k141_44875	0.8645404
k141_802747	5.4161854
k141_1127997	1.2621691
