File,Median_pI,n_structural
k141_1077586.faa,6.534557723999025,2
k141_1360042.faa,4.374607467651367,2
k141_464929.faa,8.34286975860596,1
k141_1531718.faa,5.010578918457031,2
k141_1009702.faa,4.072820854187013,1
k141_596573.faa,4.586361122131348,1
k141_273983.faa,4.27033634185791,1
k141_1199488.faa,6.266066932678222,3
k141_94554.faa,4.845774269104003,1
k141_473266.faa,4.487177085876465,1
k141_784642.faa,5.173110008239745,1
k141_1152935.faa,4.9141799926757805,2
k141_729846.faa,4.547767448425293,5
k141_1327490.faa,4.668266105651855,1
k141_207780.faa,4.3883056640625,8
k141_1538502.faa,5.46816120147705,1
k141_1494824.faa,4.993441963195801,2
k141_218449.faa,5.941004753112793,1
k141_1420403.faa,4.827074241638183,3
k141_861016.faa,6.872126579284668,2
k141_574079.faa,5.113144874572753,1
k141_994510.faa,7.814164543151856,1
k141_111364.faa,4.846683692932127,1
k141_656506.faa,5.193799400329589,3
k141_274236.faa,5.137614059448241,2
k141_673976.faa,5.779127311706542,1
k141_1035560.faa,4.797745323181153,2
k141_1443167.faa,5.01708698272705,1
k141_1535973.faa,6.971495628356934,1
k141_681262.faa,4.14506320953369,1
k141_605604.faa,5.349651908874511,1
k141_1459671.faa,11.84376087188721,1
k141_1068883.faa,4.703421020507813,2
k141_1201899.faa,5.215114021301268,2
k141_1266989.faa,6.437749862670898,2
k141_572583.faa,7.9265329360961925,1
k141_1673197.faa,4.484846687316894,5
k141_1118579.faa,5.557682609558106,2
k141_1025607.faa,10.96183338165283,1
k141_1214476.faa,4.85418643951416,1
k141_1285421.faa,4.282670402526856,1
k141_1176511.faa,4.534751319885253,1
k141_1604647.faa,4.7617094039916985,2
k141_488611.faa,4.7222347259521475,4
k141_1117460.faa,5.524147605895995,1
k141_739512.faa,5.353005409240722,1
k141_722654.faa,4.455745124816894,1
k141_1325318.faa,4.852481269836424,3
k141_166265.faa,5.9854528427124025,1
k141_1708055.faa,5.246887016296386,1
k141_1369884.faa,5.037151145935058,1
k141_1071915.faa,4.85287914276123,1
k141_958293.faa,4.874534797668456,1
k141_1192442.faa,4.983608818054199,1
k141_364421.faa,5.5182931900024395,1
k141_1300167.faa,4.384270095825195,2
k141_1061253.faa,4.40362377166748,1
k141_989145.faa,4.265505027770995,2
k141_288489.faa,9.540950202941893,1
k141_1405522.faa,4.7185686111450185,1
k141_1720054.faa,4.0500284194946286,1
k141_1552320.faa,5.839035606384278,1
k141_363414.faa,9.246071815490723,1
k141_788124.faa,4.926428794860839,1
k141_1190296.faa,5.77139720916748,1
k141_63081.faa,4.654340553283691,1
k141_785429.faa,4.9641130447387685,1
k141_1520760.faa,4.0500284194946286,1
k141_540040.faa,7.407193374633788,2
k141_1715777.faa,6.1190813064575185,1
k141_73251.faa,5.079098320007324,2
k141_1221143.faa,7.153784942626954,2
k141_931218.faa,7.8974853515625,2
k141_1505286.faa,4.7648923873901365,1
k141_1495859.faa,4.563284492492676,1
k141_760472.faa,4.488143348693847,1
k141_1528472.faa,4.795272827148437,2
k141_651863.faa,8.686615180969238,1
k141_1692624.faa,4.7713720321655275,1
k141_681317.faa,7.97091007232666,2
k141_58201.faa,4.159557151794433,1
k141_642374.faa,4.089531517028808,1
k141_1392174.faa,5.493056678771972,3
k141_1142110.faa,5.1604064941406245,2
k141_439781.faa,4.407886695861817,1
k141_452120.faa,4.59070930480957,2
k141_519323.faa,4.457336616516113,1
k141_1279116.faa,5.2369401931762685,1
k141_598601.faa,5.318560981750489,1
k141_448622.faa,4.738121223449707,1
k141_390199.faa,6.594255256652833,3
k141_1217988.faa,6.797681999206542,3
k141_434306.faa,4.0500284194946286,1
k141_1087489.faa,5.839348220825196,2
k141_1418638.faa,5.150942802429198,1
k141_1169544.faa,4.704358863830565,1
k141_845610.faa,4.759151649475097,2
k141_1047849.faa,5.052497673034667,1
k141_1599468.faa,5.009527397155761,1
k141_156984.faa,4.980994224548339,1
k141_1261836.faa,6.377528190612793,1
k141_1070997.faa,9.59955196380615,1
k141_1626034.faa,4.63723201751709,1
k141_1010905.faa,6.060935020446778,1
k141_1634430.faa,4.987075996398924,1
k141_1284689.faa,4.897412490844726,2
k141_1542293.faa,4.588293647766113,1
k141_1555089.faa,5.672156333923341,3
k141_1653468.faa,7.136801338195802,2
k141_1465176.faa,4.409137153625489,1
k141_847563.faa,4.596478462219238,1
k141_1303527.faa,9.286364555358887,1
k141_629853.faa,4.7866617202758786,1
k141_1416403.faa,4.733289909362793,3
k141_114779.faa,5.436615562438964,1
k141_1271614.faa,4.761197853088378,1
k141_1529156.faa,4.283807182312012,1
k141_721214.faa,4.428064537048339,2
k141_835644.faa,6.1076566696166985,1
k141_1146014.faa,4.6658220291137695,2
k141_1478331.faa,5.073755455017088,8
k141_1614253.faa,9.67394847869873,3
k141_869677.faa,5.526591682434082,2
k141_776372.faa,9.806108665466308,3
k141_1224171.faa,4.750057411193848,3
k141_297409.faa,4.0500284194946286,1
k141_321977.faa,4.0500284194946286,1
k141_1226000.faa,4.8333833694458,1
k141_1147334.faa,4.706291389465331,1
k141_71256.faa,10.40624485015869,1
k141_618468.faa,4.895565223693848,3
k141_104226.faa,7.125301933288575,1
k141_907623.faa,4.648770332336426,6
k141_1303257.faa,5.36553840637207,2
k141_83017.faa,6.305342674255372,1
k141_135789.faa,5.577434158325195,4
k141_840781.faa,5.220115852355955,1
k141_1193415.faa,5.1740478515625,2
k141_1493184.faa,4.9077856063842775,1
k141_457112.faa,9.513486671447755,1
k141_1014546.faa,6.129880714416504,1
k141_1607761.faa,5.428317070007323,1
k141_613918.faa,4.581842422485352,2
k141_26695.faa,5.353232765197753,1
k141_597493.faa,5.0429487228393555,1
k141_1440479.faa,8.194435119628906,2
k141_790378.faa,5.3478899002075195,1
k141_1248242.faa,5.651807975769043,3
k141_259562.faa,6.5179496765136715,2
k141_836005.faa,4.691172218322753,1
k141_516748.faa,4.909433937072753,1
k141_1641132.faa,10.41784915924072,1
k141_1387584.faa,4.18746509552002,1
k141_1283084.faa,4.9231889724731435,1
k141_1265501.faa,4.640471839904785,1
k141_1543789.faa,5.398419761657715,2
k141_1439757.faa,8.889174842834475,1
k141_1229086.faa,6.113567924499511,3
k141_1581345.faa,4.675200462341309,1
k141_1447504.faa,4.927395057678221,1
k141_569639.faa,8.51339340209961,2
k141_1179609.faa,5.395918846130371,1
k141_574126.faa,9.642681312561034,1
k141_45534.faa,5.009754753112793,1
k141_890629.faa,4.690603828430175,2
k141_1125638.faa,7.234358406066893,2
k141_658851.faa,7.508737754821779,3
k141_1195460.faa,9.095796012878417,1
k141_205989.faa,5.118629837036133,2
k141_19934.faa,9.004250907897951,1
k141_1651889.faa,4.294549751281737,1
k141_858290.faa,5.609065055847168,1
k141_663637.faa,5.058977317810058,1
k141_846045.faa,5.28576488494873,1
k141_804276.faa,4.629501914978028,3
k141_956530.faa,4.397627258300782,2
k141_1392360.faa,4.951096916198729,1
k141_155653.faa,4.902471160888671,2
k141_1344068.faa,4.723513603210448,1
k141_55525.faa,5.135425758361816,2
k141_1459511.faa,9.6800085067749,1
k141_1560353.faa,5.2560949325561515,1
k141_213126.faa,4.3030187606811525,1
k141_1285184.faa,4.896872520446777,4
k141_900944.faa,6.962977027893066,2
k141_762266.faa,4.489052772521972,1
k141_715213.faa,4.880588150024414,2
k141_562037.faa,5.207184982299804,2
k141_305585.faa,5.206133460998536,2
k141_579403.faa,4.911423301696778,1
k141_601500.faa,5.056760597229004,1
k141_411797.faa,5.86387424468994,1
k141_117663.faa,5.2466880798339846,4
k141_1500896.faa,4.3823091506958,1
k141_477406.faa,10.58991527557373,1
k141_1666598.faa,6.158300209045408,1
k141_1283085.faa,9.623921012878416,1
k141_1069396.faa,4.0500284194946286,1
k141_1473139.faa,4.360141944885254,1
k141_12492.faa,5.2715551376342775,1
k141_281108.faa,5.002564620971679,2
k141_1005516.faa,4.650816535949708,1
k141_1421910.faa,5.121613883972167,1
k141_1410515.faa,5.06540012359619,1
k141_716108.faa,5.105386352539062,2
k141_498951.faa,4.499909019470215,1
k141_271402.faa,4.686113548278809,2
k141_57051.faa,7.9059513092041005,2
k141_290830.faa,4.6691186904907225,1
k141_476678.faa,5.411094856262206,1
k141_1411145.faa,4.679747581481934,3
k141_966790.faa,4.421215438842774,2
k141_442522.faa,5.241629409790038,2
k141_160560.faa,6.408221244812012,1
k141_1655026.faa,5.2113058090209945,1
k141_1529357.faa,4.987587547302245,1
k141_1603512.faa,5.466598129272461,2
k141_421913.faa,5.338738822937012,1
k141_162439.faa,4.9168798446655275,1
k141_1503596.faa,4.7285154342651365,1
k141_246537.faa,6.829170799255372,1
k141_1200039.faa,5.780605125427246,1
k141_519095.faa,5.408593940734862,3
k141_211686.faa,4.707826042175292,1
k141_479761.faa,4.489734840393066,3
k141_925483.faa,6.753177070617675,1
k141_522017.faa,4.5447265625,2
k141_859004.faa,4.15393009185791,1
k141_1089855.faa,4.775748634338378,6
k141_145535.faa,8.18039951324463,2
k141_163294.faa,5.82726993560791,1
k141_1451005.faa,4.9718431472778315,2
k141_586945.faa,5.269622611999511,2
k141_519056.faa,4.863223838806152,1
k141_792977.faa,4.448668670654296,2
k141_765455.faa,4.51588077545166,3
k141_1009700.faa,4.181042289733886,1
k141_236588.faa,4.87913875579834,1
k141_924010.faa,5.093535423278809,1
k141_1101360.faa,5.001228904724121,1
k141_558744.faa,9.51168155670166,1
k141_867111.faa,6.338138771057129,5
k141_1320474.faa,6.73385181427002,1
k141_394111.faa,5.197209739685058,1
k141_1043143.faa,4.270336341857911,2
k141_408611.faa,4.146256828308105,3
k141_335734.faa,4.986109733581542,1
k141_597864.faa,6.637879180908203,2
k141_814882.faa,4.0500284194946286,1
k141_1069027.faa,6.230883598327637,3
k141_342580.faa,4.168509292602539,4
k141_1137615.faa,4.0500284194946286,1
k141_1229493.faa,4.8042818069458,1
k141_867313.faa,5.386995124816894,1
k141_1008142.faa,4.106753730773924,1
k141_1680623.faa,4.703051567077636,1
k141_939247.faa,4.0500284194946286,1
k141_1331009.faa,4.5113336563110344,2
k141_378422.faa,4.903920555114746,1
k141_1346518.faa,4.458729171752929,2
k141_268143.faa,5.1283777236938475,3
k141_21869.faa,8.751534843444826,1
k141_977699.faa,4.7601747512817365,1
k141_762869.faa,5.281644058227539,2
k141_1684257.faa,6.732203483581543,1
k141_1493787.faa,5.810957145690918,1
k141_949159.faa,5.0618192672729485,1
k141_117883.faa,4.629729270935059,3
k141_936969.faa,5.081883430480955,1
k141_309387.faa,4.936887168884277,1
k141_1272093.faa,5.646323013305664,2
k141_1065543.faa,5.149777603149413,2
k141_329725.faa,4.27710018157959,1
k141_994304.faa,4.75000057220459,1
k141_224573.faa,5.163731575012205,1
k141_1185892.faa,5.594684791564941,1
k141_511552.faa,4.8686235427856435,3
k141_341880.faa,5.060170936584472,2
k141_139983.faa,4.957377624511719,2
k141_62373.faa,4.648031425476075,1
k141_1202979.faa,5.134857368469238,1
k141_597051.faa,6.385258293151855,1
k141_1572784.faa,6.190641593933105,2
k141_1068265.faa,4.319843101501465,1
k141_844131.faa,6.030071449279785,1
k141_1433082.faa,4.0500284194946286,1
k141_612753.faa,5.014983940124511,3
k141_697017.faa,4.586361122131348,1
k141_901444.faa,6.76528377532959,1
k141_1718296.faa,4.965249824523925,5
k141_1298113.faa,9.401634025573731,1
k141_1531125.faa,4.735620307922363,3
k141_1151354.faa,5.172655296325682,1
k141_1571273.faa,6.0218297958374025,1
k141_1097273.faa,4.933874702453611,1
k141_1464124.faa,8.200652503967284,1
k141_1616278.faa,5.322767066955566,1
k141_822538.faa,5.200875854492186,2
k141_1391686.faa,4.241746330261231,1
k141_1697772.faa,7.854521751403809,1
k141_208517.faa,4.621544456481933,1
k141_1095458.faa,4.825198554992675,1
k141_190709.faa,5.174303627014159,1
k141_914505.faa,4.45222110748291,2
k141_648677.faa,4.490985298156737,2
k141_841262.faa,4.552485084533691,1
k141_698132.faa,9.623340797424316,1
k141_1587718.faa,6.099585533142089,1
k141_586439.faa,5.962092018127441,1
k141_1681448.faa,4.723172569274902,3
k141_418761.faa,4.3744085311889656,2
k141_817781.faa,4.624386405944825,1
k141_303126.faa,4.701801109313963,1
k141_1522401.faa,7.1976787567138665,2
k141_1363160.faa,5.124512672424316,2
k141_820139.faa,4.322116661071779,1
k141_750164.faa,5.588773536682129,1
k141_1166659.faa,5.046074867248535,2
k141_902575.faa,4.875813674926757,2
k141_467758.faa,4.451510620117187,2
k141_765691.faa,4.742099952697754,1
k141_618646.faa,6.121923255920408,1
k141_752968.faa,4.442387962341309,3
k141_977129.faa,4.6459852218627935,1
k141_34242.faa,8.29935359954834,1
k141_396505.faa,4.922165870666503,1
k141_424852.faa,4.860609245300293,1
k141_1609760.faa,4.726355552673339,1
k141_111388.faa,4.892098045349121,3
k141_1710219.faa,4.0500284194946286,1
k141_50920.faa,5.163276863098144,2
k141_867460.faa,6.49661693572998,2
k141_258056.faa,5.515564918518065,3
k141_1342970.faa,5.447983360290528,1
k141_1059330.faa,5.207383918762206,3
k141_1095048.faa,8.056952476501465,3
k141_236214.faa,5.185898780822753,1
k141_1105842.faa,4.84509220123291,1
k141_1086587.faa,5.222787284851073,2
k141_712196.faa,5.135567855834961,2
k141_1692742.faa,4.411922264099122,1
k141_370296.faa,5.376764106750488,2
k141_745964.faa,5.7649744033813475,1
k141_1058576.faa,4.436363029479981,1
k141_1369075.faa,5.428714942932127,1
k141_1333421.faa,6.629729270935059,2
k141_867676.faa,5.3251543045043945,1
k141_737302.faa,5.309637260437011,2
k141_967662.faa,4.05520076751709,1
k141_633602.faa,4.634219551086425,1
k141_1545920.faa,5.9585111618042,1
k141_837055.faa,4.822186088562011,3
k141_596204.faa,4.514687156677247,1
k141_1706109.faa,4.97059268951416,1
k141_333391.faa,6.895160865783692,1
k141_862042.faa,5.432608413696289,4
k141_1411383.faa,4.269711112976074,2
k141_764943.faa,4.9304359436035154,2
k141_415864.faa,4.901590156555175,1
k141_1302167.faa,4.994408226013182,3
k141_428273.faa,6.367638206481933,1
k141_326777.faa,4.363722801208497,1
k141_786050.faa,5.105983161926268,1
k141_467202.faa,4.979885864257811,2
k141_210986.faa,4.634503746032714,1
k141_1333635.faa,4.575675392150879,1
k141_765678.faa,5.272635078430175,4
k141_227864.faa,5.077251052856445,2
k141_1571107.faa,5.07165241241455,1
k141_1391243.faa,4.885504722595214,3
k141_1331793.faa,4.122270774841308,1
k141_1361826.faa,4.916055679321289,4
k141_107271.faa,5.512552452087401,1
k141_652822.faa,4.458302879333496,2
k141_1350594.faa,4.563000297546388,1
k141_817967.faa,4.727719688415527,2
k141_90496.faa,7.982169151306152,3
k141_336809.faa,4.942571067810058,3
k141_839330.faa,4.0500284194946286,1
k141_1127997.faa,9.483250999450682,1
k141_1285430.faa,5.511472511291502,3
k141_698656.faa,4.4625658035278315,1
k141_414818.faa,4.544641304016113,1
k141_783504.faa,5.254503440856933,1
k141_116208.faa,4.772224617004395,2
k141_896276.faa,5.201756858825682,2
k141_117670.faa,4.622738075256348,1
k141_1699991.faa,5.267633247375487,1
k141_502263.faa,4.699527549743652,1
k141_927330.faa,5.042607688903809,1
k141_727073.faa,4.0500284194946286,3
k141_844873.faa,4.907558250427245,2
k141_1613458.faa,5.726721763610841,1
k141_680582.faa,4.48859806060791,1
k141_38718.faa,4.922109031677246,1
k141_2175.faa,4.920005989074705,1
k141_484990.faa,5.155319404602049,1
k141_718268.faa,5.316912651062012,3
k141_894677.faa,4.550552558898925,1
k141_401781.faa,4.453869438171386,3
k141_334561.faa,6.972405052185059,3
k141_656106.faa,4.745766067504883,2
k141_1413422.faa,5.61679515838623,3
k141_1405240.faa,4.836964225769043,2
k141_306288.faa,6.030753517150878,3
k141_1090292.faa,4.0500284194946286,1
k141_69230.faa,5.119112968444824,1
k141_1499914.faa,9.441991233825682,1
k141_1575002.faa,4.853277015686035,1
k141_102917.faa,5.060796165466308,3
k141_1055131.faa,5.3294172286987305,1
k141_314129.faa,6.736466407775879,1
k141_1367675.faa,4.482914161682129,1
k141_780024.faa,5.169472312927245,1
k141_575571.faa,5.265587043762206,1
k141_1600182.faa,6.952928352355956,2
k141_1700800.faa,7.772219467163085,2
k141_1546147.faa,4.43948917388916,1
k141_1494767.faa,6.105212593078612,1
k141_1060411.faa,4.704188346862792,1
k141_213487.faa,5.027318000793457,1
k141_505727.faa,4.891074943542479,1
k141_171537.faa,6.501366043090819,4
k141_1711058.faa,5.06591167449951,1
k141_192690.faa,5.114395332336425,2
k141_1274379.faa,4.384696388244628,1
k141_31517.faa,4.222932624816894,1
k141_1259360.faa,5.544950675964355,1
k141_1325917.faa,5.02359504699707,2
k141_737842.faa,4.786604881286621,1
k141_128287.faa,5.358916664123535,3
k141_571105.faa,4.697651863098144,1
k141_1075632.faa,4.895337867736816,1
k141_1053811.faa,5.265871238708496,1
k141_1470581.faa,9.702507972717285,1
k141_1608496.faa,4.662752723693848,1
k141_1693885.faa,4.144608497619628,1
k141_815977.faa,5.6038927078247065,1
k141_1662868.faa,4.619128799438476,2
k141_1431522.faa,5.442811012268066,1
k141_1003997.faa,4.999239540100097,2
k141_1000520.faa,4.9172777175903315,1
k141_805594.faa,5.1787939071655265,1
k141_1645555.faa,5.851255989074706,1
k141_582072.faa,4.331949806213379,1
k141_668822.faa,4.865724754333496,7
k141_412844.faa,4.9053699493408205,2
k141_505486.faa,4.234925651550292,1
k141_1136509.faa,4.925689888000488,3
k141_1387636.faa,7.215522003173829,2
k141_445920.faa,4.851145553588866,4
k141_1357615.faa,9.593878746032715,1
k141_579001.faa,4.870328712463378,1
k141_1708680.faa,4.240382194519043,5
k141_306465.faa,5.6142374038696286,1
k141_198949.faa,6.267487907409667,5
k141_223801.faa,5.504367637634277,1
k141_137600.faa,4.972695732116699,3
k141_1495900.faa,4.126988410949707,2
k141_132988.faa,4.324844932556153,1
k141_1300942.faa,5.71319408416748,1
k141_1529147.faa,4.645473670959473,1
k141_1719996.faa,4.857198905944824,1
k141_1657435.faa,4.577522659301758,2
k141_445049.faa,4.990941047668456,1
k141_1085015.faa,5.400011253356933,1
k141_1113063.faa,4.0500284194946286,1
k141_1423343.faa,5.1476461410522445,1
k141_1563767.faa,5.415641975402831,7
k141_1558929.faa,4.696770858764648,2
k141_349473.faa,5.291391944885253,3
k141_863312.faa,4.580364608764648,2
k141_737400.faa,4.904659461975096,1
k141_217255.faa,4.196161460876465,1
k141_271885.faa,5.3600818634033205,2
k141_842479.faa,6.672838211059571,2
k141_294835.faa,4.440171241760253,1
k141_1172462.faa,4.379154586791992,2
k141_527481.faa,4.471006393432617,4
k141_1697448.faa,4.894371604919433,1
k141_1225757.faa,8.960412406921389,1
k141_1328501.faa,4.7804662704467775,1
k141_817849.faa,5.257800102233887,3
k141_1363702.faa,4.644223213195801,3
k141_303977.faa,6.395432472229005,1
k141_980260.faa,4.662326431274415,8
k141_1413041.faa,6.686653327941895,2
k141_52160.faa,5.009527397155761,1
k141_171381.faa,7.735980033874512,1
k141_1498066.faa,4.780977821350096,1
k141_359489.faa,4.6191856384277346,2
k141_387487.faa,4.153759574890137,1
k141_832388.faa,4.130000877380371,1
k141_737992.faa,5.2209684371948235,1
k141_62666.faa,4.348944664001465,2
k141_1646167.faa,4.734369850158691,1
k141_1146300.faa,4.47950382232666,1
k141_497578.faa,5.202723121643066,3
k141_134742.faa,5.064206504821777,1
