Contig	Cueva_de_la_mora_lake_35m.sorted RPKM
k141_57774	535.5835
k141_201787	1952.0869
k141_171389	1026.63
k141_95280	921.2107
k141_171484	2454.7813
k141_76355	461.59525
k141_243058	578.4707
k141_214708	17279.26
k141_33923	444.9055
k141_5612	525.4246
k141_48236	1214.7499
k141_10074	921.3553
k141_81650	1005.72235
k141_257971	751.96594
k141_153470	5840.6934
k141_72581	1196.5957
k141_277322	641.72675
k141_134649	689.2088
k141_39604	646.0972
k141_59028	423.24664
k141_11447	17190.139
k141_301944	439.1009
k141_45252	3965.051
k141_49987	646.6506
k141_297723	349.8397
k141_297793	514.8268
k141_98140	574.14935
k141_12535	609.93976
k141_79405	1074.6674
k141_283856	639.24054
k141_179366	767.822
k141_112862	5297.1904
k141_260172	526.6765
k141_117711	25115.514
k141_117746	543.547
k141_103314	546.5922
k141_89233	550.66486
k141_289008	1134.2374
k141_17982	953.859
k141_241860	877.60205
k141_213308	559.1891
k141_85011	469.13525
k141_75477	552.23566
k141_299093	688.1932
k141_65934	539.91455
k141_213600	5259.891
k141_256697	1584.3606
k141_142221	561.4843
k141_304273	6517.5225
k141_261524	784.39215
k141_33174	1170.619
