Contig	Lake_bitter_B1.sorted RPKM
k141_91814	1112.321
k141_16489	1797.5786
k141_264	909.7724
k141_40155	901.61743
k141_111002	17965.574
k141_3231	442.7719
k141_14319	770.4939
k141_120143	1466.9791
k141_11886	597.6376
k141_4878	438.27905
k141_47246	1622.4973
k141_14420	2199.406
k141_28440	526.9218
k141_96782	606.3428
k141_26157	904.6838
k141_47322	2581.9644
k141_23886	1430.1511
k141_148604	2500.53
k141_134584	467.809
k141_110987	2598.697
k141_49797	470.42386
k141_80573	1230.5717
k141_21575	990.88824
k141_144000	1236.0283
k141_42938	2140.877
k141_38014	3003.3623
k141_85202	1130.42
k141_111190	3336.9773
k141_71078	1095.6029
k141_639	1043.355
k141_80794	3368.9048
k141_115842	573.3836
k141_24200	1163.3379
k141_125336	1148.6299
k141_31355	479.33182
k141_101917	1708.8303
k141_144226	541.38135
k141_106629	442.2155
k141_35995	1601.7081
k141_92571	2831.4973
k141_146637	2988.879
k141_125473	1655.3347
k141_76249	3508.6782
k141_123487	637.3085
k141_45806	628.2441
k141_52625	715.8526
k141_12768	3507.1025
k141_123724	546.5333
k141_43779	623.4562
k141_146997	1092.4468
k141_12956	408.19125
k141_130528	1218.2004
k141_93029	2105.2278
k141_112042	4242.892
k141_88702	1287.5405
k141_119174	519.19916
k141_20252	1098.8707
k141_79223	538.2093
k141_62755	579.61127
k141_83858	520.69434
k141_76969	573.72473
k141_130859	499.85834
k141_46367	381.2091
k141_39219	2540.5972
k141_22857	2808.2864
k141_13472	526.75757
k141_124267	607.37054
k141_30092	617.6749
k141_128990	510.97144
k141_91244	906.94806
k141_72146	644.1034
k141_89208	622.4657
k141_98241	582.81964
k141_77254	572.83344
k141_63323	1273.3267
k141_89305	1098.0259
k141_28083	392.07666
k141_112742	4413.9214
k141_58686	1263.4692
k141_46941	503.95917
k141_60824	609.8438
k141_49072	653.21027
k141_105662	490.4555
k141_72463	514.3275
k141_4294	40332.49
k141_11757	544.7623
k141_122143	566.40796
k141_127084	3290.4666
