Contig	Lake_Soyang.sorted RPKM
k141_1383	11.643829
k141_194127	30.874596
k141_1631	8.009069
k141_1448149	22.441338
k141_1448627	8.084407
k141_195505	13.491784
k141_966910	19.26121
k141_1353034	14.634586
k141_484926	14.158589
k141_581775	10.667653
k141_389675	6.742133
k141_679563	12.364405
k141_101678	17.734114
k141_1453240	41.011723
k141_1742982	13.070654
k141_683417	49.83245
k141_202550	55.35451
k141_1359144	14.029481
k141_395969	7.686487
k141_11376	9.226175
k141_879228	11.314471
k141_783868	81.082695
k141_300503	9.096564
k141_590934	40.781403
k141_1651345	49.645973
k141_494507	25.296305
k141_2230002	10.630143
k141_976802	6.749323
k141_1363919	12.275905
k141_690571	11.945302
k141_1557703	8.891298
k141_690950	17.940783
k141_1654072	10.880976
k141_1462541	73.49461
k141_883951	9.520209
k141_788860	6.7671747
k141_112921	49.62999
k141_1752935	7.830898
k141_885993	25.335018
k141_18659	8.103273
k141_598813	10.057835
k141_983445	9.26839
k141_1273287	13.636079
k141_888336	10.422583
k141_984684	33.701073
k141_2047391	47.300606
k141_215720	38.5465
k141_311046	15.359317
k141_1853905	15.948801
k141_407556	8.520206
k141_312305	19.16257
k141_2340535	21.758121
k141_1759313	31.48196
k141_606273	9.823012
k141_1665965	7.6314855
k141_1377054	4.662214
k141_2343564	11.02044
k141_510067	12.936559
k141_2346399	9.031151
k141_1478074	12.480854
k141_32355	9.9334345
k141_416902	9.53911
k141_1962407	13.29323
k141_418441	11.343991
k141_996669	14.771032
k141_228150	15.367083
k141_1191407	54.389618
k141_710397	8.592377
k141_229082	49.930374
k141_229334	5.239537
k141_2350763	22.403059
k141_808884	15.972934
k141_2252811	7.16513
k141_1192581	9.649397
k141_230694	21.632133
k141_421680	59.904236
k141_999312	8.052177
k141_1289037	10.139637
k141_1868664	10.947806
k141_1770931	9.975741
k141_715844	5.830348
k141_1002202	7.074733
k141_1002219	250.75302
k141_1679835	19.717924
k141_2163679	113.528114
k141_1293853	15.968888
k141_1873426	13.022956
k141_1681886	44.374493
k141_910629	11.962794
k141_2165962	7.6919346
k141_1007007	11.776597
k141_2261975	4.1525893
k141_722412	5.9563017
k141_47806	9.357167
k141_820688	18.799229
k141_1780952	76.88877
k141_145363	10.481756
k141_725361	10.68424
k141_529964	19.641644
