Contig	Lake_Victoria.sorted RPKM
k141_1047210	647.6097
k141_1071742	2461.6936
k141_29314	654.47095
k141_373140	672.4929
k141_63906	630.5839
k141_237267	1224.3884
k141_984167	1236.7775
k141_139133	806.7414
k141_1016731|provirus_136_7188	1677.8102
k141_896142	1369.9482
k141_2328	1320.8392
k141_151962	1153.6771
k141_152301	991.26044
k141_452194	746.7289
k141_5174	6681.8164
k141_753050	1313.3763
k141_307395	7876.1714
k141_9103	1110.585
k141_1055880	751.70905
k141_1056325	1155.2551
k141_908107	996.9902
k141_166289	540.88513
k141_1059755	1140.6482
k141_1061397	1100.0076
k141_914368	7537.5215
k141_916503	692.20197
k141_1066387	1081.8684
k141_321898	1418.4946
k141_1067132	874.9208
k141_922374	1107.6927
k141_26017	1073.09
k141_473434	979.7736
k141_924518	1364.5625
k141_778517	3137.161
k141_779236	2414.8997
k141_927695	1208.0297
k141_928228	1222.429
k141_781223	660.624
k141_781743	1259.583
k141_930540	812.67755
k141_34528	613.5568
k141_481652	731.3529
k141_785276	2183.9329
k141_482883	786.50366
k141_1080333	1024.8453
k141_346253	2636.7285
k141_939247	774.5018
k141_640565	737.04517
k141_348873	2504.108
k141_943196	2601.2761
k141_795267	1096.6293
k141_492355	674.7094
k141_944062	1269.1123
k141_51127	1095.3274
k141_206936	1029.0913
k141_54791	775.0161
k141_54813	1463.2189
k141_209364	1254.3025
k141_55695	652.7414
k141_507706	665.43506
k141_1105413	490.14944
k141_1106723	968.61993
k141_512350	843.6393
k141_512557	429.5316
k141_378222	1337.2903
k141_69524	759.1926
k141_819341	1085.925
k141_228482	619.4107
k141_825100	618.1502
k141_521734	914.4796
k141_523299	1289.2655
k141_974455	1102.3531
k141_976285	1542.4357
k141_1122266	1376.9144
k141_979045	545.91003
k141_678828	681.22296
k141_1125422	3303.0828
k141_1125593	1323.1355
k141_528800	1078.1646
k141_531361	894.07227
k141_1129421	952.6664
k141_683177	576.2574
k141_399355	751.5374
k141_840093	657.69794
k141_1135910	820.1014
k141_537901	1296.5913
k141_690763	492.14078
k141_251987	2725.575
k141_540663	984.06665
k141_540833	550.8939
k141_406614	608.5217
k141_407563	851.9119
k141_993597	595.2566
k141_694345	681.495
k141_995043	1526.1257
k141_849829	723.4382
k141_849877	623.9817
k141_258340	654.993
k141_258968	1446.0753
k141_98793	1299.778
k141_414085	2057.1409
k141_264079	694.1821
k141_1150728	1543.3151
k141_104158	686.5092
k141_1156203	1612.3092
k141_1159036	1256.3894
k141_709690	864.5233
k141_274346	1026.2235
k141_1010649	1015.83215
k141_1013907	1208.6669
k141_1016639	822.5842
k141_122886	442.9135
k141_1023521	832.3144
k141_572195	613.8512
k141_1025373	1522.4501
k141_1179411	1288.3674
k141_729649	2953.7424
k141_575997	634.31494
k141_1184255	626.7741
k141_295805	1223.8821
k141_1033174	1271.8354
k141_1033593	1388.5516
k141_1033610	1233.3195
k141_582366	646.0491
k141_1188474	1100.1648
k141_889977	668.75995
k141_140401	1174.5095
k141_1039229	1303.1992
k141_1039500	1171.5481
k141_743757	478.48413
k141_1042907	987.8562
