Contig	Lake_tanatar_TC.sorted RPKM
k141_41589	63.609943
k141_60108	1617.8422
k141_152707	103.27573
k141_12444	125.29545
k141_82548	1985.6908
k141_104680	295.205
k141_123351	2030.359
k141_223151	856.5342
k141_27764	401.2738
k141_24262	69.80526
k141_227482	472.50317
k141_28156	476.20734
k141_213471	153.7049
k141_9931	289.3147
k141_32970	168.14107
k141_147822	117.96437
k141_170001	57.74416
k141_29619	57.53067
k141_70280	271.1512
k141_121978	933.0104
k141_3810	2548.675
k141_195973	187.70859
k141_99997	1936.9205
k141_199691	338.37283
k141_33442	1718.1111
k141_81431	903.7621
k141_225597	401.4929
k141_103620	59.316235
k141_210852	834.6436
k141_51929	186.65562
k141_188670	2439.426
k141_229357	6801.9355
k141_96426	85.57218
k141_4022	245.54126
k141_233182	4862.4277
k141_173993	343.1436
k141_48356	594.25397
k141_89102	997.43256
k141_126024	1103.8099
k141_96467	928.23
k141_111213	980.18835
k141_188787	856.0325
k141_103856	85.30274
k141_140818	881.22095
k141_129777	1851.373
k141_52126	408.22565
k141_59552	339.01614
k141_229574	629.9805
k141_52149	1078.4857
k141_185382	2182.5012
k141_129933	369.2464
k141_92904	1829.2782
k141_70759	869.90894
k141_89252	80.51659
k141_30189	311.38074
k141_126248	57.20627
k141_100331	209.52188
k141_96762	1684.9165
k141_85809	367.07425
k141_7764	142.07683
k141_144707	950.4115
k141_152165	3489.2737
k141_81945	4487.0557
k141_144714	488.43698
k141_85852	141.10733
k141_159646	76.60334
k141_59871	2319.356
k141_229735	69.7365
k141_822	202.73598
k141_211289	67.47136
k141_60004	721.8469
k141_122778	83.63255
k141_34035	1542.8864
k141_30449	649.67615
k141_23210	89.49737
k141_152385	533.21924
k141_207741	342.48425
k141_78744	54.01457
k141_4644	689.38226
k141_67434	57.55084
k141_219109	59.868744
k141_89602	98.618004
k141_100741	1204.3414
k141_23376	1408.7723
k141_152601	308.7814
k141_133883	1327.4254
k141_226530	9610.151
k141_126841	363.5851
k141_123140	243.32414
k141_82405	75.19941
k141_133984	103.22682
k141_93488	183.06339
k141_204340	95.44105
k141_56940	92.5462
k141_130651	2151.6682
k141_182421	78.20825
k141_226700	333.30475
k141_123260	64.60108
k141_234143	984.77264
k141_45762	617.2179
k141_112214	200.76422
k141_230265	565.2122
k141_182551	952.3316
k141_119736	142.86888
k141_127046	1931.7345
k141_164023	765.0769
k141_112239	204.41745
k141_152896	1203.3961
k141_42003	431.04147
k141_164049	422.56277
k141_1576	767.2951
k141_189943	149.63043
k141_71595	949.69446
k141_134237	1005.52765
k141_197275	113.30187
k141_57268	54.51746
k141_215977	73.60191
k141_8645	373.42218
k141_142161	487.21628
k141_93859	172.93143
k141_97735	146.62224
k141_108972	785.9502
k141_190318	66.8992
k141_216236	1253.9409
k141_204831	896.1286
k141_20559	82.8093
k141_204881	126.632256
k141_20589	251.87889
k141_179348	190.37422
k141_230782	451.20547
k141_27786	69.81523
k141_5593	456.26816
k141_164648	1243.8665
k141_175717	163.0458
k141_234750	504.15057
k141_5632	2068.906
k141_98018	256.04532
k141_53687	222.51175
k141_94213	905.0221
k141_120560	65.08739
k141_124038	96.38053
k141_157529	486.52417
k141_101798	804.5376
k141_234972	406.194
k141_150252	456.7157
k141_168634	439.28168
k141_90824	1321.9331
k141_231180	134.22333
k141_61507	665.3925
k141_35545	332.13284
k141_168701	746.149
k141_87215	1132.3545
k141_131956	571.7453
k141_172942	1320.2345
k141_128204	137.01894
k141_46956	153.80951
k141_231362	768.1828
k141_135223	231.68095
k141_224202	778.9592
k141_83721	663.99817
k141_98433	191.83217
k141_68759	50.10669
k141_228035	1077.1104
k141_98464	182.8936
k141_202030	1178.5253
k141_43285	831.11304
k141_76538	890.60016
k141_173200	265.79736
k141_83860	3187.492
k141_117443	57.767002
k141_47193	365.34668
k141_61902	6813.673
k141_217220	147.83684
k141_110140	116.02362
k141_158221	39.459663
k141_161847	184.79688
k141_54575	145.50511
k141_69017	3022.2642
k141_224651	101.24563
k141_135555	243.367
k141_72854	317.02902
k141_135564	250.7442
k141_173504	49.247303
k141_54648	80.93351
k141_217519	119.162315
k141_117785	193.92615
k141_158509	48.53097
k141_58844	1425.7799
k141_21800	67.98663
k141_117840	91.15016
k141_58941	457.76636
k141_32579	67.57078
k141_62311	785.185
k141_143649	61.60629
k141_187612	62.19924
k141_54850	241.65416
k141_184291	58.908306
k141_6998	1151.0902
k141_17894	1893.1776
k141_25540	192.45302
k141_228537	87.85805
k141_154638	65.279366
k141_66103	68.21234
k141_73239	66.28055
k141_132690	158.93993
k141_225036	54.310703
k141_169708	193.17354
k141_187719	3099.44
k141_158746	361.19754
k141_110682	549.3178
k141_84522	963.1309
k141_221656	69.01057
k141_114094	75.39085
k141_198922	342.06918
k141_99245	50.909748
k141_10407	516.79126
k141_99269	75.37224
k141_133022	371.34784
k141_51615	1011.143
k141_140330	498.71027
k141_66348	728.0674
k141_184649	88.24883
k141_140364	119.373314
k141_99347	311.62448
k141_184657	355.78702
k141_144061	174.8231
k141_84870	125.14134
k141_88261	40.80093
k141_229036	321.4909
k141_236324	418.46152
k141_69872	76.094345
k141_195570	812.32446
