Contig	Lost_city.sorted RPKM
k141_234942	237.6937
k141_563144	45.99636
k141_575617	208.74092
k141_429116	40.17182
k141_67379	16.094288
k141_140105	123.75987
k141_171080	411.88605
k141_75277	154.92345
k141_127639	1381.346
k141_202567	20.070879
k141_300335	55.7101
k141_220317	25.929867
k141_244770	20.706358
k141_187696	17.054539
k141_343419	407.72552
k141_68853	22.821833
k141_143281	129.94145
k141_1612208	17.001217
k141_1434497	51.285027
k141_464890	20.366402
k141_1180078	10.588398
k141_1206812	16.030079
k141_1591223	14.501386
k141_135378	24.669916
k141_187785	11.782376
k141_1286795	150.18906
k141_443577	26.711416
k141_1238006	28.90114
k141_1595562	18.70033
k141_599216	8.561588
k141_625081	30.342497
k141_321983	231.7695
k141_1293396	26.786823
k141_1063507	36.78791
k141_757226	30.704195
k141_1218266	31.858856
k141_553898	19.80034
k141_503781	25.323912
k141_18842	18.577503
k141_1323548	381.70886
k141_509249	16.877665
k141_1480442	20.210567
k141_1556969	10.452767
k141_126795	24.668459
k141_765427	20.454481
k141_791677	12.502257
k141_639724|provirus_6003_41730	10.328276
k141_1371454	19.04259
k141_685883	7.16826
k141_655317	15.524285
k141_219260	19.099653
k141_1933043	59.07835
k141_1685083	12.832291
k141_96962	7.7359033
k141_191247	41.50935
k141_1594319	14.449477
k141_161516	21.7503
k141_941036	33.848854
k141_225779	21.63159
k141_600422	17.965853
k141_1193084	17.033941
k141_1941218	12.84417
k141_445381	16.7989
k141_258741	14.4799385
k141_1942864	18.907322
k141_72241	11.672498
k141_508874	18.356022
k141_1695635	14.925396
k141_573622	15.595995
k141_1291520	12.855645
k141_482304	7.9417157
k141_326790	16.994669
k141_264712	10.416437
k141_202576	17.463945
k141_1045554	9.079996
k141_1982517	8.045897
k141_175248	16.418787
k141_332199	70.17734
k141_1049591	12.4840555
k141_986841	11.746937
k141_176877	14.4065695
k141_1922395	20.528769
k141_802382	15.130604
k141_864539	36.986744
k141_833926	18.578373
k141_647287	23.444403
k141_243285	11.039554
k141_1178823	8.721374
k141_1428070	62.935326
k141_1524183	21.390335
k141_59774	16.237146
k141_185176	15.898473
k141_309239	13.924406
k141_715113	8.446882
k141_1245202	5.3988786
k141_117963	51.155598
k141_23375	80.028694
k141_106574	25.193773
k141_13643	9.609157
k141_41414	71.8227
k141_2115	2181.069
k141_135529	28.257608
k141_123398	19.36535
k141_150459|provirus_199_7183	9.9578085
k141_64730	29.408459
k141_181487	99.80956
k141_394111	62.243046
k141_272099	26.855167
k141_368814	41.40933
k141_253187	8.524716
k141_124671	72.46357
k141_227715	46.320934
k141_118455	15.756624
k141_259464	8.835693
k141_131982	31.316175
k141_228849	65.28582
k141_209195	5.909253
k141_93524	71.88559
k141_138629	432.47012
k141_81941	19.69847
k141_23585	49.796013
k141_114259	40.56753
k141_146787	45.988914
k141_191449	142.04932
k141_114551	9.169466
k141_321285	7.354905
k141_223822	44.49345
k141_69972	56.163292
k141_223976	46.51294
k141_178800	39.647083
k141_410638	770.34894
k141_37961	56.92499
k141_637018	50.027733
k141_724646	72.457535
k141_587314	55.116154
k141_87779	843.5186
k141_425056	35.28483
k141_612535	46.743057
k141_562648	32.923656
k141_187848	18.680513
k141_150633	29.699614
k141_400513	40.018806
k141_200910	13.017732
k141_738014	73.77151
k141_425932	6.100409
k141_413402	160.38101
k141_26377	98.47381
k141_138867	48.950798
k141_788698	52.29121
k141_201975	128.85422
k141_164394	30.12845
k141_551580	14.682372
k141_539591	33.026417
k141_727058	101.63436
k141_439752	115.59153
k141_727273	1831.2484
k141_77609	30.856178
k141_202770	607.29614
k141_639901	39.824715
k141_577511	78.645424
k141_790066	32.7247
k141_715396	23.38073
k141_577805	76.83635
k141_690569	39.10734
k141_515675	246.90866
k141_166112	95.16612
k141_653154	22.50797
k141_3789	6.5975204
k141_740524	98.74913
k141_228466	46.303406
k141_278701	15.561401
k141_465886	6.4818735
k141_303523	232.28351
k141_303915	56.26553
k141_741092	105.4265
k141_466485	78.59652
k141_241967	58.291203
k141_566632	113.059685
k141_454342	65.758705
k141_479453	27.08439
k141_441779	118.10078
k141_666863	5649.5674
k141_779385	28.723852
k141_254392	58.31596
k141_467165	35.73481
k141_30239	50.268135
k141_5946	14.1162
k141_330624	12.908529
k141_342801	86.46537
k141_642589	53.82787
k141_730331	37.914402
k141_543546	45.647892
k141_206461	62.645542
k141_656276	45.77049
k141_293704	69.289314
k141_81067	2039.4878
k141_669114	327.89108
k141_407072	76.449394
k141_319311	101.522
k141_407159	30.402103
k141_294689	308.65024
k141_719559	39.49056
k141_119821	454.9107
k141_582526	122.93424
k141_220534	85.23255
k141_619975	24.400906
k141_307716	32.536694
k141_120690	39.41768
k141_620333	63.19065
k141_320679	35.146946
k141_745395	27.67816
k141_483545	42.857098
k141_283929	63.082783
k141_209103	28.827518
k141_246687	23.18564
k141_221457	48.444363
k141_745902	704.6056
k141_558606	28.399881
k141_734136	64.50391
k141_171967	52.697544
k141_134544	25.884886
k141_72378	336.90067
k141_484980	181.08928
k141_722100	180.82076
k141_35104	57.845165
k141_635039	29.89803
k141_198391	134.13284
k141_635669	95.860756
k141_722902	95.79708
k141_460532	107.46194
k141_723398	161.32582
k141_448136	93.98758
k141_573836	70.26651
k141_299616	35.12404
k141_798653	800.2768
k141_74785	16.929607
k141_498657	40.21881
k141_262183	102.03175
k141_204417|provirus_26975_70331	17.156343
k141_300234	899.68445
k141_252449	47.993248
k141_354623	43.282486
k141_12357	602.0993
k141_150517	24.421097
k141_12447	66.62215
k141_348611	76.769844
k141_24479	34.466988
k141_187118	69.123566
k141_295012	247.14734
k141_85021	274.01712
k141_217325	101.826866
k141_151257	36.15064
k141_151317	20.693872
k141_265607	35.882282
k141_355845	1937.681
k141_295777	2618.3203
k141_151798	36.4631
k141_67793	31.01608
k141_272030	571.6756
k141_55980	200.93619
k141_91902	57.302586
k141_91940	33.32499
k141_128051	30.164677
k141_134140	24.943062
k141_158365	113.39723
k141_218279	15.529922
k141_56229	1418.664
k141_134271	93.34272
k141_80409	8.738659
k141_176324	106.88239
k141_44093	82.235115
k141_266700	129.2231
k141_32536	71.9858
k141_374350	1694.4309
k141_3032	19.907053
k141_81042	77.408714
k141_291154	35.355495
k141_225178	15.491331
k141_327304	28.39194
k141_123116	149.52568
k141_195244	27.185705
k141_183376	59.450863
k141_21682	118.6934
k141_117304	28.896862
k141_291664	33.966198
k141_291688	17.699257
k141_345361	35.42832
k141_105813	34.484932
k141_183763	9.143826
k141_333781	53.801212
k141_21997	25.812622
k141_57953	72.238365
k141_280292	29.905
k141_274094	8.972425
k141_316023	28.19465
k141_226144	156.15723
k141_262312	18.238506
k141_292342	7.7223706
k141_142436	53.273827
k141_4739	111.98611
k141_190772	96.161026
k141_268514	61.039215
k141_34628	46.06506
k141_375924	18.733118
k141_220617	51.723736
k141_100328	57.93085
k141_310951	96.836006
k141_268900	33.8235
k141_328581	257.38837
k141_124574	50.39286
k141_364503	28.026476
k141_167603	47.562214
k141_17256	115.76458
k141_275359	74.516174
k141_221450	31.65654
k141_192078	124.93576
k141_263753	44.794598
k141_347459	8.237367
k141_119896	133.13599
k141_299915	30.94473
k141_299977	19.521942
k141_47798	207.20255
k141_383621	741.3993
k141_332756	105.02137
k141_298350	26.494623
k141_137735	57.127922
k141_286928	7918.4395
k141_172214	72.72828
k141_264160	28.436127
k141_258356	18.217493
k141_229719	72.16119
k141_246961	157.13216
k141_263	144.14586
k141_86328	29.27484
k141_115076	19.404093
k141_258545	14.237621
k141_355971	18.76307
k141_86386	36.147106
k141_310206	39.79457
k141_361846	177.5143
k141_270207	21.781778
k141_155722	26.623768
k141_132699	40.91512
k141_299042	40.634705
k141_58248	52.609684
k141_35097	36.84663
k141_52462	114.31272
k141_327623	29.74819
k141_178570	29.977652
k141_18016	42.613754
k141_52695	51.853577
k141_322248	41.09506
k141_322252	37.52511
k141_259071	16.47602
k141_190178	80.677086
k141_52766	66.90651
k141_167521_2	19.042824
k141_219129	76.62957
k141_333826	31.324314
k141_70165	12.640097
k141_345399	16.666376
k141_333849	42.49808
k141_81517	29.617609
k141_265682	21.50275
k141_47162	12.202158
k141_288214	7.280183
k141_202088	102.2668
k141_202142	72.835
k141_30127	45.61511
k141_127765	49.66926
k141_18673	61.10684
k141_1638_2	14.7632885
k141_53401	153.50343
k141_30346	25.655046
k141_99221	122.89698
k141_305846	487.41534
k141_214172	80.38745
k141_81947	44.212963
k141_345990	21.476662
k141_12969	92.91218
k141_294174	21.9491
k141_254952	256.64868
k141_185539	20.998987
k141_122747	76.873955
k141_289032	18.170853
k141_2090	14.260989
k141_116784	417.79086
k141_99625	287.0125
k141_283342	40.35239
k141_334789	20.651611
k141_65337	188.63611
k141_76708	20.489605
k141_329756	753.4081
k141_214479	11.345348
k141_300959	22.186695
k141_163161	23.881052
k141_260959	53.06121
k141_157497	57.703274
k141_323931	16.352959
k141_220894	56.76133
k141_186104	132.37944
k141_226607	25.80667
k141_220939	714.38947
k141_301248	77.9046
k141_335486	25.608223
k141_123183	106.34074
k141_346669	27.622774
k141_335589	57.08765
