Contig	Malaren_B.sorted RPKM
k141_370247	61.54308
k141_1356603	46.243725
k141_1356954	40.71959
k141_1788877	66.274506
k141_1603307	70.061935
k141_125923	44.509254
k141_67122	61.373543
k141_1793246	161.69017
k141_625236	56.25295
k141_378936	78.28054
k141_504462	134.66815
k141_381163	39.445103
k141_135550	26.269545
k141_74964	68.994446
k141_995697	34.706017
k141_811544	55.55413
k141_1494747	46.275192
k141_629358	42.369823
k141_13945	77.18987
k141_1061274	58.668762
k141_1061487	59.032932
k141_1617563	66.25032
k141_571271	327.8256
k141_756901	117.10444
k141_882060	45.454475
k141_1067885	58.16103
k141_819963	35.591885
k141_1316747	30.96281
k141_700233	56.59099
k141_1507288	118.76311
k141_150171	52.955894
k141_703154	43.649513
k141_1813750	60.62517
k141_93415	106.83917
k141_826438	49.867973
k141_1696554	142.1373
k141_585723	49.077923
k141_155813	35.3278
k141_1940297	39.821644
k141_402422	41.915257
k141_1940703	56.887638
k141_280084	92.0982
k141_1396124	57.937767
k141_1451979	40.42487
k141_962032	65.00614
k141_1706224	35.410347
k141_1885087	28.363953
k141_1763488	33.104145
k141_164355	49.240017
k141_716104	44.58251
k141_105619	54.0821
k141_781386	36.75593
k141_1708889	50.936558
k141_1525620	78.94473
k141_659790	37.464584
k141_1767220	121.437675
k141_108204	78.59393
k141_838812	54.94721
k141_1768419	43.462803
k141_1527386	90.52388
k141_1649874	51.733994
k141_1217416	45.661915
k141_786002	46.83657
k141_1770164	35.222347
k141_1587497	73.6647
k141_605860	46.05748
k141_1590937	107.41026
k141_1960971	63.38182
k141_673082	65.702415
k141_915681	32.77618
k141_1229829	51.272198
k141_979538	42.23666
k141_854921	55.440144
k141_734956	51.635284
k141_919679	42.09827
k141_1044201	50.695034
k141_1244211|provirus_2_5560	47.424004
k141_408060|provirus_2_9573	174.48308
k141_1907349	33.191586
k141_307670	123.71835
k141_1784415	65.13959
k141_923081	41.720215
k141_1661418	61.41545
k141_246334	152.21974
k141_861674	61.276783
k141_1538487	46.25569
k141_430955	61.902477
k141_430964	88.30857
k141_492467	42.32946
k141_369498	73.78595
k141_615577	46.949577
k141_1292492	98.1947
k141_615601	61.737034
k141_861965	44.781097
k141_369616	48.229183
k141_431147	71.04009
k141_123469	24.419216
k141_615876	61.87
k141_1477505	47.769093
k141_1416009	91.5302
k141_1477635	61.212646
k141_1600756	76.380264
k141_1354637	38.881847
k141_1477814	40.290283
k141_1600947	40.14681
k141_431589	205.80876
k141_739296	103.76157
k141_1786050	61.315388
k141_739337	175.52457
k141_985635	48.25165
k141_493267	32.226006
k141_1847040	73.96533
k141_801069	65.17067
k141_493396	40.223255
k141_1416779	55.00013
k141_1724618	80.24945
k141_1847460	39.768253
k141_124431	155.41832
k141_370551	91.01257
k141_555355	183.52214
k141_739881	123.83379
k141_1048078	103.62464
k141_863369	98.246185
k141_309202	70.84849
k141_1355957	38.684727
k141_1171342	57.09692
k141_494061	279.52777
k141_1663371	41.289272
k141_1725164	89.11902
k141_1693	85.70467
k141_1232867	46.782406
k141_1540747	71.022705
k141_124847	41.590225
k141_432524	46.097748
k141_1479831	132.31268
k141_1479845	97.62311
k141_1171783	58.312523
k141_1540974	27.801462
k141_1540986	134.90083
k141_1602612	54.278957
k141_1048633	105.67683
k141_1541023	43.32383
k141_1417641	59.562473
k141_186546	50.867702
k141_1725840	44.76293
k141_679114	52.582832
k141_556064	49.813595
k141_740655	96.9881
k141_1480370	95.18213
k141_1664296	41.5403
k141_1664305	125.90275
k141_248886	35.732533
k141_186937	129.67332
k141_125513	173.09766
k141_64335	35.17053
k141_1664445	128.6333
k141_494977	89.28523
k141_556433	92.85015
k141_1480698	119.4245
k141_1110800	130.2875
k141_125697	51.246716
k141_1726305	35.9571
k141_1788992	26.788692
k141_1233862	54.1523
k141_1603525	71.897194
k141_1357308	52.420227
k141_618392	321.3593
k141_618440	39.99469
k141_1603651	67.59393
k141_1726698	192.07857
k141_187393	64.39114
k141_1111321	232.64246
k141_987684	160.60834
k141_1603744	44.775177
k141_802747	50.874474
k141_1603941	169.72417
k141_865026	313.91702
k141_1234405	90.469955
k141_1911587	48.585835
k141_1049996	176.65352
k141_865162	771.01
k141_741789	79.90644
k141_927131	112.6044
k141_1849966	98.79379
k141_1665421	60.28557
