Contig	Picturesque.sorted RPKM
k141_638124	413.64908
k141_249894	161.04875
k141_24005	557.29816
k141_380388	158.23212
k141_176941	2051.3208
k141_123442	203.60094
k141_675839	1709.7906
k141_125313	274.3752
k141_492550	1934.531
k141_385710	835.9519
k141_386232	316.20444
k141_136931	249.5553
k141_407993	203.37964
k141_396195	314.2886
k141_559345	272.54675
k141_453222	253.11006
k141_312965	403.80093
k141_561159	431.35092
k141_32384	663.8141
k141_172729	210.61688
k141_593661	1488.5352
k141_21811	554.025
k141_259252	269.20856
k141_572379	234.46892
k141_216307	196.21916
k141_432184	215.4794
k141_11330	390.3414
k141_151688	414.43396
k141_76126	208.9379
k141_605013	364.8599
k141_626607	4005.8186
k141_43965	1610.696
k141_249078	336.7414
k141_119571	223.94572
k141_65519	2473.5845
k141_670070	208.07399
k141_378817	138.13618
k141_648514	182.16672
k141_303102	457.68195
k141_368047	168.89711
k141_227515	795.983
k141_281568	235.80238
k141_605585	318.205
k141_173726	455.88528
k141_465271	1380.5635
k141_152343	551.62286
k141_400733	466.46857
k141_530295	391.89557
k141_227780	485.63205
k141_379272	2096.8193
k141_541011	3065.791
k141_120269	785.5646
k141_422605	598.2745
k141_271274	389.98453
k141_411721	772.75775
k141_174244	178.3196
k141_66224	257.06152
k141_303885	283.40158
k141_87904	1993.8698
k141_509158	2154.222
k141_444314	1813.6276
k141_120626	340.9527
k141_509310	284.68124
k141_228426	197.8222
k141_207057	682.5719
k141_509556	3942.4255
k141_207235	368.91556
k141_315302	477.52405
k141_271858	455.65863
k141_239728	1225.6472
k141_153483	168.66779
k141_390723	467.74524
k141_423310	371.92194
k141_131753	249.48778
k141_77868	2072.3499
k141_423394	238.59792
k141_121412	255.82266
k141_434429	349.84213
k141_650260	374.38528
k141_196940	244.83673
k141_326271	222.52505
k141_315900	272.5894
k141_628513	551.07355
k141_661102	750.9206
k141_13782	269.2543
k141_650433	443.9888
k141_197175	455.0357
k141_596680	227.78137
k141_110769	331.86453
k141_24932	192.7903
k141_132313	265.2319
k141_316181	474.71198
k141_14062	207.38774
k141_607809	2861.466
k141_305595	427.24188
k141_564641	237.01233
k141_262405	373.24158
k141_683060	172.78397
k141_316500	190.42867
k141_3371	277.08307
k141_403143	386.51324
k141_489168	1769.2681
k141_220030	263.00095
k141_132954	863.8481
k141_262891	840.4313
k141_500693	252.9069
k141_424807	2496.866
k141_111513	347.78418
k141_133115	239.44603
k141_263003	345.61008
k141_360085	366.9751
k141_252121	921.5635
k141_479077	580.44305
k141_479127	163.15392
k141_543515	294.4608
k141_533112	1835.6647
k141_651700	239.79582
k141_425183	277.02988
k141_436093	977.2158
k141_4035	227.64146
k141_371614	999.13696
k141_414482	255.33405
k141_284641	196.73857
k141_338667	261.82486
k141_230827	249.88994
k141_263597	3314.8374
k141_425556	270.1922
k141_230974	646.8074
k141_155905	372.95114
k141_328084	251.22916
k141_58878	249.2914
k141_673995	3341.8625
k141_674022	194.46983
k141_339095	3016.085
k141_102274	347.04868
k141_534160	289.73703
k141_372460	198.17014
k141_167079	2903.1843
k141_674578	655.0345
k141_620427	918.7405
k141_350486	1860.2386
k141_556051	168.94992
k141_274996	942.8182
k141_447270	224.49348
k141_502396	598.18005
k141_490986	353.79517
k141_16476	312.96783
k141_16526	306.4953
k141_297059	2106.0615
k141_437712	630.17194
k141_599355	279.10422
k141_37847	195.20987
k141_620797	1546.7181
k141_189363	311.16513
k141_60104	2422.11
k141_362076	488.49213
k141_253974	287.68018
k141_438018	600.72974
k141_664206	375.75476
k141_610599	677.9505
k141_503150	306.3541
k141_17129	212.60797
k141_113860	363.53534
k141_125134	233.32353
k141_286673	533.57043
k141_49687	145.75795
k141_459558	479.94223
k141_632252	2157.3608
k141_265824	351.12048
k141_243502	414.1872
k141_320130	573.84424
k141_676180	302.82147
k141_276353	665.5678
k141_265927	1163.6563
k141_6842	438.25616
k141_676312	367.97534
k141_243679	817.71686
k141_146426	342.7625
k141_7013	200.94087
k141_71422	202.40686
k141_524986	749.3677
k141_460413	324.00854
k141_601100	177.0958
k141_525176	1158.7332
k141_146937	301.63098
k141_655288	327.74118
k141_266616	1020.30524
k141_525458	173.02145
k141_39751	252.1218
k141_136511	454.30167
k141_298817	1268.2029
k141_386143	1570.8097
k141_201968	165.76515
k141_93801	411.4374
k141_440009	275.37793
k141_655938	3021.611
k141_612716	260.7009
k141_181110	755.8272
k141_19019	639.22003
k141_396019	322.39697
k141_105284	293.53354
k141_8357	265.09796
k141_461321	249.82326
k141_449762	876.2779
k141_526117	216.70483
k141_569784	1589.8712
k141_288555	206.35927
k141_202597	473.88965
k141_202755	412.87253
k141_526512	237.46892
k141_31509	264.99902
k141_387259	239.47939
k141_19953	419.25717
k141_148468	444.3931
k141_192778	3275.2192
k141_430167	346.23694
k141_450561	930.89355
k141_538252	261.08725
k141_376854	245.13081
k141_624119	207.23029
k141_73447	365.02896
k141_354334	1164.8643
k141_117028	216.65138
k141_268759	245.83073
k141_128892	192.36853
k141_506660	2981.9128
k141_279175	231.33609
k141_246498	272.71335
k141_279183	162.53015
k141_484748	810.229
k141_388232	304.4766
k141_377291	205.30812
k141_279242	351.00458
k141_495111	204.1112
k141_149322	326.3586
k141_279482	470.80197
k141_485074	168.3541
k141_333735	261.78708
k141_74199	401.09567
k141_193913	185.39224
k141_355171	250.9471
k141_42181	431.91873
k141_247101	236.34361
k141_451732	235.27745
k141_53866	239.53587
k141_451897	390.99936
k141_118494	881.6406
k141_549875	268.41174
k141_74892	742.91394
