Contig	Tanatar_5.sorted RPKM
k141_218660	834.5925
k141_30774	12.891825
k141_213095	8034.731
k141_243438	426.75854
k141_213427	8.870784
k141_146727	116.44942
k141_226090	809.8822
k141_98527	61.10878
k141_13678	192.52225
k141_256701	29.495064
k141_80864	27.914598
k141_56577	17.743225
k141_39095	14.156631
k141_178841	593.25977
k141_349289	148.42664
k141_228003	34.45914
k141_179048	226.71164
k141_191966	19.314163
k141_3772	17.9836
k141_113886	11.700583
k141_29451	20.173286
k141_23528	12.41603
k141_36181	140.57182
k141_78950	2800.7383
k141_212536	1421.9609
k141_267188	818.2659
k141_327922	350.2712
k141_236845	561.4425
k141_206473	92.575386
k141_303640	22.841158
k141_267195	1008.58167
k141_139727	238.28922
k141_133664	56.48172
k141_6142	120.592545
k141_194414	21.355858
k141_315909	25.242533
k141_230888	75.0481
k141_243001	63.8343
k141_340211	286.5317
k141_91211	1264.9856
k141_30498	34.80185
k141_54783	286.6346
k141_200563	14.899355
k141_222	3180.9512
k141_285580	253.90083
k141_176270	13.756133
k141_218805	184.79973
k141_133761	52.20787
k141_91283	26.115837
k141_231007	25.501766
k141_352491	14.856798
k141_231023	343.72308
k141_48783	58.518692
k141_200624	25.56422
k141_109526	421.06143
k141_73084	732.7682
k141_79122	107.58772
k141_85314	140.28224
k141_194556	257.03415
k141_6378	197.70218
k141_261394	17.61524
k141_194567	10.846128
k141_54934	10.431046
k141_261411	102.27467
k141_79209	16.946817
k141_48921	1074.2292
k141_109655	13.523349
k141_54951	1361.3729
k141_42923	20.230536
k141_91437	28.770708
k141_36747	28.763577
k141_206819	1230.623
k141_200846	61.41879
k141_267536	198.6808
k141_225099	87.17498
k141_340524	753.12445
k141_127982	126.939186
k141_115781	182.81201
k141_115784	124.884735
k141_164350	19.600834
k141_249464	316.42557
k141_249473	164.4872
k141_6548	39.45341
k141_213067	66.71258
k141_267609	51.70282
k141_24768	187.87889
k141_140107	612.14966
k141_243324	7335.9663
k141_194653	72.04661
k141_346498	28.817673
k141_170518	953.81104
k141_55142	176.76022
k141_122007	156.51942
k141_91588	74.94722
k141_170572	158.2474
k141_12684	62.65779
k141_30919	95.231544
k141_213174	94.17613
k141_292076	168.9098
k141_298199	16.718689
k141_12774	46.86335
k141_371103	132.71533
k141_49220	57.076054
k141_717	24.257288
k141_279973	957.45935
k141_12817	77.24231
k141_79592	12.558951
k141_280024	600.60626
k141_243587	189.74258
k141_128292	419.05414
k141_73536	18.711344
k141_304414	21.562756
k141_346775	6320.866
k141_128324	14.035807
k141_261878	704.3911
k141_176843	169.39093
k141_292296	181.78415
k141_73619	19.799404
k141_328815	83.42342
k141_194957	508.3288
k141_25163	13.337655
k141_170885	34.37813
k141_86051	342.90665
k141_19067	109.39027
k141_377318	14.881878
k141_67784	55.906036
k141_146682	75.492805
k141_164865	231.99426
k141_256015	63.946507
k141_219607	525.3479
k141_353142	337.6506
k141_383416	271.44708
k141_146719	342.37283
k141_92043	84.65465
k141_31331	19.088293
k141_128499	78.53805
k141_371427	22.377106
k141_328992	19.89148
k141_219668	78.624344
k141_274098	59.73728
k141_219682	12.138391
k141_347111	100.34888
k141_25233	1361.3618
k141_316834	47.878376
k141_158975	551.5574
k141_274169	15.052425
k141_219724	2389.083
k141_341129	77.53083
k141_128649	14.874969
k141_250155	13.396988
k141_116524	74.18904
k141_122698	373.34982
k141_268274	91.089714
k141_274354	94.426674
k141_377669	2285.9702
k141_274372	897.623
k141_280617	29.950098
k141_116650	70.51804
k141_43906	19.167841
k141_195341	22.389814
k141_55889	132.41748
k141_134927	382.6953
k141_74094	117.25312
k141_116694	16.487011
k141_341385	64.444695
k141_226081	736.4148
k141_195355	18.14072
k141_13546	87.32232
k141_371743	19.496603
k141_311011	25.326918
k141_110565	15.969212
k141_92494	560.43304
k141_25515	922.7521
k141_298907	21.533136
k141_159304	19.156109
k141_68214	157.6625
k141_353621	15.579366
k141_347528	730.60223
k141_238297	39.75875
k141_104710	26.159689
k141_274565	23.931946
k141_335471	762.59216
k141_335473	236.40257
k141_244293	660.9358
k141_147327	328.95306
k141_165424	66.89511
k141_68283	9.976637
k141_98601	56.90473
k141_323428	748.3628
k141_50080	15.325783
k141_311179	46.802826
k141_123081	994.50165
k141_190021	17.187538
k141_317275	78.618256
k141_341678	78.55817
k141_31966	23.064735
k141_378054	11.82645
k141_25764	236.07361
k141_347709	158.37685
k141_365875	124.54357
k141_165558	148.14786
k141_238518	83.50592
k141_250646	15.334534
k141_341796	36.8574
k141_135376	57.35851
k141_274836	129.66194
k141_262905	2996.465
k141_159666	1475.9803
k141_274859	15.946246
k141_68565	277.33585
k141_62493	228.59404
k141_32112	14.983026
k141_62527	19.2666
k141_378302	8218.037
k141_38135	150.54958
k141_269030	16.825626
k141_56494	179.07324
k141_62604	20.72089
k141_305554	21.214054
k141_274983	76.19221
k141_378361	75.61543
k141_384343	29.147882
k141_232835	224.0726
k141_159821	173.09593
k141_323781	15.020293
k141_256982	30.826094
k141_359974	66.54781
k141_141660	35.7523
k141_244744	22.805012
k141_214551	24.050713
k141_105364	92.993416
k141_184073	23.242735
k141_317765	138.46307
k141_184082	16.871693
k141_99245	10.773746
k141_196041	626.6816
k141_336111	17.731941
k141_68985	215.42441
k141_81122	135.12558
k141_177921	2010.2611
k141_336119	50.647785
k141_257202	11.923046
k141_330097	232.68408
k141_220778	76.850296
k141_166153	37.11094
k141_93425	14.608062
k141_32518	16.155012
k141_287739	55.37418
k141_354473	5427.6494
k141_123728	81.301216
k141_74998	27.554874
k141_275290	134.6215
k141_2377	16.081848
k141_44877	172.36584
k141_111514	11.588659
k141_324170	312.05002
k141_69312	39.12077
k141_160334	231.12025
k141_14567	42.09281
k141_2518	30.711315
k141_378825	127.790726
k141_245327	114.17577
k141_2551	1576.6267
k141_312103	66.129555
k141_354698	90.50044
k141_14707	197.79846
k141_190918	49.358883
k141_354719	20.162838
k141_330501	30.829634
k141_263712	26.201256
k141_227319	20.370163
k141_93926	239.07419
k141_45169	4803.105
k141_130039	118.262115
k141_233574	28.247442
k141_38897	7198.2544
k141_154490	361.44794
k141_57338	1574.4526
k141_75369	81.871956
k141_360583	69.68892
k141_245581	15.046756
k141_87777	85.62822
k141_106206	24.755116
k141_148530	13.395011
k141_282285	78.40772
k141_294277	13.960189
k141_8744	88.605675
k141_160662	17.039968
