Lake_name,amg_frac_rpkm,amg_frac_rich,pH,salinity,n_samples,n_contigs
Anderson Lake,0.008834690152629235,0.020833333333333332,7.58,145.0,1,96
Balicup Lake,0.020952249050485944,0.027218934911242602,7.84,110.0,1,845
Bullfinch complex East,0.006080608394381685,0.007575757575757576,3.65,83.0,1,264
Bullfinch complex West,0.0,0.0,4.4,15.0,1,20
Camel Lake,0.022563498702857437,0.02284527518172378,7.85,85.0,1,963
Coramup Creek,0.02930924678629817,0.01762114537444934,7.67,20.0,1,227
Cranbrook Pink Lake,0.0,0.0,7.39,230.0,1,97
Crusty Lake,0.0,0.0,3.32,290.0,1,99
Doodlakine complex,0.0,0.0,6.49,25.0,1,128
Gastropod Lake East,0.033841226783539936,0.01702127659574468,7.655,75.0,2,641
Gastropod Lake West,0.00832727338994536,0.022332506203473945,4.26,320.0,3,291
Hobby Lake,0.001130009938531731,0.011904761904761904,2.98,300.0,3,79
Jebarjup Swan Lake,0.028129274265115876,0.023575638506876228,7.99,120.0,1,509
Lake Brown,0.0,0.0,5.59,180.0,1,48
Lake Campion,0.0016703556824188028,0.00641025641025641,3.28,330.0,1,156
Lake Campion complex North,0.01987551044867457,0.013986013986013986,7.28,75.0,1,143
Lake Campion complex South,0.0,0.0,5.25,300.0,1,27
Lake Clifton,0.037003413074432896,0.029880478087649404,7.56,84.0,1,502
Lake Dundas North,0.02589035371938805,0.03139013452914798,9.17,70.0,1,446
Lake Gore,0.039598214194575904,0.029447852760736196,8.63,80.0,1,1630
Lake Gounter,0.06489346333791529,0.02056555269922879,4.046,124.0,3,501
Lake Gounter 3A,0.006891922493930377,0.022222222222222223,3.13,254.0,2,46
Lake Gounter 3B,0.0,0.0,2.29,465.0,1,1
Lake Koorkoordine,0.0,0.0,7.045,284.0,2,25
Lake Koorkoordine (pond across road),0.009612365403287032,0.01092896174863388,8.55,30.0,1,183
Lake Warden,0.03556743435186537,0.03981481481481482,8.76,95.0,3,915
No Name Lake,0.0,0.0,2.48,325.0,2,55
Pink Lake,0.012458133039814053,0.018756169792694965,8.39,60.0,2,564
Pink Lake ,0.01229546932761566,0.0275,8.14,191.0,1,400
Racecourse Lake,0.003670820004609762,0.018867924528301886,8.0,102.0,1,53
Red Lake,0.0,0.0,2.67,322.0,2,41
Sunrise Hill,0.0,0.0,6.53,297.0,2,3
Sunrise Hill Lake,0.027235227525963825,0.03131991051454139,7.46,190.0,1,447
Tom South Lake,0.04353141122704301,0.03636363636363636,7.91,34.0,1,1650
Twin Lake East,0.0,0.0,2.975,300.0,1,78
Twin Lake West,0.0006184051576775203,0.0025252525252525255,3.126,300.0,4,244
Twin Lake West 7B,0.006877043960888759,0.012658227848101266,2.49,337.0,2,161
Weird Veg Lake,0.003520743658628506,0.01804123711340206,7.59,130.0,1,388
White Sands Lake (lake water),0.0,0.0,5.11,70.0,1,61
Yellow Lake,0.0,0.0,2.93,315.0,6,132
Yellowdine Lake,0.03241703346279909,0.02054794520547945,8.37,52.0,1,146
