seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
genomad_k141_318477	5276	No terminal repeats	NA	10	11	0.9838	NA	1	16.1624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_963449	7576	No terminal repeats	NA	6	11	0.9838	NA	0	10.2674	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1016355	6757	No terminal repeats	NA	9	11	0.9837	NA	4	15.0409	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_925029	6600	No terminal repeats	NA	9	11	0.9837	NA	1	14.4191	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2412818	7797	No terminal repeats	NA	9	11	0.9836	NA	1	14.0133	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2466328	6333	No terminal repeats	NA	12	11	0.9836	NA	1	19.6260	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3412560	6192	No terminal repeats	NA	13	11	0.9836	NA	3	21.2844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3694482	8590	No terminal repeats	NA	12	11	0.9836	NA	2	19.5629	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3080243	5050	No terminal repeats	NA	11	11	0.9836	NA	2	18.2378	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1506648	7505	No terminal repeats	NA	12	11	0.9836	NA	2	19.8339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1609724	6615	No terminal repeats	NA	10	11	0.9836	NA	0	16.6543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2800215	9515	No terminal repeats	NA	22	11	0.9836	NA	3	33.3659	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1825233	9687	No terminal repeats	NA	13	11	0.9836	NA	3	22.0363	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_444656	7361	No terminal repeats	NA	13	11	0.9836	NA	1	21.8210	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1141110	4767	No terminal repeats	NA	6	11	0.9836	NA	1	10.0947	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3496980	6562	No terminal repeats	NA	10	11	0.9836	NA	4	16.4305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_681516	3978	No terminal repeats	NA	7	11	0.9836	NA	2	10.8668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_801464	2978	No terminal repeats	NA	7	11	0.9836	NA	0	11.4061	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1789416	4034	No terminal repeats	NA	7	11	0.9836	NA	0	11.5840	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2921496	4180	No terminal repeats	NA	9	11	0.9836	NA	0	14.9564	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3584946	8362	No terminal repeats	NA	14	11	0.9836	NA	4	21.1957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1703900	6340	No terminal repeats	NA	9	11	0.9836	NA	3	15.2501	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_788556	7120	No terminal repeats	NA	10	11	0.9836	NA	1	16.2200	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2857001	4275	No terminal repeats	NA	8	11	0.9835	NA	1	13.0295	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_670905	4996	No terminal repeats	NA	9	11	0.9835	NA	1	15.4463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3343239	4249	No terminal repeats	NA	9	11	0.9835	NA	4	15.1092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_635847	6570	No terminal repeats	NA	9	11	0.9835	NA	2	15.4574	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2057314	8625	No terminal repeats	NA	8	11	0.9835	NA	0	13.2161	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3573639	5601	No terminal repeats	NA	8	11	0.9835	NA	2	13.1177	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1020427	5163	No terminal repeats	NA	7	11	0.9835	NA	3	11.7104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_459580	6258	No terminal repeats	NA	12	11	0.9835	NA	1	17.8711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1071317	7823	No terminal repeats	NA	9	11	0.9835	NA	2	14.9268	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1403276	6877	No terminal repeats	NA	14	11	0.9835	NA	2	24.0559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3102848	7517	No terminal repeats	NA	9	11	0.9835	NA	2	14.1498	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_722078	3838	No terminal repeats	NA	9	11	0.9835	NA	1	14.8734	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_937745	8097	No terminal repeats	NA	11	11	0.9835	NA	2	16.7216	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1204763	6313	No terminal repeats	NA	10	11	0.9835	NA	1	16.1231	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2657255	6444	No terminal repeats	NA	12	11	0.9835	NA	2	18.8855	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_239273	7935	No terminal repeats	NA	6	11	0.9835	NA	0	10.0664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_137226	6529	No terminal repeats	NA	7	11	0.9835	NA	2	11.6093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_247529	5689	No terminal repeats	NA	9	11	0.9835	NA	5	14.3056	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2613198	6908	No terminal repeats	NA	6	11	0.9835	NA	1	9.8920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3611680	5858	No terminal repeats	NA	9	11	0.9835	NA	1	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1326413	3959	No terminal repeats	NA	7	11	0.9835	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
genomad_k141_1141473	5749	No terminal repeats	NA	5	11	0.9835	NA	2	8.4436	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1282090	5072	No terminal repeats	NA	10	11	0.9834	NA	2	16.3089	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3799228	6713	No terminal repeats	NA	8	11	0.9834	NA	3	13.0380	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1535867	6375	No terminal repeats	NA	9	11	0.9834	NA	2	14.8757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_671135	7926	No terminal repeats	NA	15	11	0.9834	NA	0	21.3159	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_668053	3897	No terminal repeats	NA	8	11	0.9834	NA	0	11.4443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_3319273	4879	No terminal repeats	NA	6	11	0.9834	NA	2	9.7474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1844193	6160	No terminal repeats	NA	10	11	0.9834	NA	3	15.6432	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_1501917	3760	No terminal repeats	NA	6	11	0.9834	NA	1	9.7196	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_305071	5190	No terminal repeats	NA	6	11	0.9834	NA	1	9.9014	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_2154991	5013	No terminal repeats	NA	6	11	0.9834	NA	3	9.9124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
genomad_k141_548168	6356	No terminal repeats	NA	14	11	0.9834	NA	3	23.6064	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
