user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
bin.103	d__Bacteria;p__T1Sed10-126;c__T1Sed10-126;o__T1Sed10-126;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__T1Sed10-126;c__T1Sed10-126;o__T1Sed10-126;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.71	11	0.6626099870813722	N/A
bin.108	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Laterigemmans;s__	N/A	N/A	N/A	N/A	N/A	GCF_010367455.1	95	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Laterigemmans;s__Laterigemmans baculatus	76.17	0.06	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Laterigemmans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	74.94	11	0.9188715013676527	N/A
bin.109	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__CAJXVY01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__CAJXVY01;s__	ANI	classification based on placement in class-level tree	"GCA_913060985.1, s__CAJXVY01 sp913060985, 95.0, 78.28, 0.44; GCA_913062975.1, s__CAJXVY01 sp913062975, 95.0, 78.04, 0.32; GCA_913056225.1, s__CAJXVY01 sp913056225, 95.0, 78.01, 0.35; GCA_913062665.1, s__CAJXVY01 sp913062665, 95.0, 77.51, 0.49"	73.57	11	0.976947373	N/A
bin.116	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sp024742835	GCA_024742835.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sp024742835	99.16	0.91	GCA_024742835.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sp024742835	99.16	0.91	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_004761875.1, s__Roseovarius aestuariivivens, 95.0, 80.98, 0.66; GCF_001441615.1, s__Roseovarius atlanticus, 95.0, 79.52, 0.55; GCF_009363655.1, s__Roseovarius sp009363655, 95.0, 79.51, 0.56; GCA_024742655.1, s__Roseovarius sp024742655, 95.0, 79.46, 0.46; GCA_021767845.1, s__Roseovarius sp021767845, 95.0, 79.46, 0.42; GCF_002917925.1, s__Roseovarius confluentis, 95.0, 79.37, 0.55; GCF_900142765.1, s__Roseovarius litoreus, 95.0, 79.33, 0.51; GCF_900172255.1, s__Roseovarius halotolerans, 95.0, 79.27, 0.48; GCF_009363715.1, s__Roseovarius sp009363715, 95.0, 79.11, 0.55; GCF_900142665.1, s__Roseovarius pacificus, 95.0, 79.11, 0.49; GCF_900109855.1, s__Roseovarius tolerans, 95.0, 79.11, 0.48; GCF_002072155.1, s__Roseovarius sp002072155, 95.0, 78.94, 0.48; GCF_003260265.1, s__Roseovarius amoyensis, 95.0, 78.92, 0.43; GCA_016278295.1, s__Roseovarius sp016278295, 95.0, 78.8, 0.37; GCA_913055965.1, s__Roseovarius sp913055965, 95.0, 78.79, 0.37; GCA_002720475.1, s__Roseovarius sp002720475, 95.0, 78.74, 0.33; GCF_008728195.1, s__Roseovarius indicus, 95.0, 78.74, 0.5; GCA_014359765.1, s__Roseovarius sp014359765, 95.0, 78.73, 0.39; GCA_002421985.1, s__Roseovarius sp002421985, 95.0, 78.68, 0.4; GCA_002842985.1, s__Roseovarius sp002842985, 95.0, 78.65, 0.46; GCA_002428225.1, s__Roseovarius sp002428225, 95.0, 78.63, 0.37; GCF_018069895.1, s__Roseovarius sp018069895, 95.0, 78.59, 0.43; GCF_003072125.1, s__Roseovarius sediminicola, 95.0, 78.58, 0.42; GCF_002925845.1, s__Roseovarius nitratireducens, 95.0, 78.57, 0.45; GCF_009762325.1, s__Roseovarius faecimaris, 95.0, 78.53, 0.46; GCF_900109455.1, s__Roseovarius azorensis, 95.0, 78.41, 0.45; GCF_011601345.1, s__Roseovarius gahaiensis, 95.0, 78.4, 0.45; GCA_934501475.1, s__Roseovarius sp934501475, 95.0, 78.38, 0.33; GCF_003651245.1, s__Roseovarius spongiae, 95.0, 78.37, 0.42; GCF_000152625.1, s__Roseovarius nubinhibens, 95.0, 78.35, 0.41; GCF_009669325.1, s__Roseovarius bejariae, 95.0, 78.34, 0.44; GCA_023260815.1, s__Roseovarius sp023260815, 95.0, 78.31, 0.3; GCF_000768555.3, s__Roseovarius mucosus, 95.0, 78.24, 0.43; GCF_900172365.1, s__Roseovarius gaetbuli, 95.0, 78.22, 0.46; GCF_003316635.1, s__Roseovarius dicentrarchi, 95.0, 78.21, 0.38; GCA_018066915.1, s__Roseovarius sp018066915, 95.0, 78.17, 0.42; GCF_900115165.1, s__Roseovarius lutimaris, 95.0, 78.15, 0.45; GCF_900142625.1, s__Roseovarius marisflavi, 95.0, 78.15, 0.44; GCA_913054395.1, s__Roseovarius sp913054395, 95.0, 78.14, 0.38; GCA_913057115.1, s__Roseovarius sp913057115, 95.0, 78.14, 0.41; GCF_019599045.1, s__Roseovarius sp019599045, 95.0, 78.12, 0.38; GCF_000152845.1, s__Roseovarius sp000152845, 95.0, 78.11, 0.43; GCA_002166865.1, s__Roseovarius sp002166865, 95.0, 78.0, 0.42; GCF_024355225.1, s__Roseovarius sp024355225, 95.0, 77.99, 0.37; GCF_002080415.1, s__Roseovarius mucosus_A, 95.0, 77.98, 0.41; GCF_900156535.1, s__Roseovarius nanhaiticus, 95.0, 77.97, 0.39; GCA_002783205.1, s__Roseovarius sp002783205, 95.0, 77.92, 0.36; GCF_002834145.1, s__Roseovarius salinarum, 95.0, 77.9, 0.37; GCF_019966515.1, s__Roseovarius aestuarii, 95.0, 77.9, 0.35; GCF_003298505.1, s__Roseovarius sp003298505, 95.0, 77.77, 0.33; GCA_007125415.1, s__Roseovarius sp007125415, 95.0, 77.69, 0.3; GCF_011040495.1, s__Roseovarius aestuariivivens_A, 95.0, 77.47, 0.31; GCF_003122245.1, s__Roseovarius sp003122245, 95.0, 77.46, 0.35; GCF_900172295.1, s__Roseovarius litorisediminis, 95.0, 77.4, 0.3; GCF_006125015.1, s__Roseovarius arcticus, 95.0, 77.31, 0.27; GCA_021775255.1, s__Roseovarius sp021775255, 95.0, 77.3, 0.31; GCA_024636515.1, s__Roseovarius sp024636515, 95.0, 77.15, 0.21; GCF_900172335.1, s__Roseovarius albus, 95.0, 76.97, 0.18; GCA_900313005.1, s__Roseovarius sp900313005, 95.0, 76.91, 0.26; GCA_002366775.1, s__Roseovarius sp002366775, 95.0, 76.66, 0.19; GCF_900327775.1, s__Roseovarius sp900327775, 95.0, 76.58, 0.17"	74.88	11	N/A	N/A
bin.125	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__SW132;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__SW132;s__	ANI	classification based on placement in class-level tree	"GCF_003390325.1, s__SW132 sp003390325, 95.0, 77.08, 0.14; GCA_009909035.1, s__SW132 sp009909035, 95.0, 76.94, 0.13; GCA_007129085.1, s__SW132 sp007129085, 95.0, 76.73, 0.07"	60.28	11	0.9238850878936544	N/A
bin.127	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	52.97	11	0.836998048	N/A
bin.129	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__VGXO01;s__	N/A	N/A	N/A	N/A	N/A	GCA_017859745.1	95	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__VGXO01;s__VGXO01 sp017859745	83.25	0.76	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__VGXO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_016873275.1, s__VGXO01 sp016873275, 95.0, 80.13, 0.58"	83.57	11	0.9708001202618795	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.13	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salibaculum;s__	N/A	N/A	N/A	N/A	N/A	GCF_002094885.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salibaculum;s__Salibaculum halophilum	86.39	0.8	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salibaculum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_009908505.1, s__Salibaculum sp009908505, 95.0, 83.7, 0.74; GCF_003129565.1, s__Salibaculum griseiflavum, 95.0, 82.92, 0.79; GCA_001314655.1, s__Salibaculum sp001314655, 95.0, 79.91, 0.67"	58.37	11	0.9872525984698299	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.136	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sp024742655	GCA_024742655.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sp024742655	95.9	0.81	GCA_024742655.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sp024742655	95.9	0.81	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_009363655.1, s__Roseovarius sp009363655, 95.0, 80.07, 0.53; GCF_001441615.1, s__Roseovarius atlanticus, 95.0, 79.96, 0.53; GCF_002917925.1, s__Roseovarius confluentis, 95.0, 79.95, 0.52; GCA_021767845.1, s__Roseovarius sp021767845, 95.0, 79.91, 0.49; GCF_009363715.1, s__Roseovarius sp009363715, 95.0, 79.63, 0.52; GCA_024742835.1, s__Roseovarius sp024742835, 95.0, 79.54, 0.44; GCF_008728195.1, s__Roseovarius indicus, 95.0, 79.36, 0.52; GCF_900142665.1, s__Roseovarius pacificus, 95.0, 79.32, 0.45; GCF_900142765.1, s__Roseovarius litoreus, 95.0, 79.26, 0.48; GCF_004761875.1, s__Roseovarius aestuariivivens, 95.0, 79.21, 0.47; GCF_009762325.1, s__Roseovarius faecimaris, 95.0, 79.08, 0.48; GCF_900109855.1, s__Roseovarius tolerans, 95.0, 79.08, 0.43; GCF_900172255.1, s__Roseovarius halotolerans, 95.0, 79.07, 0.43; GCA_913055965.1, s__Roseovarius sp913055965, 95.0, 78.99, 0.42; GCF_003260265.1, s__Roseovarius amoyensis, 95.0, 78.97, 0.39; GCF_002925845.1, s__Roseovarius nitratireducens, 95.0, 78.86, 0.39; GCF_009669325.1, s__Roseovarius bejariae, 95.0, 78.81, 0.41; GCA_016278295.1, s__Roseovarius sp016278295, 95.0, 78.8, 0.35; GCA_002720475.1, s__Roseovarius sp002720475, 95.0, 78.73, 0.33; GCF_002072155.1, s__Roseovarius sp002072155, 95.0, 78.72, 0.42; GCA_002166865.1, s__Roseovarius sp002166865, 95.0, 78.69, 0.39; GCA_014359765.1, s__Roseovarius sp014359765, 95.0, 78.64, 0.36; GCF_900109455.1, s__Roseovarius azorensis, 95.0, 78.6, 0.39; GCF_003651245.1, s__Roseovarius spongiae, 95.0, 78.55, 0.39; GCF_000152625.1, s__Roseovarius nubinhibens, 95.0, 78.54, 0.37; GCA_002421985.1, s__Roseovarius sp002421985, 95.0, 78.54, 0.33; GCF_003072125.1, s__Roseovarius sediminicola, 95.0, 78.49, 0.35; GCF_019599045.1, s__Roseovarius sp019599045, 95.0, 78.46, 0.35; GCF_002834145.1, s__Roseovarius salinarum, 95.0, 78.44, 0.38; GCA_913057115.1, s__Roseovarius sp913057115, 95.0, 78.44, 0.39; GCA_002842985.1, s__Roseovarius sp002842985, 95.0, 78.44, 0.38; GCF_018069895.1, s__Roseovarius sp018069895, 95.0, 78.37, 0.37; GCF_011601345.1, s__Roseovarius gahaiensis, 95.0, 78.34, 0.32; GCA_002428225.1, s__Roseovarius sp002428225, 95.0, 78.33, 0.34; GCA_934501475.1, s__Roseovarius sp934501475, 95.0, 78.32, 0.4; GCF_900172365.1, s__Roseovarius gaetbuli, 95.0, 78.24, 0.37; GCF_000768555.3, s__Roseovarius mucosus, 95.0, 78.22, 0.38; GCA_023260815.1, s__Roseovarius sp023260815, 95.0, 78.16, 0.32; GCF_003298505.1, s__Roseovarius sp003298505, 95.0, 78.1, 0.33; GCA_018066915.1, s__Roseovarius sp018066915, 95.0, 78.05, 0.34; GCF_900142625.1, s__Roseovarius marisflavi, 95.0, 78.05, 0.36; GCF_900156535.1, s__Roseovarius nanhaiticus, 95.0, 77.97, 0.32; GCF_000152845.1, s__Roseovarius sp000152845, 95.0, 77.96, 0.32; GCA_002783205.1, s__Roseovarius sp002783205, 95.0, 77.95, 0.31; GCF_900115165.1, s__Roseovarius lutimaris, 95.0, 77.94, 0.34; GCF_019966515.1, s__Roseovarius aestuarii, 95.0, 77.89, 0.35; GCA_913054395.1, s__Roseovarius sp913054395, 95.0, 77.87, 0.33; GCF_003316635.1, s__Roseovarius dicentrarchi, 95.0, 77.79, 0.3; GCF_002080415.1, s__Roseovarius mucosus_A, 95.0, 77.78, 0.32; GCF_024355225.1, s__Roseovarius sp024355225, 95.0, 77.77, 0.3; GCA_007125415.1, s__Roseovarius sp007125415, 95.0, 77.74, 0.31; GCF_900172295.1, s__Roseovarius litorisediminis, 95.0, 77.6, 0.3; GCF_003122245.1, s__Roseovarius sp003122245, 95.0, 77.36, 0.29; GCF_011040495.1, s__Roseovarius aestuariivivens_A, 95.0, 77.33, 0.28; GCF_900172335.1, s__Roseovarius albus, 95.0, 77.29, 0.18; GCA_021775255.1, s__Roseovarius sp021775255, 95.0, 77.22, 0.25; GCA_024636515.1, s__Roseovarius sp024636515, 95.0, 77.19, 0.21; GCF_006125015.1, s__Roseovarius arcticus, 95.0, 77.05, 0.2; GCA_002366775.1, s__Roseovarius sp002366775, 95.0, 76.98, 0.24; GCA_900313005.1, s__Roseovarius sp900313005, 95.0, 76.95, 0.26; GCF_900327775.1, s__Roseovarius sp900327775, 95.0, 76.73, 0.13"	83.42	11	N/A	N/A
bin.140	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016872955.1	95	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01;s__QWPN01 sp016872955	79.45	0.46	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_945891385.1, s__QWPN01 sp945891385, 95.0, 79.8, 0.55; GCA_016872925.1, s__QWPN01 sp016872925, 95.0, 79.54, 0.5; GCA_021300535.1, s__QWPN01 sp021300535, 95.0, 79.2, 0.5; GCA_903831155.1, s__QWPN01 sp903831155, 95.0, 79.1, 0.46; GCA_903958265.1, s__QWPN01 sp903958265, 95.0, 78.89, 0.35; GCA_945890755.1, s__QWPN01 sp945890755, 95.0, 78.88, 0.42; GCA_021414115.1, s__QWPN01 sp021414115, 95.0, 78.82, 0.48; GCA_018970605.1, s__QWPN01 sp018970605, 95.0, 78.82, 0.38; GCA_903919035.1, s__QWPN01 sp903919035, 95.0, 78.79, 0.37; GCA_014192425.1, s__QWPN01 sp014192425, 95.0, 78.76, 0.45; GCA_003669255.1, s__QWPN01 sp003669255, 95.0, 78.58, 0.25; GCA_003488325.1, s__QWPN01 sp003488325, 95.0, 78.38, 0.34; GCA_005789975.1, s__QWPN01 sp005789975, 95.0, 78.37, 0.36; GCA_003670825.1, s__QWPN01 sp003670825, 95.0, 78.34, 0.27; GCA_003671185.1, s__QWPN01 sp003671185, 95.0, 78.33, 0.35; GCA_945869735.1, s__QWPN01 sp945869735, 95.0, 78.17, 0.4; GCA_017853835.1, s__QWPN01 sp017853835, 95.0, 78.12, 0.35; GCA_903917235.1, s__QWPN01 sp903917235, 95.0, 77.8, 0.36"	54	11	0.9664556261481414	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
