gene,gene_id,scaffold,auxiliary_score,amg_flags,gene_description,module,sheet,header,subheader,potential_amg,gene_id_origin,metabolism,reference,verified,pass_score,pass_cutoff,function,stress_class,contig,in_wet,in_dry,wet_rpkm,dry_rpkm,detection
WATLvirus_00012494-cat_1_74,K00525,WATLvirus_00012494-cat_1,2,MKE,ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024],"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00012494,True,False,1525.2397,0.0,wet only
WATLvirus_00036381-cat_1_51,K01939,WATLvirus_00036381-cat_1,1,M,adenylosuccinate synthase [EC:6.3.4.4] [RN:R01135],"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",MISC,Information systems,Nucleotide,True,genome_summary_form,,,,True,True,Nucleotide metabolism,,WATLvirus_00036381,True,False,2871.6167,0.0,wet only
WATLvirus_00045923_provirus_2_121232-cat_1_108,K00558,WATLvirus_00045923_provirus_2_121232-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00045923_provirus_2_121232,False,False,,,not detected
WATLvirus_00045926-cat_1_69,K09882,WATLvirus_00045926-cat_1,2,M,cobS; cobaltochelatase CobS [EC:6.6.1.2],"Cobalamin biosynthesis, precorrin2 => cobinamide",MISC,aerobic corrin ring synthesis,,True,genome_summary_form,,,,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00045926,True,False,1238.5949,0.0,wet only
WATLvirus_00045926-cat_1_70,K09883,WATLvirus_00045926-cat_1,2,MK,cobT; cobaltochelatase CobT [EC:6.6.1.2],"Cobalamin biosynthesis, precorrin2 => cobinamide",MISC,aerobic corrin ring synthesis,,True,genome_summary_form,,,,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00045926,True,False,1238.5949,0.0,wet only
WATLvirus_00045932-cat_1_31,K00558,WATLvirus_00045932-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00045932,True,False,788.34772,0.0,wet only
WATLvirus_00045937-cat_1_13,K00558,WATLvirus_00045937-cat_1,2,M,DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858],Methionine degradation,Organic Nitrogen,Amino Acid,,True,genome_summary_form,,,,True,True,Amino-acid metabolism,,WATLvirus_00045937,True,False,346.86915,0.0,wet only
WATLvirus_00057275-cat_1_45,K09882,WATLvirus_00057275-cat_1,2,M,cobS; cobaltochelatase CobS [EC:6.6.1.2],"Cobalamin biosynthesis, precorrin2 => cobinamide",MISC,aerobic corrin ring synthesis,,True,genome_summary_form,,,,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00057275,True,False,1656.76499,0.0,wet only
WATLvirus_00114208-cat_1_32,K09883,WATLvirus_00114208-cat_1,1,MK,cobT; cobaltochelatase CobT [EC:6.6.1.2],"Cobalamin biosynthesis, precorrin2 => cobinamide",MISC,aerobic corrin ring synthesis,,True,genome_summary_form,,,,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00114208,True,False,433.78643999999997,0.0,wet only
WATLvirus_00114208-cat_1_33,K09882,WATLvirus_00114208-cat_1,1,M,cobS; cobaltochelatase CobS [EC:6.6.1.2],"Cobalamin biosynthesis, precorrin2 => cobinamide",MISC,aerobic corrin ring synthesis,,True,genome_summary_form,,,,True,True,Cofactor / vitamin / tRNA,,WATLvirus_00114208,True,False,433.78643999999997,0.0,wet only
