seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_185382	7310	No terminal repeats	NA	13	11	0.9837	NA	4	19.4517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_100331	6887	No terminal repeats	NA	9	11	0.9829	NA	2	11.7344	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_85852	6241	No terminal repeats	NA	11	11	0.9827	NA	1	10.2476	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_5632	4220	No terminal repeats	NA	6	11	0.9826	NA	1	10.1457	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_184657	5451	No terminal repeats	NA	6	11	0.9824	NA	2	7.9496	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_195973	9936	No terminal repeats	NA	14	11	0.9823	NA	4	18.3652	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_129777	5546	No terminal repeats	NA	10	11	0.9818	NA	2	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_62311	3613	No terminal repeats	NA	7	11	0.9814	NA	0	11.8420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_123260	5709	No terminal repeats	NA	15	11	0.9810	NA	0	6.5630	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_99997	3869	No terminal repeats	NA	6	11	0.9809	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kyanoviridae
k141_234143	3644	No terminal repeats	NA	6	11	0.9804	NA	2	8.4520	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_172942	3793	No terminal repeats	NA	5	11	0.9803	NA	0	6.5014	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_89252	5730	No terminal repeats	NA	7	11	0.9803	NA	0	8.5901	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae
k141_60004	4439	No terminal repeats	NA	7	11	0.9803	NA	1	6.5163	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_6998	3846	No terminal repeats	NA	5	11	0.9801	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_76538	4371	No terminal repeats	NA	9	11	0.9798	NA	3	11.8188	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_3810	5205	No terminal repeats	NA	8	11	0.9797	NA	1	12.1351	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_69872	6450	No terminal repeats	NA	6	11	0.9796	NA	0	7.6657	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_130651	5702	No terminal repeats	NA	16	11	0.9794	NA	0	9.9941	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_29619	4875	No terminal repeats	NA	6	11	0.9794	NA	2	5.1316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae
k141_140818	5027	No terminal repeats	NA	8	11	0.9792	NA	0	10.2278	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_224202	9165	No terminal repeats	NA	14	11	0.9792	NA	0	16.4298	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_158221	4229	No terminal repeats	NA	7	11	0.9792	NA	0	6.5519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_202030	3741	No terminal repeats	NA	7	11	0.9790	NA	1	8.2322	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Straboviridae
k141_159646	6279	No terminal repeats	NA	11	11	0.9788	NA	3	10.2837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae
k141_120560	9329	No terminal repeats	NA	6	11	0.9787	NA	0	6.0050	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_82405	5296	No terminal repeats	NA	10	11	0.9785	NA	0	6.5404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
k141_190318	3815	No terminal repeats	NA	7	11	0.9782	NA	2	8.1735	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_188670	7891	No terminal repeats	NA	10	11	0.9781	NA	1	6.0081	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_99269	3628	No terminal repeats	NA	6	11	0.9779	NA	3	8.7432	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_187719	4571	No terminal repeats	NA	9	11	0.9778	NA	3	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_215977	6878	No terminal repeats	NA	11	11	0.9775	NA	1	7.5397	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae
k141_96426	4441	No terminal repeats	NA	6	11	0.9774	NA	0	6.8621	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae
k141_219109	6090	No terminal repeats	NA	6	11	0.9772	NA	2	5.0965	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_158509	3583	No terminal repeats	NA	8	11	0.9770	NA	4	8.8516	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_23210	5061	No terminal repeats	NA	9	11	0.9769	NA	1	5.5180	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_89102	5320	No terminal repeats	NA	7	11	0.9766	NA	3	6.1472	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_108972	3845	No terminal repeats	NA	7	11	0.9765	NA	0	11.4120	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_117840	3600	No terminal repeats	NA	8	11	0.9761	NA	1	4.9553	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_42003	4919	No terminal repeats	NA	6	11	0.9761	NA	2	4.6746	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_124038	5267	No terminal repeats	NA	5	11	0.9755	NA	0	4.1833	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_229735	4625	No terminal repeats	NA	9	11	0.9755	NA	1	3.4353	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_117785	5756	No terminal repeats	NA	5	11	0.9753	NA	1	4.2928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_71595	6497	No terminal repeats	NA	15	11	0.9752	NA	0	9.6671	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_143649	5941	No terminal repeats	NA	12	11	0.9752	NA	0	5.9242	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_158746	5975	No terminal repeats	NA	15	11	0.9750	NA	1	8.1980	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_122778	5265	No terminal repeats	NA	10	11	0.9747	NA	3	4.4420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_195570	4806	No terminal repeats	NA	10	11	0.9746	NA	1	13.3704	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_69017	7139	No terminal repeats	NA	9	11	0.9743	NA	1	5.1044	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_133984	6412	No terminal repeats	NA	9	11	0.9740	NA	2	7.7983	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_99245	5812	No terminal repeats	NA	9	11	0.9737	NA	4	10.5121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_23376	53165	No terminal repeats	NA	73	11	0.9736	NA	6	34.4348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_54648	4349	No terminal repeats	NA	13	11	0.9735	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_225597	3608	No terminal repeats	NA	9	11	0.9734	NA	1	6.4797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_231362	3724	No terminal repeats	NA	7	11	0.9727	NA	3	4.8601	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_96762	7979	No terminal repeats	NA	13	11	0.9725	NA	1	6.3458	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_199691	6262	No terminal repeats	NA	17	11	0.9725	NA	0	5.0427	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_228035	9228	No terminal repeats	NA	14	11	0.9722	NA	0	11.6802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_204831	3740	No terminal repeats	NA	6	11	0.9721	NA	0	10.2828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_101798	3798	No terminal repeats	NA	7	11	0.9720	NA	4	8.7799	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_164648	4204	No terminal repeats	NA	7	11	0.9718	NA	2	3.0339	Unclassified
k141_68759	4142	No terminal repeats	NA	5	11	0.9714	NA	0	6.4738	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_10407	5389	No terminal repeats	NA	7	11	0.9711	NA	1	5.2468	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae
k141_17894	4768	No terminal repeats	NA	8	11	0.9710	NA	1	3.6863	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_32579	6475	No terminal repeats	NA	21	11	0.9709	NA	0	3.4349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_135555	7606	No terminal repeats	NA	12	11	0.9706	NA	0	6.9013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_229357	7573	No terminal repeats	NA	13	11	0.9702	NA	0	4.7011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_30449	6061	No terminal repeats	NA	10	11	0.9702	NA	2	3.1736	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_81431	4267	No terminal repeats	NA	9	11	0.9701	NA	1	6.1312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_198922	6469	No terminal repeats	NA	11	11	0.9700	NA	0	3.2232	Unclassified
