bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220804_BK_C1_DNA_brine_C_bin.10,14.95,0,0,590008,3276,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_brine_C_bin.11,0,0,0,293681,3393,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_brine_C_bin.12,13.3,0.93,0,724920,3280,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_brine_C_bin.13,75.9,1.44,83.33,1884129,6808,165_0,220804_BK_C1_DNA_brine_C_bin.13,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halobaculum;s__
220804_BK_C1_DNA_brine_C_bin.14,59.4,0.44,100,1610523,5247,139_0,220804_BK_C1_DNA_brine_C_bin.14,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__;s__
220804_BK_C1_DNA_brine_C_bin.16,64,0.5,25,1690969,5080,190_2,220808_BK_F12_DNA_salt_bin.34,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.19,11.8,0,0,470056,3195,NA,NA,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__
220804_BK_C1_DNA_brine_C_bin.2,18.69,0,0,679715,3407,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halobaculum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__;s__
220804_BK_C1_DNA_brine_C_bin.21,15.89,0,0,1017227,3460,NA,NA,Unclassified Archaea,Unclassified Archaea
220804_BK_C1_DNA_brine_C_bin.23,12.5,0,0,1590317,4854,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicroarcula;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
