File,Median_pI,n_structural
k141_112042.faa,4.328084754943849,1
k141_115842.faa,5.161372756958007,2
k141_76249.faa,4.736700248718263,1
k141_146997.faa,4.152793312072753,1
k141_63323.faa,4.561749839782716,1
k141_28440.faa,4.532108306884766,2
k141_47246.faa,4.0500284194946286,1
k141_35995.faa,4.0500284194946286,1
k141_20252.faa,4.152310180664061,2
k141_80794.faa,4.0500284194946286,1
k141_112742.faa,4.0500284194946286,1
k141_83858.faa,4.42675724029541,1
k141_111190.faa,4.148246192932129,2
k141_42938.faa,4.056962776184083,2
