File,Median_pI,n_structural
k141_192284.faa,4.402998542785644,2
k141_176843.faa,4.512868309020995,2
k141_261411.faa,4.290514183044434,1
k141_73536.faa,4.573515510559083,1
k141_360874.faa,6.565381050109862,1
k141_307150.faa,5.3322307586669915,2
k141_330501.faa,5.152079582214354,1
k141_101764.faa,6.054693031311036,2
k141_62604.faa,5.124853706359862,1
k141_285580.faa,4.470125389099122,2
k141_55889.faa,4.815933799743652,6
k141_324170.faa,4.5066728591918945,1
k141_223147.faa,5.446448707580566,1
k141_361360.faa,4.263572502136231,1
k141_127399.faa,6.614489936828614,1
k141_96208.faa,4.307736396789552,1
k141_194556.faa,4.836481094360352,2
k141_264153.faa,4.565103340148926,1
k141_92494.faa,6.264228057861327,2
k141_206473.faa,9.443925285339354,1
k141_150666.faa,5.002763557434081,2
k141_241328.faa,4.432355880737305,2
k141_67784.faa,4.79262981414795,1
k141_79592.faa,5.953992462158203,2
k141_77795.faa,5.147020912170409,3
k141_258917.faa,4.561749839782716,1
k141_254693.faa,4.690376472473144,3
k141_178841.faa,7.014806938171386,1
k141_375475.faa,4.214520454406738,1
k141_101416.faa,4.703506278991698,1
k141_341129.faa,4.402600669860839,3
k141_235865.faa,9.79888820648193,1
k141_79209.faa,8.385231590270996,2
k141_197139.faa,5.467280197143555,2
k141_211119.faa,4.67514362335205,1
k141_68565.faa,4.576641654968262,4
k141_192807.faa,4.892154884338378,3
k141_219668.faa,4.4956460952758786,2
k141_36747.faa,4.400156593322754,1
k141_65492.faa,4.876467323303221,1
k141_160662.faa,4.752387809753418,1
k141_235181.faa,5.442214202880859,2
k141_351349.faa,6.158698081970214,1
k141_306563.faa,6.175891876220703,2
k141_137276.faa,4.639335060119628,1
k141_78950.faa,5.447216033935547,4
k141_196041.faa,5.07034511566162,3
k141_303021.faa,4.577181625366211,2
k141_55142.faa,5.344081687927246,1
k141_222.faa,4.055769157409667,1
k141_86051.faa,7.304067993164063,2
k141_190021.faa,4.720415878295897,2
k141_175654.faa,4.621430778503417,1
k141_243438.faa,4.554247093200683,2
k141_258232.faa,5.133152198791502,3
k141_73619.faa,4.993441963195799,1
k141_360583.faa,6.855451202392578,2
k141_51453.faa,4.647093582153321,4
k141_343788.faa,6.165632438659667,1
k141_170885.faa,4.9737756729125975,1
k141_241969.faa,4.429769706726075,2
k141_20903.faa,5.647402954101562,2
k141_311179.faa,5.1732805252075185,5
k141_53440.faa,4.540378379821779,1
k141_371103.faa,4.5216783523559565,3
k141_159821.faa,5.884393119812012,1
k141_226081.faa,4.706007194519042,4
k141_177921.faa,4.577380561828614,1
k141_10428.faa,5.929580116271972,2
k141_253594.faa,4.5404352188110355,2
k141_62493.faa,4.388334083557129,1
k141_46727.faa,5.77895679473877,2
k141_306768.faa,4.080550956726075,1
k141_341796.faa,4.5210815429687505,4
k141_146727.faa,4.604038047790527,1
k141_154490.faa,4.330386734008789,4
k141_146719.faa,4.482914161682129,1
k141_218805.faa,6.089397239685059,2
k141_83041.faa,6.11101016998291,2
k141_256015.faa,4.343516540527343,2
k141_144442.faa,4.734540367126464,1
k141_108259.faa,6.731123542785644,1
k141_30498.faa,4.786718559265137,1
k141_336119.faa,4.984063529968262,1
k141_378302.faa,4.607789421081542,1
k141_258978.faa,4.287302780151367,2
k141_256982.faa,4.660251808166504,1
k141_32112.faa,5.013562965393065,1
k141_56494.faa,4.837930488586425,3
k141_238518.faa,6.966607475280762,1
k141_76585.faa,4.406892013549804,2
k141_324694.faa,4.9329652786254865,1
k141_216434.faa,4.443581581115722,1
k141_9505.faa,4.706291389465331,1
k141_21234.faa,4.0500284194946286,1
k141_236337.faa,4.0500284194946286,1
k141_265008.faa,4.0500284194946286,1
k141_29669.faa,9.596521949768068,1
k141_157228.faa,5.518747901916503,13
k141_381173.faa,4.440682792663575,1
k141_44877.faa,4.942002677917479,1
k141_221500.faa,4.39663257598877,3
k141_12774.faa,4.1193151473999015,1
k141_195355.faa,4.75545711517334,1
k141_139727.faa,6.970159912109375,4
k141_184073.faa,4.7713720321655275,1
k141_277631.faa,4.406295204162597,1
k141_387850.faa,4.707939720153808,1
k141_40780.faa,7.071334075927734,2
k141_274565.faa,4.0500284194946286,1
k141_57338.faa,4.844182777404785,1
k141_109655.faa,6.400263786315918,1
k141_66494.faa,5.0801214218139625,3
k141_199130.faa,4.324958610534669,1
k141_323428.faa,4.993981933593749,4
k141_109079.faa,4.26777858734131,1
k141_159666.faa,4.358436775207521,1
k141_295175.faa,4.222648429870605,1
k141_340211.faa,5.598748779296875,2
k141_378361.faa,4.933363151550291,1
k141_231007.faa,6.372951698303222,2
k141_98601.faa,8.492823219299318,3
k141_317765.faa,4.718483352661133,2
k141_11794.faa,4.736643409729004,3
k141_283110.faa,4.100899314880371,1
k141_194567.faa,5.764747047424316,1
k141_114616.faa,4.907075119018554,4
k141_106206.faa,4.435794639587402,1
k141_200624.faa,4.967750740051269,1
k141_178733.faa,4.531170463562011,1
k141_229077.faa,5.6707353591918945,1
k141_46024.faa,4.6612749099731445,1
k141_164865.faa,4.597700500488281,2
k141_219607.faa,4.607221031188964,1
k141_274372.faa,4.610404014587402,2
k141_205944.faa,5.031978797912598,5
k141_328815.faa,6.441494369506836,2
k141_363394.faa,4.960105895996094,2
k141_128649.faa,4.80894260406494,2
k141_190918.faa,5.06488857269287,5
k141_125796.faa,4.534182929992675,1
k141_365875.faa,4.643654823303223,2
