contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_453222	5685	NA	668031.0	0.8510084112863026	low	18.1585854626757	1	CheckV-050294	28.21	36.05	0.46	3.18	1	1.0
k141_53976	1042	NA	NA	NA	NA	NA	0	NA	NA	NA	1.55	3.03	1	1.0
k141_312965	4235	NA	143855.0	2.943936602829238	low	10.7959242051495	1	CheckV-044766	29.5	59.87	1.61	6.17	1	1.0
k141_561159	4218	NA	222266.9400194269	1.897718122016406	medium	6.92502645511634	4	CheckV-061425	52.53	34.41	0.96	1.47	1	1.0
k141_32384	9883	NA	48068.847015011255	20.560093727469003	medium	7.52860853030347	116	CheckV-058873	43.4	43.62	15.467922954584608	29.214105740019694	9	1.0
k141_86369	2700	NA	60727.36545872838	4.446100995168279	low	11.7003954408002	4	CheckV-000253	29.95	92.04	NA	NA	0	1.0
k141_129532	2594	NA	186165.91717512155	1.393380721542005	high	4.72049567240535	6	CheckV-018433	55.99	95.8	NA	NA	0	1.0
k141_43224	6304	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_302211	1294	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_669108	1243	NA	46602.0	2.6672674992489593	low	19.0715755774068	1	CheckV-003866	29.5	100.0	NA	NA	0	1.0
k141_280636	2549	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_280641	3046	NA	572012.8750317596	0.5325054964594771	low	15.760181986278	11	CheckV-045271	33.0	37.03	0.20928610059491617	1.8056246619794483	2	1.0
k141_442533	12427	NA	48941.004715804	25.39179584105898	low	27.4561384438116	43	CheckV-058070	34.1	10.66	16.358082379992656	44.069165719056805	6	1.0
k141_377796	3743	NA	668031.0	0.5603033392162938	low	19.4362889019378	1	CheckV-050294	34.8	19.08	0.5722367672168469	1.858076266363119	2	1.0
k141_32443	3980	NA	53694.71148551921	7.4122756038522635	low	13.5912336222927	5	CheckV-054581	24.2	51.72	NA	NA	0	1.0
k141_172729	8161	NA	93233.9914532479	8.753245326938861	medium	5.21039935674082	63	CheckV-016032	46.14	93.97	4.634582933844679	12.39744007670182	2	1.0
k141_615225	3206	NA	38914.0	8.238680166521046	low	21.1303462321792	1	CheckV-032419	29.4	41.95	NA	NA	0	1.0
k141_237541	3195	NA	334415.63762261975	0.9553979062442897	low	19.6969102730118	6	CheckV-050298	29.2	57.49	NA	NA	0	1.0
k141_593661	3805	NA	37355.19155370548	10.186000504185769	medium	8.16402444995913	2	CheckV-054009	50.07	46.85	5.64	11.05	1	1.0
k141_334655	8642	NA	56593.0	15.270439807043275	low	21.9565771667288	1	CheckV-060044	54.7	3.05	NA	NA	0	1.0
k141_226750	1288	NA	NA	NA	NA	NA	0	NA	NA	NA	1.5274376417233562	1.7500000000000002	2	1.0
k141_518131	10621	NA	29433.0	36.0853463799137	low	11.4453806865935	1	CheckV-033378	37.36	32.97	14.276679960896546	38.449081670964276	3	1.0
k141_356248	8961	NA	8129.039093753713	100.0	low	13.3435582822086	2	CheckV-044971	36.2	27.25	NA	NA	0	1.02
k141_162049	5399	NA	38059.0	14.185869308179406	medium	7.70338372930166	1	CheckV-054009	49.46	58.49	NA	NA	0	1.0
k141_194409	1377	NA	64293.03401279925	2.1417561344606497	medium	5.34451919204702	291	CheckV-010186	54.5	72.73	1.26	4.28	1	1.0
k141_323892	1328	NA	NA	NA	NA	NA	0	NA	NA	NA	1.97	3.86	1	1.0
k141_237573	1125	NA	NA	NA	NA	NA	0	NA	NA	NA	1.7699999999999998	3.4	1	1.0
k141_485732	3492	NA	143855.0	2.4274443015536478	medium	9.14521112255407	1	CheckV-044766	33.88	93.47	NA	NA	0	1.0
k141_183625	2790	NA	184406.96255598156	1.5129580582690974	low	19.8204252802495	60	CheckV-004950	25.5	88.4	NA	NA	0	1.0
k141_507383	2859	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_572122	1696	NA	44934.008276438704	3.774424016584568	low	10.9454880691546	581	CheckV-002091	39.3	85.19	2.54	5.56	1	1.0
k141_550540	5241	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_162094	2842	NA	60279.0	4.7147431111995886	low	11.9200678430089	1	CheckV-061284	27.9	100.0	NA	NA	0	1.0
k141_291487	4245	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_151269	2344	NA	35709.0	6.564171497381612	low	22.3173989712224	1	CheckV-020794	24.8	80.71	NA	NA	0	1.0
k141_21762	3214	NA	117686.25476216999	2.730990128367254	low	19.7445197918309	3	CheckV-015755	39.3	19.12	NA	NA	0	1.0
k141_75749	1809	NA	48965.26027968918	3.6944560075184043	low	10.8990753492032	38	CheckV-005789	43.9	78.57	NA	NA	0	1.0
k141_421022	3444	NA	56010.93935785061	6.148798858730944	low	21.4175654853621	4	CheckV-007712	29.5	31.61	NA	NA	0	1.0
k141_528975	8860	NA	31702.79861884607	27.94705952153094	low	16.1277892551785	2	CheckV-000211	46.0	14.87	NA	NA	0	1.0
k141_345497	2388	NA	35900.09964257965	6.6517921225145855	low	16.0955816050496	3	CheckV-060046	43.9	18.85	2.4281129943502826	8.477740112994352	2	1.0
k141_561327	3451	NA	157850.7469977943	2.18624242560488	low	13.2625055334219	11	CheckV-061425	72.4	10.08	0.78	1.2	1	1.0
k141_550588	1660	NA	36603.0	4.535147392290249	high	4.45453017313834	1	CheckV-060046	62.03	100.0	0.8018673218673219	2.4202457002457	2	1.0
k141_377945	3085	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_636887	1390	NA	43556.00384930614	3.1912936843542483	high	3.45891855008104	47	CheckV-029781	63.9	75.7	NA	NA	0	1.0
k141_421055	3065	NA	NA	NA	NA	NA	0	NA	NA	NA	0.44	1.68	1	1.0
k141_21811	6947	NA	177873.90090810478	3.905575784043235	medium	5.34106412005457	123	CheckV-014992	45.43	85.44	2.893214867512366	6.573368438819928	4	1.0
k141_529011	3859	NA	148097.0958403843	2.605722940144041	low	15.1657311952622	199	CheckV-012088	38.2	27.09	NA	NA	0	1.0
k141_270011	4579	NA	380432.38498588116	1.2036304428104718	medium	5.63060811237177	24	CheckV-050294	36.5	86.73	0.23	1.15	1	1.0
k141_485819	6929	NA	94921.83674629041	7.299690184588415	low	26.9656238848579	27	CheckV-018433	40.13	11.84	NA	NA	0	1.0
k141_291545	1002	NA	NA	NA	NA	NA	0	NA	NA	NA	1.46	3.2	1	1.0
k141_270024	4422	2892	6422.470785106888	45.0293990703123	medium	7.43465240019771	101	CheckV-009581	36.85	100.0	26.96	65.7	1	1.0
k141_421086	2976	NA	145052.8315656887	2.0516662569612003	medium	6.26853028377806	15	CheckV-061429	58.77	50.59	NA	NA	0	1.0
k141_140556	10893	NA	111717.0	9.750530357958056	low	22.0478038089032	1	CheckV-032045	23.2	23.23	NA	NA	0	1.0
k141_410347	3339	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_572256	1040	NA	199559.0880703755	0.521148903844078	medium	6.53280625218078	42	CheckV-000626	58.2	52.3	0.43653186274509803	2.8800000000000003	2	1.0
k141_658478	1432	NA	35804.0	3.999553122556139	low	19.0715755774068	1	CheckV-028345	28.4	100.0	NA	NA	0	1.0
k141_259252	4419	NA	NA	NA	NA	NA	0	NA	NA	NA	1.8099999999999998	13.41	1	1.0
k141_140573	7357	NA	288051.0	2.554061607145957	low	14.6911520575663	1	CheckV-000035	34.68	36.61	NA	NA	0	1.02
k141_593825	3468	NA	133105.0145583455	2.6054615684519016	low	13.5571486856677	3	CheckV-044766	36.36	55.84	NA	NA	0	1.0
k141_205402	3388	NA	131013.76628947862	2.5859877904083133	low	14.855914629916	70	CheckV-031563	49.6	13.48	1.38	6.9799999999999995	1	1.0
k141_367210	2947	NA	40130.09619624172	7.343615588631441	medium	9.69093101478708	7	CheckV-060045	47.2	50.41	2.6199999999999997	9.87	1	1.0
k141_345606	2360	NA	158252.96045119828	1.4912833183476348	low	23.2068893916046	3	CheckV-012154	27.2	71.87	NA	NA	0	1.0
k141_248537	4201	NA	171304.8404976007	2.452353353120129	low	25.6613586747143	9	CheckV-003415	43.6	11.75	NA	NA	0	1.0
k141_399630	1118	NA	39026.343113473056	2.864731642289162	medium	7.29637658717869	51	CheckV-054009	48.2	100.0	0.99	3.74	1	1.0
k141_637016	2847	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_626212	1369	NA	40203.02765060004	3.4052161740101368	high	2.90887460477086	10	CheckV-012012	76.33	100.0	2.27453125	3.57396875	2	1.0
k141_615446	1096	NA	58809.14857143931	1.8636556158751683	high	3.42478034785727	123	CheckV-003866	67.8	100.0	0.75	2.78	1	1.0
k141_583042	3150	NA	36853.91084139282	8.547261140226256	medium	9.39265536723164	3	CheckV-060046	42.52	59.13	NA	NA	0	1.0
k141_485932	4244	NA	75710.88212180747	5.605535005089545	low	13.5948759007206	2	CheckV-044559	26.1	70.32	NA	NA	0	1.0
k141_485936	2621	NA	43565.244983722994	6.016263654615663	low	12.1929432782492	39	CheckV-021559	40.4	34.31	3.4115910921705686	7.874593196996075	3	1.0
k141_11157	4008	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_572379	5167	NA	43350.63275791587	11.919087845509015	low	20.5151793928243	26	CheckV-033378	26.1	10.76	6.0	20.12	1	1.0
k141_313394	2907	NA	86470.38846210203	3.361844501570698	low	20.2028081123245	8	CheckV-001133	28.6	49.48	NA	NA	0	1.0
k141_162327	1170	NA	351756.55504327436	0.33261640280052845	low	13.92	3	CheckV-000616	34.6	100.0	0.09	0.19	1	1.0
k141_583089	2625	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_216307	4079	NA	51344.516828328975	7.944373132652483	low	10.3161857728861	967	CheckV-027129	30.17	44.19	2.21	11.99	1	1.0
k141_410491	3107	NA	63646.64254247955	4.881640061259007	medium	7.41878841088674	2	CheckV-060036	52.5	34.93	3.87	8.01	1	1.01
k141_21972	1670	NA	180569.15130448068	0.9248534358917155	medium	9.69093101478708	134	CheckV-049748	43.8	48.86	0.7482040816326531	1.9102448979591837	2	1.0
k141_378172	2825	NA	370058.4005907239	0.7633930199910217	medium	9.69093101478708	94	CheckV-049466	43.4	50.96	1.2845196211096075	6.247063599458728	2	1.0
k141_43569	1121	NA	32993.983546784555	3.397589134426442	low	19.0715755774068	3	CheckV-023911	31.9	100.0	1.66	3.26	1	1.0
k141_647906	5508	NA	234380.0	2.3500298660295247	low	NA	1	CheckV-029464	20.9	66.96	NA	NA	0	1.0
k141_604735	2990	NA	63198.48529952223	4.73112604808363	low	16.0955816050496	3	CheckV-060036	45.5	18.96	NA	NA	0	1.0
k141_173051	1054	NA	44526.73881014345	2.367116991195171	medium	7.92314988883452	17	CheckV-004381	55.6	34.75	1.9799999999999998	3.11	1	1.0
k141_453673	2772	NA	105941.37257714273	2.616541519680169	low	10.9394929934521	6	CheckV-002484	37.69	58.26	NA	NA	0	1.0
k141_356596	1398	NA	36850.943968531465	3.7936612999488144	high	4.12714261940423	3	CheckV-054009	65.57	78.48	1.62	5.44	1	1.0
k141_496895	1742	NA	57103.573544460305	3.0505971725984806	low	10.5427046263345	8	CheckV-044789	47.5	67.99	1.43	9.93	1	1.0
k141_388925	4338	NA	37901.0	11.445608295295639	low	26.9656238848579	1	CheckV-015682	40.0	9.19	NA	NA	0	1.0
k141_216381	3459	NA	85203.40277916274	4.059697015816755	low	11.6206370876712	18	CheckV-002460	50.7	25.36	NA	NA	0	1.0
k141_561587	1426	NA	40068.0	3.5589497853648795	low	19.0715755774068	1	CheckV-012989	28.2	100.0	0.62	0.8499999999999999	1	1.03
k141_86783	1425	NA	128439.83275039133	1.109468900328865	low	13.1305637982196	26	CheckV-030113	41.4	28.06	NA	NA	0	1.0
k141_216399	2889	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_11245	2590	NA	44272.17946575379	5.850175056331851	low	21.9381688466112	5	CheckV-000607	29.5	27.04	NA	NA	0	1.0
k141_32765	1265	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_517	3690	NA	210833.0	1.750200395573748	low	18.1585854626757	1	CheckV-020028	30.5	34.13	NA	NA	0	1.07
k141_43650	11438	NA	57020.383721876206	20.05949320823624	low	28.292853557284	423	CheckV-005278	27.1	17.7	8.39	33.12	1	1.0
k141_604816	1929	NA	48592.82638053217	3.96972175459384	low	19.7445197918309	6	CheckV-015508	38.8	18.17	NA	NA	0	1.0
