contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_150459|provirus_199_7183	6985	NA	46315.5413728063	15.081330786519041	medium	7.16312228715536	5	CheckV-053400	77.26	31.42	7.72	20.61	1	1.0
k141_135104	1703	NA	68045.7816985781	2.502726778191434	medium	5.43936183472517	11	CheckV-057269	56.35	82.45	1.8309958506224069	4.905103734439834	2	1.0
k141_12886	3142	NA	43187.644660649814	7.2752288870775494	low	12.5183531358589	338	CheckV-048141	68.0	12.55	3.3278177458033573	8.962086330935252	2	1.0
k141_218761	1976	NA	48590.74774112662	4.0666178065984715	medium	6.26853028377806	3	CheckV-016564	57.77	47.68	2.23	5.23	1	1.0
k141_295983	1508	NA	178798.17447356938	0.8434090585320367	medium	8.74144713788569	124	CheckV-061494	47.99	74.8	NA	NA	0	1.0
k141_193054	1340	NA	58891.04211000319	2.275388500507429	high	1.39494283533999	53	CheckV-015762	91.2	83.03	1.97	3.69	1	1.0
k141_6508	2635	NA	228293.39055882825	1.1542165077797093	high	4.50195005338972	332	CheckV-001138	55.8	100.0	NA	NA	0	1.0
k141_83694	1589	NA	68571.47649050957	2.3172900472981954	medium	7.59381898454746	4	CheckV-003848	61.6	30.39	2.9583832335329348	4.886706586826347	2	1.0
k141_83715	1006	NA	66980.36928418139	1.5019325971939437	high	3.38891877353416	12	CheckV-058093	74.85	82.74	1.4012343470483009	2.834865831842576	2	1.0
k141_263837	2909	NA	108435.37577416097	2.6827038493955997	low	10.0451710045171	66	CheckV-061890	38.76	76.25	NA	NA	0	1.0
k141_115892	4450	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_328196	2669	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_244575	1547	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_77326	2932	NA	357770.90760060353	0.8195188422847196	low	10.9394929934521	24	CheckV-061348	41.23	60.45	0.7606178489702516	1.2022654462242564	2	1.0
k141_283162	1295	NA	47787.3192169748	2.7099239321631496	high	4.7385831317676	65	CheckV-044562	59.5	100.0	1.83	3.58	1	1.0
k141_341064	1088	NA	181049.4756038781	0.600940707710448	low	11.0823071937784	110	CheckV-061326	41.6	70.91	0.4643243243243243	0.7117567567567566	2	1.0
k141_135242	4776	NA	38624.738251431816	12.365132338011259	high	1.21561384431011	2	CheckV-043605	91.85	100.0	NA	NA	0	1.0
