File,Median_pI,n_structural
k141_729649.faa,7.150652122497559,1
k141_1080333.faa,4.4521074295043945,1
k141_1150728.faa,6.535483741760253,1
k141_753050.faa,10.21909313201904,1
k141_406614.faa,5.1999664306640625,2
k141_572195.faa,5.469923210144042,4
k141_55695.faa,8.046250724792483,1
k141_348873.faa,5.061932945251464,2
k141_295805.faa,4.93575038909912,1
k141_889977.faa,9.689936637878418,1
k141_1156203.faa,4.811670875549316,3
k141_307395.faa,4.682305335998534,1
k141_1025373.faa,5.1199655532836905,1
k141_916503.faa,4.822640800476074,2
k141_840093.faa,6.30903720855713,3
k141_995043.faa,5.2333593368530265,1
k141_452194.faa,4.623505401611328,2
k141_976285.faa,5.148498725891112,1
k141_993597.faa,6.589651298522949,1
k141_694345.faa,4.637402534484863,2
k141_743757.faa,4.5001079559326165,2
k141_582366.faa,6.541963386535645,1
k141_258340.faa,5.107745170593262,1
k141_1066387.faa,5.012625122070312,6
k141_709690.faa,5.063353919982909,2
k141_930540.faa,5.465575027465819,2
k141_492355.faa,5.120192909240722,3
k141_26017.faa,4.0500284194946286,1
k141_781743.faa,5.104221153259276,4
k141_540833.faa,4.718795967102051,2
k141_414085.faa,4.993896675109862,3
k141_944062.faa,4.98173313140869,1
k141_373140.faa,4.607164192199707,1
k141_237267.faa,4.879792404174804,2
k141_1055880.faa,5.374831581115722,1
k141_104158.faa,4.750483703613281,2
k141_1125422.faa,6.566176795959472,1
k141_979045.faa,5.444686698913574,3
k141_1016731_provirus_136_7188.faa,5.2599599838256825,2
k141_5174.faa,6.000572013854979,1
