seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_363394	4620	No terminal repeats	NA	7	11	0.9835	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
k141_241969	6323	No terminal repeats	NA	11	11	0.9833	NA	6	18.3263	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_190918	8385	No terminal repeats	NA	14	11	0.9833	NA	9	19.8911	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_295175	5892	No terminal repeats	NA	6	11	0.9832	NA	4	10.3070	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_122698	5525	No terminal repeats	NA	7	11	0.9832	NA	1	12.0246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_192284	8472	No terminal repeats	NA	11	11	0.9831	NA	6	13.7890	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_381173	6014	No terminal repeats	NA	8	11	0.9831	NA	3	13.2665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_170885	8945	No terminal repeats	NA	13	11	0.9830	NA	5	21.8224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_51453	8017	No terminal repeats	NA	13	11	0.9829	NA	4	19.4517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_185959	6922	No terminal repeats	NA	11	11	0.9828	NA	2	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_91283	7238	No terminal repeats	NA	5	11	0.9827	NA	0	6.8638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_101764	4084	No terminal repeats	NA	6	11	0.9827	NA	5	10.1192	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_190021	7038	No terminal repeats	NA	7	11	0.9827	NA	4	8.7820	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_274372	9791	No terminal repeats	NA	13	11	0.9826	NA	5	22.0934	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_341796	6250	No terminal repeats	NA	10	11	0.9826	NA	3	12.7747	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_216702	5736	No terminal repeats	NA	8	11	0.9826	NA	1	11.8119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_250646	4079	No terminal repeats	NA	5	11	0.9826	NA	0	8.5743	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_47680	4099	No terminal repeats	NA	8	11	0.9825	NA	2	9.9036	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_303021	4871	No terminal repeats	NA	9	11	0.9825	NA	3	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_211119	5167	No terminal repeats	NA	5	11	0.9825	NA	3	6.1989	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_73536	6833	No terminal repeats	NA	10	11	0.9825	NA	4	12.6888	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_219682	3791	No terminal repeats	NA	6	11	0.9825	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
k141_65492	5797	No terminal repeats	NA	10	11	0.9824	NA	1	14.9588	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_144658	4026	No terminal repeats	NA	9	11	0.9823	NA	0	9.6614	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_55889	4578	No terminal repeats	NA	8	11	0.9823	NA	2	11.5620	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_200624	3945	No terminal repeats	NA	5	11	0.9823	NA	3	8.1917	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_57338	5994	No terminal repeats	NA	8	11	0.9822	NA	3	10.1155	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_114616	6357	No terminal repeats	NA	10	11	0.9822	NA	2	12.9742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_20903	4415	No terminal repeats	NA	7	11	0.9821	NA	6	9.6658	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_324830	6137	No terminal repeats	NA	17	11	0.9821	NA	0	9.9740	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_245327	8121	No terminal repeats	NA	14	11	0.9821	NA	1	11.9489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_327922	5336	No terminal repeats	NA	11	11	0.9821	NA	3	13.4411	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_285580	6708	No terminal repeats	NA	5	11	0.9821	NA	5	8.2664	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_197139	4267	No terminal repeats	NA	7	11	0.9819	NA	2	8.1611	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_384343	7213	No terminal repeats	NA	12	11	0.9819	NA	0	9.4992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_170572	6171	No terminal repeats	NA	10	11	0.9819	NA	0	11.1994	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_86051	3919	No terminal repeats	NA	5	11	0.9819	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_363681	3565	No terminal repeats	NA	8	11	0.9819	NA	0	9.6527	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_371743	5625	No terminal repeats	NA	10	11	0.9819	NA	2	8.1212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_229077	6446	No terminal repeats	NA	6	11	0.9819	NA	1	6.8643	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_250155	4237	No terminal repeats	NA	5	11	0.9819	NA	1	6.8731	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_256982	4675	No terminal repeats	NA	6	11	0.9818	NA	3	7.3508	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_99245	4041	No terminal repeats	NA	8	11	0.9818	NA	1	6.3318	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_219668	5306	No terminal repeats	NA	9	11	0.9818	NA	1	11.4073	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_9505	6053	No terminal repeats	NA	11	11	0.9818	NA	1	16.1408	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_360858	4132	No terminal repeats	NA	6	11	0.9817	NA	3	8.1286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_219724	7209	No terminal repeats	NA	12	11	0.9817	NA	1	12.4995	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_192365	7373	No terminal repeats	NA	7	11	0.9817	NA	4	11.5433	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_317275	7518	No terminal repeats	NA	13	11	0.9817	NA	0	20.2989	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_226081	6187	No terminal repeats	NA	12	11	0.9817	NA	3	15.0136	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_170518	3662	No terminal repeats	NA	5	11	0.9816	NA	3	6.2751	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_47014	4169	No terminal repeats	NA	5	11	0.9816	NA	3	6.7632	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_371103	4902	No terminal repeats	NA	8	11	0.9816	NA	0	11.5074	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_48921	6237	No terminal repeats	NA	10	11	0.9815	NA	2	13.9261	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_127399	9078	No terminal repeats	NA	14	11	0.9815	NA	0	18.2654	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_139727	4171	No terminal repeats	NA	8	11	0.9815	NA	5	12.9052	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_128649	6854	No terminal repeats	NA	9	11	0.9814	NA	1	10.7700	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
