seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_2102804	8985	No terminal repeats	8	11	0.9461	NA	1	2.9807	B_traN	NA
k141_332762	2584	No terminal repeats	3	11	0.9188	NA	1	2.0586	C_alr7204;virb4	NA
k141_1356455	2447	No terminal repeats	3	11	0.979	NA	1	3.7655	C_alr7208;C_alr7207;virb4	NA
k141_3045324	5172	No terminal repeats	4	11	0.9272	NA	1	2.306	C_alr7212;t4cp1	NA
k141_2666389	6664	No terminal repeats	6	11	0.9433	NA	5	6.0512	F_traH;F_traF;F_trbC	NA
k141_1798462	23613	No terminal repeats	24	11	0.8525	NA	7	8.0066	F_traL;F_traE;F_traK;F_traV;virb4	NA
k141_287349	6868	No terminal repeats	6	11	0.8389	NA	2	4.2866	F_traU;F_traW	NA
k141_1190036	2575	No terminal repeats	4	11	0.767	NA	1	1.7747	F_traV	NA
k141_496210	2021	No terminal repeats	3	11	0.745	NA	2	2.4261	F_traW;F_traU	NA
k141_185007	3378	No terminal repeats	7	11	0.9632	NA	4	4.4215	G_tfc13;G_tfc12;G_tfc11;G_tfc10	NA
k141_3513459	6687	No terminal repeats	11	11	0.9856	NA	5	6.9308	G_tfc2;G_tfc3;T_virB1;G_tfc5;t4cp1	NA
k141_158112	20877	No terminal repeats	30	11	0.9808	NA	9	16.7473	G_tfc2;G_tfc3;T_virB1;G_tfc5;t4cp1;G_tfc7;G_tfc8;G_tfc9;G_tfc10;G_tfc11	NA
k141_3760896	83401	No terminal repeats	87	11	0.9898	NA	18	48.3569	G_tfc2;G_tfc3;T_virB1;G_tfc5;t4cp1;G_tfc7;G_tfc8;G_tfc9;G_tfc10;G_tfc11;G_tfc12;G_tfc13;G_tfc14;G_tfc15;virb4;G_tfc24;G_tfc23;G_tfc22;G_tfc18;G_tfc19;MOBH	NA
k141_1386156	2523	No terminal repeats	3	11	0.9843	NA	3	3.6686	G_tfc23;G_tfc24;virb4	NA
k141_691824	10022	No terminal repeats	11	11	0.918	NA	7	6.6251	G_tfc23;G_tfc24;virb4;G_tfc15;G_tfc14;G_tfc13;G_tfc12;G_tfc11	NA
k141_919546	3337	No terminal repeats	4	11	0.8703	NA	4	4.1468	G_tfc3;T_virB1;G_tfc5;t4cp1	NA
k141_3253724	2614	No terminal repeats	6	11	0.9699	NA	5	6.3687	G_tfc9;G_tfc10;G_tfc11;G_tfc12;G_tfc13	NA
k141_1553268	10763	No terminal repeats	15	11	0.8157	NA	1	0.5699	I_traI	NA
k141_19114	10641	No terminal repeats	13	11	0.8395	NA	2	3.343	I_traI	NA
k141_235650	6924	No terminal repeats	9	11	0.9329	NA	1	2.2881	I_traI	NA
k141_2868244	4771	No terminal repeats	5	11	0.9248	NA	1	2.8691	I_traI	NA
k141_2030667	3431	No terminal repeats	6	11	0.8226	NA	1	2.8691	I_traI	NA
k141_1111993	2030	No terminal repeats	3	11	0.8934	NA	1	2.2881	I_traI	NA
k141_2729826	5453	No terminal repeats	9	11	0.8253	NA	2	3.2855	I_traI;I_traK	NA
k141_1878963	6371	No terminal repeats	5	11	0.9384	NA	1	3.1241	I_traK	NA
k141_1834838	2385	No terminal repeats	4	11	0.9479	NA	2	1.588	I_traK;I_traI	NA
k141_1673219	9008	No terminal repeats	9	11	0.91	NA	1	0.9974	I_traK;T_virB11	NA
k141_3628461	2171	No terminal repeats	3	11	0.9116	NA	2	2.1189	I_traM;traU	NA
k141_2254705	9554	No terminal repeats	8	11	0.9358	NA	2	4.5386	I_traN	NA
k141_2158560	8667	No terminal repeats	10	11	0.8917	NA	1	1.6857	I_traN	NA
k141_3782856	6892	No terminal repeats	10	11	0.9649	NA	1	3.404	I_traN	NA
k141_1925633	4338	No terminal repeats	5	11	0.9448	NA	1	1.1515	I_traN	NA
k141_170501	4255	No terminal repeats	6	11	0.8401	NA	1	1.6857	I_traN	NA
k141_317629	2416	No terminal repeats	3	11	0.9668	NA	1	1.1515	I_traN	NA
k141_317770	2104	No terminal repeats	3	11	0.8654	NA	1	1.1515	I_traN	NA
k141_1492382	9620	No terminal repeats	11	11	0.935	NA	1	2.5075	I_traN;I_traQ	NA
k141_1491714	9586	No terminal repeats	11	11	0.9493	NA	1	2.5075	I_traN;I_traQ	NA
k141_612656	6943	No terminal repeats	8	11	0.9122	NA	1	1.9732	I_traN;I_traQ	NA
k141_351710	41305	No terminal repeats	31	11	0.9156	NA	3	4.9913	I_traN;I_traQ;traU	NA
k141_3240528	9970	No terminal repeats	13	11	0.9393	NA	2	3.6181	I_traQ;I_traN	NA
k141_3270485	4204	No terminal repeats	4	11	0.7864	NA	0	1.446	I_traW	NA
k141_2884632	8783	No terminal repeats	8	11	0.905	NA	0	2.6924	I_traW;I_traY	NA
k141_2220150	7386	No terminal repeats	7	11	0.9254	NA	0	0.9741	I_traW;I_traY	NA
k141_2825200	5818	No terminal repeats	6	11	0.8669	NA	0	1.2463	I_traY	NA
k141_1628271	5649	No terminal repeats	5	11	0.7117	NA	0	1.1337	I_traY	NA
k141_2581574	5208	No terminal repeats	5	11	0.8878	NA	0	1.2463	I_traY	NA
k141_1287162	4486	No terminal repeats	4	11	0.7665	NA	0	1.1337	I_traY	NA
k141_376421	3791	No terminal repeats	4	11	0.9307	NA	0	1.2463	I_traY	NA
k141_1634516	2741	No terminal repeats	2	11	0.8762	NA	0	1.2463	I_traY	NA
k141_926011	32646	No terminal repeats	32	11	0.9234	NA	1	0.417	I_traY;I_trbA	NA
k141_64166	8857	No terminal repeats	6	11	0.8992	NA	1	2.8106	I_trbA	NA
k141_2416169	7601	No terminal repeats	7	11	0.7776	NA	1	2.3572	I_trbA	NA
k141_3309159	7132	No terminal repeats	7	11	0.8289	NA	1	1.189	I_trbA	NA
k141_1132497	5837	No terminal repeats	4	11	0.9384	NA	1	2.8106	I_trbA	NA
k141_2047753	44804	No terminal repeats	49	11	0.8892	NA	1	0.1199	I_trbA;I_traW;I_traY	NA
k141_3635436	13808	No terminal repeats	13	11	0.9424	NA	1	3.4909	I_trbA;I_traY	NA
k141_2727760	9642	No terminal repeats	9	11	0.8564	NA	1	2.4774	MOBH	NA
k141_275095	85119	No terminal repeats	128	11	0.9752	NA	10	17.9463	MOBH;t4cp1;G_tfc7;T_virB11;T_virB3;B_traI;B_traI;T_virB8;T_virB9;T_virB10;T_virB9;T_virB11	NA
k141_2630161	37231	No terminal repeats	33	11	0.9896	NA	2	4.1802	MOBP1	NA
k141_1080224	10708	No terminal repeats	14	11	0.9888	NA	1	3.9676	MOBP1	NA
k141_541541	9315	No terminal repeats	14	11	0.9812	NA	1	0	MOBP1	NA
k141_2206537	6228	No terminal repeats	8	11	0.991	NA	4	5.2082	MOBP1	NA
k141_1547872	6168	No terminal repeats	6	11	0.9919	NA	3	5.1356	MOBP1	NA
k141_10684	5774	No terminal repeats	7	11	0.9737	NA	1	3.0617	MOBP1	NA
k141_791894	5719	DTR	6	11	0.9885	NA	2	5.1312	MOBP1	NA
k141_2530309	4829	DTR	6	11	0.9944	NA	3	5.4472	MOBP1	NA
k141_366933	4778	No terminal repeats	5	11	0.9905	NA	2	2.7716	MOBP1	NA
k141_2932657	4690	DTR	6	11	0.9926	NA	3	4.9251	MOBP1	NA
k141_2842010	4533	No terminal repeats	6	11	0.9904	NA	2	3.6154	MOBP1	NA
k141_1558501	4407	No terminal repeats	6	11	0.9915	NA	1	1.9499	MOBP1	NA
k141_2464813	4261	No terminal repeats	3	11	0.98	NA	2	3.0904	MOBP1	NA
k141_1371736	3996	No terminal repeats	5	11	0.9946	NA	3	4.1522	MOBP1	NA
k141_3453884	3896	No terminal repeats	4	11	0.989	NA	3	3.6036	MOBP1	NA
k141_2936024	3874	DTR	6	11	0.9935	NA	3	4.1522	MOBP1	NA
k141_3726210	3799	No terminal repeats	4	11	0.9955	NA	4	4.2666	MOBP1	NA
k141_2748095	3759	No terminal repeats	3	11	0.9832	NA	1	3.4366	MOBP1	NA
k141_998861	3685	No terminal repeats	6	11	0.9836	NA	1	3.0279	MOBP1	NA
k141_2125763	3393	No terminal repeats	5	11	0.994	NA	3	5.3412	MOBP1	NA
k141_1093954	3291	No terminal repeats	3	11	0.7064	NA	1	1.6645	MOBP1	NA
k141_3628555	3218	No terminal repeats	4	11	0.9925	NA	3	3.6036	MOBP1	NA
k141_245109	3216	No terminal repeats	3	11	0.9915	NA	2	2.801	MOBP1	NA
k141_481241	3126	No terminal repeats	6	11	0.9948	NA	3	4.4446	MOBP1	NA
k141_1368368	2927	No terminal repeats	4	11	0.9619	NA	3	3.8706	MOBP1	NA
k141_2857655	2919	No terminal repeats	3	11	0.9789	NA	2	2.4474	MOBP1	NA
k141_3412038	2884	No terminal repeats	4	11	0.9799	NA	2	2.6173	MOBP1	NA
k141_304775	2847	No terminal repeats	4	11	0.9855	NA	1	1.464	MOBP1	NA
k141_2702140	2674	No terminal repeats	3	11	0.9761	NA	2	3.4339	MOBP1	NA
k141_886199	2620	No terminal repeats	3	11	0.9883	NA	1	2.9242	MOBP1	NA
k141_1615546	2476	No terminal repeats	2	11	0.9463	NA	1	1.4951	MOBP1	NA
k141_719399	2445	No terminal repeats	4	11	0.9511	NA	1	1.518	MOBP1	NA
k141_1853305	2442	No terminal repeats	3	11	0.9906	NA	2	2.9406	MOBP1	NA
k141_2509655	2070	No terminal repeats	3	11	0.9957	NA	2	3.4064	MOBP1	NA
k141_162223	2008	No terminal repeats	4	11	0.993	NA	2	3.4064	MOBP1	NA
k141_2560584	10293	No terminal repeats	13	11	0.9879	NA	2	6.4946	MOBQ	NA
k141_479778	9759	No terminal repeats	12	11	0.9935	NA	1	3.7081	MOBQ	NA
k141_1910205	7484	No terminal repeats	9	11	0.9888	NA	1	4.4319	MOBQ	NA
k141_3383689	6812	No terminal repeats	8	11	0.9944	NA	2	6.1174	MOBQ	NA
k141_1873338	6757	DTR	10	11	0.9951	NA	2	5.7311	MOBQ	NA
k141_475459	6029	No terminal repeats	13	11	0.9485	NA	2	2.7677	MOBQ	NA
k141_1012599	5451	No terminal repeats	5	11	0.9896	NA	2	3.2002	MOBQ	NA
k141_2106255	5088	No terminal repeats	7	11	0.9219	NA	3	4.7832	MOBQ	NA
k141_3160344	4361	DTR	6	11	0.8807	NA	1	1.4894	MOBQ	NA
k141_1545203	4038	No terminal repeats	6	11	0.8569	NA	1	1.692	MOBQ	NA
k141_3221218	3921	No terminal repeats	6	11	0.9511	NA	2	3.2518	MOBQ	NA
k141_2857591	3594	No terminal repeats	9	11	0.9114	NA	1	1.4894	MOBQ	NA
k141_3574294	3560	No terminal repeats	4	11	0.9808	NA	2	3.2518	MOBQ	NA
k141_760049	3503	No terminal repeats	3	11	0.9616	NA	1	1.692	MOBQ	NA
k141_2686485	3229	No terminal repeats	4	11	0.982	NA	2	3.2518	MOBQ	NA
k141_2736725	2850	No terminal repeats	6	11	0.919	NA	1	1.2591	MOBQ	NA
k141_424354	2549	No terminal repeats	2	11	0.9708	NA	1	1.692	MOBQ	NA
k141_1493338	2395	No terminal repeats	5	11	0.9951	NA	2	5.3363	MOBQ	NA
k141_1681823	2042	No terminal repeats	2	11	0.9571	NA	1	1.2722	MOBQ	NA
k141_1924578	10155	No terminal repeats	11	11	0.9859	NA	1	0.1139	MOBV	NA
k141_3800212	4678	DTR	4	11	0.9849	NA	1	1.2565	MOBV	NA
k141_3800733	4191	DTR	4	11	0.9951	NA	1	3.8494	MOBV	NA
k141_646437	3641	No terminal repeats	4	11	0.9665	NA	1	1.2565	MOBV	NA
k141_1345189	3359	No terminal repeats	4	11	0.988	NA	1	1.2565	MOBV	NA
k141_3771055	2127	DTR	4	11	0.9451	NA	1	1.8051	MOBV	NA
k141_1690418	290539	No terminal repeats	264	11	0.9735	NA	0	8.0401	NA	NF012174;NF040806;NF033135;NF000402;NF033134
