contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_70623	3208	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_91814	5514	2659	NA	NA	NA	NA	0	NA	NA	NA	0.13	0.7700000000000001	1	1.0
k141_68269	3191	NA	334693.57476737996	0.9534093990952235	medium	7.36886830689784	16	CheckV-000523	53.04	43.61	NA	NA	0	1.0
k141_105940	1695	NA	36603.0	4.630767969838538	low	15.5486016037551	1	CheckV-060046	46.0	23.13	NA	NA	0	1.0
k141_18840	8353	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_98882	2940	NA	291474.0197128659	1.008666227918435	low	21.1303462321792	11	CheckV-010090	32.5	39.89	0.85	2.99	1	1.0
k141_61221	11421	431	106233.0	0.4057119727391677	medium	7.37677077586998	1	CheckV-000545	51.25	63.63	0.45	1.29	1	1.0
k141_30633	1146	NA	82682.96299319727	1.3860170928977074	low	12.2511878772313	6	CheckV-056143	34.4	30.34	0.8372051945155061	2.845413985877498	3	1.0
k141_124767	2226	NA	36514.87663032477	6.096145476639398	medium	9.89099717400081	4	CheckV-060046	42.52	39.62	2.58	8.67	1	1.0
k141_110670	1391	NA	362900.19342533394	0.3833009806003853	medium	9.28434547078065	39	CheckV-054979	45.9	80.74	0.32	0.41	1	1.0
k141_37683	2764	NA	40538.911899442035	6.818140572830823	high	3.54623096917935	7	CheckV-044789	68.5	68.92	2.6041089670828605	7.969284903518729	2	1.0
k141_28276	2887	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_136568	1794	NA	63046.441759977526	2.845521412342176	low	18.4248232254532	33	CheckV-029269	29.4	62.55	NA	NA	0	1.0
k141_80082	3093	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_35362	2613	NA	133100.09190144902	1.9631842192376074	low	15.7078342823483	5	CheckV-023789	34.0	17.31	2.73321618743344	7.670937167199147	2	1.0
k141_129493	4369	NA	64091.89005197455	6.816775096594923	low	18.1585854626757	3	CheckV-000288	31.0	34.2	NA	NA	0	1.0
k141_63593	2622	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_44737	15193	NA	127601.45032101552	11.90660447963401	high	2.9270941310035	8	CheckV-000545	68.46	37.13	6.52	9.82	1	1.0
k141_131833	3703	NA	NA	NA	NA	NA	0	NA	NA	NA	1.372134433962264	6.270200471698114	2	1.0
k141_143629	1202	NA	36586.89628839759	3.2853292351589203	high	2.69320843091335	161	CheckV-018112	69.07	69.91	1.59	3.98	1	1.0
k141_87174	1144	NA	NA	NA	NA	NA	0	NA	NA	NA	0.26	0.39	1	1.0
k141_143649	2174	NA	353623.2050583012	0.6147786595739883	medium	9.82267274135623	19	CheckV-061337	43.73	43.85	0.5590494600719904	1.3351806425809896	3	1.0
k141_40047	4321	NA	106233.0	4.067474325303813	medium	6.64055213579556	1	CheckV-000545	45.5	63.62	NA	NA	0	1.0
k141_106005	3015	NA	150084.09838662183	2.008873713078687	low	16.0955816050496	203	CheckV-034342	45.4	22.21	NA	NA	0	1.0
k141_16489	6307	2406	178387.22710712563	1.348751274975053	low	25.6613586747143	165	CheckV-059806	47.1	8.25	0.63	5.66	1	1.0
k141_75397	2602	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_143664	1253	NA	36444.348679253766	3.4381187904540056	medium	6.52300524170064	4	CheckV-060046	48.4	71.89	NA	NA	0	1.0
k141_136606	4661	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_21315	1248	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_35423	3998	NA	162596.88962283972	2.4588416231539076	low	15.1657311952622	189	CheckV-006648	39.6	22.74	NA	NA	0	1.0
k141_54303	1104	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_98959	5959	NA	44814.0	13.297183915740616	low	15.4714335542146	1	CheckV-011671	59.9	12.77	NA	NA	0	1.0
k141_25978	7265	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_14256	3451	NA	49412.57269582188	6.9840524622022	low	14.7807123818755	9	CheckV-037591	34.7	47.26	NA	NA	0	1.0
k141_33021	2775	NA	719487.5633501789	0.38569116984853163	low	16.0955816050496	44	CheckV-050294	46.3	21.82	0.23	1.54	1	1.0
