seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_21811	6947	No terminal repeats	NA	7	11	0.9831	NA	2	11.4844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_196940	7985	No terminal repeats	NA	10	11	0.9827	NA	1	15.0549	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_316181	3888	No terminal repeats	NA	10	11	0.9825	NA	0	13.3705	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_628513	5508	No terminal repeats	NA	6	11	0.9825	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_459558	8074	No terminal repeats	NA	9	11	0.9825	NA	8	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_461321	7528	No terminal repeats	NA	8	11	0.9822	NA	1	12.3128	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_485074	3689	No terminal repeats	NA	6	11	0.9822	NA	0	6.8320	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_676312	4160	No terminal repeats	NA	9	11	0.9821	NA	1	8.2070	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_386143	7604	No terminal repeats	NA	10	11	0.9820	NA	0	12.4222	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_76126	4982	No terminal repeats	NA	8	11	0.9819	NA	1	9.9010	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_328084	9279	No terminal repeats	NA	14	11	0.9818	NA	2	19.0433	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_230827	3798	No terminal repeats	NA	5	11	0.9817	NA	1	8.3746	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_19953	8502	No terminal repeats	NA	12	11	0.9817	NA	0	15.1166	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_125134	3749	No terminal repeats	NA	5	11	0.9816	NA	2	8.5646	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_320130	4573	No terminal repeats	NA	6	11	0.9815	NA	1	6.3847	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_315302	8179	No terminal repeats	NA	8	11	0.9815	NA	1	11.0800	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_230974	4686	No terminal repeats	NA	13	11	0.9814	NA	1	8.2846	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_509310	4440	No terminal repeats	NA	6	11	0.9812	NA	2	8.5865	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_151688	5741	No terminal repeats	NA	12	11	0.9812	NA	5	9.9256	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_14062	8035	No terminal repeats	NA	17	11	0.9811	NA	1	12.8431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_559345	2712	No terminal repeats	NA	3	11	0.9811	NA	1	4.9366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_271858	3897	No terminal repeats	NA	5	11	0.9808	NA	3	7.6605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_172729	8161	No terminal repeats	NA	5	11	0.9808	NA	2	8.2274	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
k141_246498	5982	No terminal repeats	NA	11	11	0.9806	NA	0	8.8415	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_133115	3781	No terminal repeats	NA	6	11	0.9804	NA	2	6.2906	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_303102	5963	No terminal repeats	NA	10	11	0.9804	NA	1	14.4780	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_438018	7266	No terminal repeats	NA	12	11	0.9804	NA	3	16.8850	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_648514	5306	No terminal repeats	NA	9	11	0.9802	NA	0	8.0895	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
k141_286673	5910	No terminal repeats	NA	9	11	0.9802	NA	4	9.7532	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_526117	7851	No terminal repeats	NA	6	11	0.9802	NA	0	7.4079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_674022	5690	No terminal repeats	NA	7	11	0.9801	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_556051	5281	No terminal repeats	NA	7	11	0.9800	NA	2	8.3328	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_74199	5125	No terminal repeats	NA	12	11	0.9797	NA	1	6.5368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_362076	6912	No terminal repeats	NA	12	11	0.9797	NA	2	4.5267	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_243679	3851	No terminal repeats	NA	5	11	0.9792	NA	2	5.8945	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_449762	7911	No terminal repeats	NA	11	11	0.9791	NA	2	6.4622	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
