File,Median_pI,n_structural
k141_108972.faa,4.200538063049316,1
k141_122778.faa,4.2717573165893565,1
k141_204881.faa,4.163052749633789,2
k141_12444.faa,4.243849372863769,3
k141_111213.faa,5.017115402221679,2
k141_230265.faa,4.358379936218263,1
k141_152896.faa,4.790839385986327,2
k141_159646.faa,4.270165824890136,2
k141_76538.faa,8.011772537231444,2
k141_190318.faa,4.451084327697754,4
k141_231180.faa,4.0500284194946286,1
k141_133883.faa,4.58420124053955,1
k141_57268.faa,5.07034511566162,3
k141_5593.faa,4.0500284194946286,1
k141_224202.faa,5.06125087738037,2
k141_172942.faa,5.21585292816162,2
k141_5632.faa,7.39824504852295,2
k141_66103.faa,4.17916660308838,2
k141_121978.faa,4.59670581817627,1
k141_23376.faa,4.433407402038575,1
k141_93488.faa,4.0500284194946286,2
k141_133984.faa,4.471603202819824,1
k141_114094.faa,4.13861198425293,2
k141_68759.faa,4.607221031188964,1
k141_66348.faa,4.057758522033691,1
k141_152601.faa,4.0500284194946286,1
k141_195570.faa,4.797574806213379,1
k141_51929.faa,4.086519050598144,1
k141_134237.faa,4.7025968551635735,1
k141_144707.faa,4.0500284194946286,1
k141_144061.faa,4.209404945373536,1
k141_229036.faa,4.0500284194946286,1
k141_142161.faa,4.247799682617188,2
k141_195973.faa,4.436220932006836,2
k141_185382.faa,4.441649055480957,3
k141_175717.faa,4.0500284194946286,1
k141_204340.faa,4.648088264465333,1
k141_173993.faa,5.311456108093262,1
k141_123140.faa,4.2705068588256845,1
k141_147822.faa,4.0500284194946286,1
k141_99347.faa,4.355140113830567,1
k141_112214.faa,4.0500284194946286,2
k141_173200.faa,4.563000297546388,1
k141_128204.faa,4.588975715637207,3
k141_112239.faa,5.137017250061034,1
k141_78744.faa,4.179337120056151,1
k141_158509.faa,4.226627159118652,1
k141_117785.faa,4.587384223937988,1
k141_152385.faa,4.051364135742187,2
k141_6998.faa,9.098181343078615,1
k141_224651.faa,4.311601448059083,2
k141_69017.faa,4.206136703491211,2
k141_30189.faa,5.087396812438963,1
k141_161847.faa,4.0500284194946286,1
k141_234143.faa,4.464839363098144,3
k141_99245.faa,7.40080051422119,2
k141_99269.faa,5.04357395172119,4
k141_187719.faa,4.523582458496094,2
k141_173504.faa,6.531979942321778,2
k141_231362.faa,4.308077430725098,1
k141_41589.faa,5.55859203338623,1
k141_89252.faa,4.079698371887207,1
