seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_31355	3682	No terminal repeats	NA	11	11	0.9825	NA	0	14.2668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_76249	7816	No terminal repeats	NA	6	11	0.9811	NA	3	8.6806	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_130859	5529	No terminal repeats	NA	9	11	0.9797	NA	0	10.9905	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_28440	4104	No terminal repeats	NA	8	11	0.9797	NA	0	9.4826	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_49072	3652	No terminal repeats	NA	6	11	0.9796	NA	0	10.2926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_115842	6173	No terminal repeats	NA	11	11	0.9784	NA	0	14.9560	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_72463	5562	No terminal repeats	NA	14	11	0.9776	NA	0	8.1627	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_20252	5136	No terminal repeats	NA	7	11	0.9771	NA	2	6.6517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae
k141_63323	7867	No terminal repeats	NA	9	11	0.9765	NA	2	5.1536	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_24200	7002	No terminal repeats	NA	11	11	0.9760	NA	0	5.9390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_106629	7083	No terminal repeats	NA	12	11	0.9758	NA	1	4.7022	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_28083	5837	No terminal repeats	NA	9	11	0.9725	NA	0	9.0330	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_125473	4833	No terminal repeats	NA	5	11	0.9723	NA	1	4.6545	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_89305	4089	No terminal repeats	NA	5	11	0.9717	NA	1	4.2011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_111190	7945	No terminal repeats	NA	9	11	0.9709	NA	1	6.3282	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_3231	3548	No terminal repeats	NA	7	11	0.9704	NA	0	6.0255	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_80573	6714	No terminal repeats	NA	12	11	0.9694	NA	1	5.2426	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_47246	5654	No terminal repeats	NA	11	11	0.9688	NA	1	4.9804	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_101917	6055	No terminal repeats	NA	6	11	0.9682	NA	1	4.8205	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
