File,Median_pI,n_structural
k141_1117500.faa,9.303061866760252,1
k141_779718.faa,4.558112144470216,1
k141_197317.faa,4.344852256774904,1
k141_1514567.faa,4.9838361740112305,3
k141_615601.faa,10.77016887664795,1
k141_1680157.faa,6.256688499450684,1
k141_1262443.faa,5.671246910095214,3
k141_598774.faa,4.750455284118652,1
k141_1804896.faa,7.322645759582519,2
k141_1674015.faa,5.01293773651123,2
k141_446961.faa,11.281789970397949,1
k141_949003.faa,10.581340980529784,1
k141_708334.faa,7.801722145080567,1
k141_1854657.faa,5.384039497375488,1
k141_1905430.faa,5.56768627166748,6
k141_660895.faa,4.0500284194946286,1
k141_1820101.faa,4.885504722595214,1
k141_1485108.faa,4.418060874938965,1
k141_294711.faa,9.557969856262208,1
k141_496413.faa,4.978749084472655,2
k141_1958521.faa,4.8649290084838865,1
k141_93415.faa,4.612166023254394,1
k141_1667322.faa,11.004124641418457,1
k141_1682386.faa,4.897867202758789,4
k141_236414.faa,5.045335960388183,1
k141_257767.faa,7.279317474365234,2
k141_1716915.faa,4.266926002502442,2
k141_1454220.faa,4.948283386230467,2
k141_1297959.faa,5.042437171936035,2
k141_1957405.faa,8.869769859313966,1
k141_559061.faa,4.8077489852905275,1
k141_214460.faa,5.004184532165527,2
k141_1527386.faa,9.834861564636228,1
k141_255574.faa,6.243359756469728,2
k141_1851114.faa,5.479784774780272,2
k141_385225.faa,5.400949096679686,2
k141_93951.faa,4.639221382141113,1
k141_839532.faa,9.260964012145994,1
k141_1600756.faa,5.066195869445799,1
k141_865715.faa,4.985996055603027,3
k141_422941.faa,4.749091148376464,1
k141_1173939.faa,4.757332801818847,1
k141_145285.faa,6.1011770248413075,1
k141_1369065.faa,5.2346097946166985,4
k141_1940219.faa,5.245750236511229,1
k141_1269515.faa,4.967239189147949,1
k141_604519.faa,4.961612129211424,3
k141_599284.faa,4.767563819885254,2
k141_963548.faa,9.11855335235596,1
k141_865893.faa,4.421073341369629,3
k141_1063484.faa,5.447869682312012,1
k141_138468.faa,5.590904998779296,4
k141_1114630.faa,5.417858695983886,3
k141_865663.faa,10.32984981536865,1
k141_1378785.faa,5.4918062210083,1
k141_1281335.faa,4.104082298278808,1
k141_1550247.faa,4.842420768737792,2
k141_654071.faa,8.888530158996584,1
k141_771540.faa,4.891074943542479,2
k141_1803094.faa,5.423343658447265,4
k141_1366784.faa,5.338966178894043,1
k141_1190055.faa,4.715385627746582,1
k141_1040857.faa,5.519998359680174,1
k141_1058981.faa,5.606336784362793,1
k141_985635.faa,10.903940773010252,2
k141_909169.faa,4.722604179382324,3
k141_360731.faa,5.000660514831543,5
k141_839096.faa,4.6229654312133786,1
k141_268392.faa,5.529319953918456,1
k141_1234405.faa,7.474918556213379,1
k141_721549.faa,4.778533744812012,1
k141_1786050.faa,4.667243003845214,1
k141_186546.faa,5.210225868225096,3
k141_379516.faa,4.406011009216309,1
k141_1194425.faa,11.132803535461427,1
k141_621987.faa,8.160037422180178,1
k141_1289382.faa,4.906194114685058,3
k141_484398.faa,5.998184776306151,1
k141_29428.faa,4.697367668151855,1
k141_1753533.faa,4.836878967285156,4
k141_369498.faa,5.360849189758301,1
k141_393534.faa,5.070117759704589,6
k141_659790.faa,5.359428215026855,2
k141_72404.faa,4.622595977783203,2
k141_1485640.faa,4.556577491760254,1
k141_1598605.faa,5.021975135803221,3
k141_1438666.faa,4.637743568420409,1
k141_1060163.faa,4.4924631118774405,3
k141_717171.faa,5.096036338806152,3
k141_1536676.faa,9.652093696594239,1
k141_584776.faa,4.9328516006469725,2
k141_1872640.faa,4.0500284194946286,1
k141_1374391.faa,6.714015007019043,1
k141_193228.faa,5.010323143005371,1
k141_1575203.faa,5.12985553741455,1
k141_995966.faa,4.932737922668457,2
k141_1776956.faa,5.03970890045166,1
k141_612357.faa,4.716181373596191,3
k141_1933967.faa,5.662323188781738,1
k141_1966782.faa,7.754660415649413,2
k141_956865.faa,5.034025001525879,1
k141_1613704.faa,4.122554969787596,1
k141_103565.faa,8.946358299255373,1
k141_558782.faa,5.259363174438475,2
k141_421269.faa,5.285651206970214,1
k141_1146984.faa,5.079780387878416,1
k141_501152.faa,4.717829704284667,3
k141_1150102.faa,5.016461753845215,2
k141_1672878.faa,6.920652961730957,2
k141_260093.faa,5.177941322326659,5
k141_604709.faa,6.944768333435059,2
k141_1120424.faa,4.7561960220336905,2
k141_1498202.faa,5.656468772888183,3
k141_1272480.faa,5.275931739807128,5
k141_1236765.faa,11.460302925109865,1
k141_146211.faa,5.244727134704589,1
k141_1474916.faa,6.071364974975586,2
k141_1561512.faa,5.7568464279174805,1
k141_693924.faa,4.631889152526855,1
k141_379887.faa,4.761254692077636,1
k141_508772.faa,5.64774398803711,2
k141_1517651.faa,4.0500284194946286,1
k141_803278.faa,9.387773323059083,2
k141_1869713.faa,5.777820014953612,1
k141_1029993.faa,5.351868629455566,5
k141_700817.faa,4.541742515563965,3
k141_1365512.faa,6.740682411193847,2
k141_815778.faa,5.688128089904786,3
k141_454346.faa,5.2011316299438475,1
k141_242596.faa,8.798274421691897,1
k141_547689.faa,7.681641960144044,1
k141_1696554.faa,5.0247602462768555,1
k141_187826.faa,5.2335298538208,1
k141_1116641.faa,4.7052114486694325,1
k141_1756994.faa,4.577437400817872,1
k141_1547160.faa,8.629367256164553,1
k141_634874.faa,4.96252155303955,1
k141_1165320.faa,5.472537803649903,4
k141_1354637.faa,6.816572570800782,2
k141_1129880.faa,5.284542846679687,2
k141_1107406.faa,4.643939018249512,1
k141_408060_provirus_2_9573.faa,5.819937705993653,1
k141_504462.faa,4.535547065734863,1
k141_704431.faa,5.796974754333497,3
k141_148474.faa,5.082480239868163,2
k141_762944.faa,4.8864141464233395,4
k141_1540974.faa,7.889773559570312,2
k141_1263312.faa,4.889057159423827,2
k141_561952.faa,4.610062980651855,1
k141_1706769.faa,5.1351415634155275,1
k141_1679142.faa,6.76892147064209,1
k141_736681.faa,7.593955802917479,2
k141_1540747.faa,7.785153770446778,1
k141_1683978.faa,5.827724647521973,1
k141_302922.faa,6.576066780090333,1
k141_690053.faa,4.505365562438964,2
k141_1405583.faa,5.439400672912597,1
k141_1840456.faa,11.14808254241943,1
k141_1067683.faa,7.76152057647705,2
k141_18134.faa,8.142695426940918,1
k141_1932215.faa,4.944105720520019,3
k141_1619338.faa,4.903067970275878,1
k141_995081.faa,4.335956954956055,2
k141_271338.faa,4.9238710403442365,3
k141_637830.faa,10.817295265197757,1
k141_1613007.faa,5.3037828445434565,1
k141_1477505.faa,10.082871437072754,1
k141_171431.faa,5.454690361022949,1
k141_1480370.faa,7.766559410095215,1
k141_1060067.faa,5.331122398376464,5
k141_215457.faa,4.859074592590332,1
k141_1087171.faa,5.738260078430176,3
k141_637429.faa,4.815706443786621,3
k141_1211181.faa,5.044028663635253,1
k141_625761.faa,5.0922849655151365,3
k141_618392.faa,4.881071281433106,3
k141_1918005.faa,6.561515998840332,1
k141_716432.faa,4.833326530456542,2
k141_1869159.faa,5.202666282653809,1
k141_387686.faa,4.379239845275879,1
k141_1649874.faa,4.634731101989745,2
k141_867349.faa,5.6383371353149405,1
k141_1443661.faa,5.367556190490721,1
k141_1802317.faa,5.7390558242797844,4
k141_1175911.faa,4.855010604858398,2
k141_1053097.faa,5.984429740905762,1
k141_900271.faa,5.028454780578613,1
k141_945077.faa,8.245614814758301,2
k141_1126839.faa,4.89187068939209,1
k141_121628.faa,4.617224693298339,1
k141_1922560.faa,4.181497001647949,1
k141_987684.faa,4.881071281433106,1
k141_1074401.faa,4.0500284194946286,1
k141_970973.faa,5.049712562561035,1
k141_443924.faa,9.724298286437985,1
k141_1296366.faa,5.791745567321777,4
k141_577317.faa,7.224366569519043,6
k141_1690251.faa,8.76146297454834,5
k141_1694751.faa,9.373783683776853,1
k141_1091300.faa,4.741361045837402,1
k141_1233862.faa,6.609603118896484,2
k141_751585.faa,5.241998863220214,2
k141_419237.faa,4.689864921569824,1
k141_872751.faa,4.745254516601562,2
k141_1887903.faa,5.405354118347168,1
k141_1936312.faa,5.3390230178833,3
k141_253367.faa,5.607246208190918,1
k141_962032.faa,4.780977821350096,1
k141_1624486.faa,6.025467491149903,1
k141_560257.faa,4.872801208496094,2
k141_424401.faa,4.98900852203369,1
k141_1242245.faa,5.370511817932129,1
k141_839218.faa,10.32772235870361,1
k141_67122.faa,4.645473670959473,1
k141_813426.faa,5.111098670959473,2
k141_1803193.faa,10.814007377624513,1
k141_1106865.faa,4.0500284194946286,1
k141_1258816.faa,7.5943679809570295,2
k141_1111504.faa,7.164349746704099,2
k141_1036144.faa,6.979674911499024,2
k141_1313195.faa,4.739513778686523,2
k141_397255.faa,5.095467948913574,5
k141_1771257.faa,5.9569196701049805,5
k141_1866656.faa,5.364089012145995,1
k141_1110800.faa,6.706796455383301,1
k141_1137515.faa,5.416380882263183,1
k141_838701.faa,7.555343818664549,2
k141_284837.faa,10.171902275085447,1
k141_510202.faa,4.749375343322753,1
k141_1841160.faa,4.958542823791502,2
k141_516103.faa,4.494992446899413,2
k141_53521.faa,5.985964393615722,2
k141_1304039.faa,4.964823532104491,2
k141_158702.faa,4.602730751037597,1
k141_1270169.faa,4.324731254577638,1
k141_1966640.faa,8.083448982238771,1
k141_1595341.faa,4.316375923156738,1
k141_238648.faa,4.806470108032227,2
k141_1813750.faa,9.143180274963381,1
k141_1216978.faa,4.249646949768067,1
k141_1653792.faa,5.267263793945312,4
k141_330764.faa,4.7028810501098635,4
k141_874044.faa,4.966841316223144,3
k141_798393.faa,5.610088157653809,1
k141_73790.faa,4.586815834045409,3
k141_752883.faa,4.983779335021972,3
k141_1616754.faa,9.17257785797119,2
k141_304615.faa,6.544066429138184,1
k141_966118.faa,4.691911125183105,1
k141_494061.faa,7.344222831726074,2
k141_727213.faa,4.940098571777344,2
k141_43069.faa,4.5414014816284185,1
k141_1196290.faa,5.082792854309082,2
k141_253639.faa,6.943019294738768,1
k141_808945.faa,5.065343284606932,1
k141_130468.faa,5.25848217010498,1
k141_770217.faa,4.622908592224121,1
k141_355260.faa,4.577067947387695,2
k141_1798031.faa,7.853877067565918,1
k141_1040615.faa,8.912318992614747,1
k141_1853215.faa,5.029449462890624,6
k141_1529130.faa,4.3282552719116225,3
k141_1068382.faa,5.769635200500488,1
k141_396756.faa,5.152534294128416,1
k141_342507.faa,4.9861665725707995,3
k141_303567.faa,5.373978996276854,8
k141_381570.faa,4.703506278991698,1
k141_865795.faa,4.874193763732909,3
k141_1784415.faa,6.839799690246582,3
k141_1127697.faa,5.43388729095459,1
k141_1356954.faa,4.0825403213500975,1
k141_818597.faa,6.609006881713866,2
k141_1471168.faa,4.8857320785522464,2
k141_1488240.faa,4.549302101135253,3
k141_527339.faa,4.177972984313963,1
k141_183917.faa,4.604833793640136,2
k141_59821.faa,5.618812942504883,2
k141_1559009.faa,5.187149238586425,2
k141_74964.faa,5.1971529006958,1
k141_169128.faa,7.179668235778808,4
k141_493267.faa,7.711511421203614,4
k141_516537.faa,5.829941368103028,1
k141_327228.faa,8.193303108215332,1
k141_1747933.faa,5.536197471618651,8
k141_522889.faa,11.047834205627442,1
k141_1932778.faa,8.842370796203614,1
k141_106263.faa,5.706543922424316,2
k141_703154.faa,6.966486167907716,2
k141_1067885.faa,5.242283058166502,1
k141_553095.faa,5.351584434509278,1
k141_816815.faa,6.176716041564941,1
k141_1508092.faa,5.166346168518064,3
k141_252107.faa,5.413141059875487,1
k141_1800735.faa,4.897355651855468,6
k141_1067339.faa,5.432494735717773,2
k141_1092171.faa,6.131244850158691,5
k141_998369.faa,5.330866622924804,2
k141_386587.faa,5.028056907653809,1
k141_1312481.faa,4.888801383972167,2
k141_1383398.faa,4.263515663146973,1
k141_556064.faa,5.513177680969237,1
k141_1869811.faa,5.688071250915528,3
k141_1631078.faa,6.619491767883301,1
k141_1568189.faa,5.159241294860839,1
k141_190820.faa,5.727346992492675,2
k141_741952.faa,6.049737739562987,1
k141_1319073.faa,5.241402053833006,4
k141_235203.faa,8.201877403259278,2
k141_1485161.faa,5.048462104797363,2
k141_1935571.faa,8.816325569152834,1
k141_590037.faa,5.657719230651855,1
k141_164355.faa,4.211962699890138,1
k141_553097.faa,5.092938613891601,2
k141_416291.faa,7.80629940032959,1
k141_1261282.faa,4.67542781829834,2
k141_1678243.faa,8.106335258483888,3
k141_1710855.faa,4.554815483093263,1
k141_610842.faa,5.080576133728027,2
k141_1808342.faa,4.965818214416504,4
k141_316752.faa,7.2304399490356435,2
k141_1292492.faa,5.40060806274414,2
k141_591843.faa,4.582098197937013,1
k141_251141.faa,4.356561088562012,1
k141_1113336.faa,9.296679496765137,1
k141_1781584.faa,4.833468627929687,4
k141_224327.faa,6.846417808532715,4
k141_117966.faa,5.595793151855469,2
k141_549353.faa,5.246204948425292,1
k141_83281.faa,6.156793975830078,2
k141_398209.faa,9.738352394104005,1
k141_380446.faa,5.545547485351562,2
k141_1007784.faa,7.007417869567871,1
k141_449179.faa,7.144342994689941,5
k141_176608.faa,5.8026018142700195,2
k141_615876.faa,5.481859397888183,1
k141_352921.faa,7.730750846862793,5
k141_432524.faa,5.437468147277832,2
k141_760594.faa,7.170479202270508,2
k141_135269.faa,9.613863945007324,1
k141_1317932.faa,9.448309135437015,1
k141_897934.faa,5.515280723571777,8
k141_976472.faa,4.99889850616455,3
k141_538182.faa,6.479554176330566,1
k141_692886.faa,5.531621932983398,2
k141_1235833.faa,5.417631340026855,6
k141_137084.faa,4.600627708435058,1
k141_1588119.faa,4.4293718338012695,2
k141_537703.faa,4.6925363540649405,3
k141_1664445.faa,4.6554773330688475,1
k141_1436393.faa,4.99060001373291,1
k141_1475679.faa,4.723257827758788,2
k141_1402383.faa,5.369829750061036,1
k141_684834.faa,4.3217756271362315,3
k141_1966517.faa,5.337204170227051,2
k141_941381.faa,6.804161643981933,1
k141_431589.faa,4.881071281433106,3
k141_512422.faa,5.526534843444824,5
k141_515359.faa,9.296421623229982,1
k141_1430858.faa,5.826246833801269,2
k141_51471.faa,5.030842018127441,1
k141_490233.faa,5.754061317443847,2
k141_600698.faa,4.270279502868653,1
k141_730940.faa,5.356415748596191,1
k141_1937360.faa,5.804022789001464,1
k141_1793965.faa,10.031425666809081,1
k141_307670.faa,11.799600028991701,1
k141_1176998.faa,4.064465522766113,1
k141_52568.faa,6.372507286071777,2
k141_573341.faa,4.399701881408691,1
k141_542188.faa,7.916153526306152,1
k141_115232.faa,4.695889854431153,4
k141_469330.faa,6.94506549835205,1
k141_250503.faa,9.36875514984131,1
k141_1774696.faa,8.208816528320312,2
k141_1624937.faa,5.4918062210083,1
k141_1084886.faa,5.840172386169433,1
k141_1575478.faa,4.614723777770995,1
k141_950716.faa,4.4459119796752935,1
k141_1396751.faa,5.794189643859863,2
k141_1346766.faa,5.553703880310058,1
k141_241793.faa,5.216534996032713,4
k141_1336530.faa,6.642511558532715,1
k141_1497199.faa,5.0413003921508786,1
k141_141957.faa,5.625519943237304,2
k141_1235062.faa,5.65368366241455,1
k141_971967.faa,8.732839012145995,1
k141_697637.faa,4.63461742401123,1
k141_64335.faa,5.781116676330566,1
k141_1208687.faa,6.417486000061035,3
k141_1687802.faa,4.449663352966309,1
k141_332487.faa,6.569643974304199,1
k141_927670.faa,6.29136028289795,1
k141_1644929.faa,5.785663795471191,1
k141_233766.faa,5.298638916015625,2
k141_381329.faa,4.960787963867187,2
k141_1455485.faa,7.668114280700684,1
k141_758697.faa,5.003161430358887,1
k141_739296.faa,4.0500284194946286,1
k141_461045.faa,5.3287351608276365,1
k141_734956.faa,4.606141090393066,1
k141_224970.faa,4.995147132873535,3
k141_514342.faa,4.81599063873291,3
k141_918683.faa,4.739144325256347,1
k141_418544.faa,4.824232292175293,1
k141_998915.faa,6.729077339172363,1
k141_901107.faa,5.379861831665039,2
k141_1504393.faa,10.672821617126463,1
k141_628601.faa,6.550887107849121,1
k141_265333.faa,4.35764102935791,1
k141_866942.faa,4.331608772277833,1
k141_1242758.faa,7.438965034484864,2
k141_1441778.faa,5.2379064559936515,3
k141_704512.faa,5.488225364685058,1
k141_1458598.faa,4.843102836608886,1
k141_465801.faa,5.625207328796387,1
k141_917188.faa,8.667016792297364,1
