contig_id,Median_pI,n_structural
WATLvirus_00000015,4.698902320861816,1
WATLvirus_00000031,4.876467323303221,1
WATLvirus_00000039,4.056650161743164,2
WATLvirus_00000048,4.369634056091309,1
WATLvirus_00000053,4.84736576080322,1
WATLvirus_00000075,4.720842170715332,1
WATLvirus_00000080,4.065545463562012,1
WATLvirus_00000081,4.58266658782959,1
WATLvirus_00002631,7.167788887023925,2
WATLvirus_00002638,5.877572441101074,2
WATLvirus_00002650,4.927963447570799,1
WATLvirus_00003604,5.146566200256346,1
WATLvirus_00003613,5.095524787902831,1
WATLvirus_00004246,5.281644058227538,2
WATLvirus_00004248,5.708192253112792,4
WATLvirus_00004249,4.66164436340332,4
WATLvirus_00004250,4.693559455871582,2
WATLvirus_00004257,4.5834623336792,1
WATLvirus_00004285,6.440665626525878,2
WATLvirus_00006130,4.820196723937988,1
WATLvirus_00006141,4.323253440856934,1
WATLvirus_00006157,5.381595420837402,1
WATLvirus_00007549,4.775634956359863,1
WATLvirus_00007551,4.0500284194946286,1
WATLvirus_00007552,10.615573692321778,1
WATLvirus_00007563,4.0500284194946286,1
WATLvirus_00007566,5.89871654510498,1
WATLvirus_00007569,5.192776298522948,3
WATLvirus_00007572,7.459750366210939,2
WATLvirus_00007601,10.022206687927245,1
WATLvirus_00007602,4.973377799987793,3
WATLvirus_00007614,5.228584861755371,2
WATLvirus_00007622,4.413684272766114,2
WATLvirus_00007624,4.762533569335938,2
WATLvirus_00007634,5.971015739440918,1
WATLvirus_00007662,5.641804313659668,3
WATLvirus_00007670,6.074007987976074,1
WATLvirus_00007694,4.626887321472168,1
WATLvirus_00007695,5.081087684631346,1
WATLvirus_00007703,9.430580329895019,1
WATLvirus_00007745,4.70737133026123,1
WATLvirus_00012494,8.528667640686034,1
WATLvirus_00012545,6.392557144165039,4
WATLvirus_00012554,4.870612907409667,4
WATLvirus_00012556,4.354628562927247,5
WATLvirus_00012557,4.418600845336913,2
WATLvirus_00012558,5.207014465332032,2
WATLvirus_00012561,4.70998592376709,3
WATLvirus_00012563,5.014927101135252,2
WATLvirus_00012568,5.211987876892089,1
WATLvirus_00012569,5.98187198638916,3
WATLvirus_00012584,5.466683387756347,1
WATLvirus_00012590,5.053492355346679,4
WATLvirus_00012591,5.849664497375487,1
WATLvirus_00012596,4.911707496643066,1
WATLvirus_00012599,5.2915056228637685,1
WATLvirus_00012605,4.798256874084472,1
WATLvirus_00012606,6.201952552795409,1
WATLvirus_00012607,4.054234504699706,1
WATLvirus_00012612,7.770367622375488,1
WATLvirus_00012613,5.152306938171385,1
WATLvirus_00012614,5.954361915588379,1
WATLvirus_00012617,5.35306224822998,3
WATLvirus_00012619,5.965900230407714,2
WATLvirus_00012620,8.83727779388428,1
WATLvirus_00012622,5.213749885559081,1
WATLvirus_00012624,9.296872901916505,1
WATLvirus_00012637,6.493707084655762,1
WATLvirus_00012644,4.858392524719237,2
WATLvirus_00012645,4.318478965759279,1
WATLvirus_00012650,4.288581657409668,1
WATLvirus_00012658,4.934386253356932,3
WATLvirus_00012667,5.644703102111817,1
WATLvirus_00012668,4.294265556335449,1
WATLvirus_00012685,9.955481910705569,3
WATLvirus_00012687,5.009896850585937,2
WATLvirus_00016989,4.268233299255371,2
WATLvirus_00016994,4.0500284194946286,1
WATLvirus_00017529,4.31762638092041,2
WATLvirus_00017559,4.332518196105957,2
WATLvirus_00017563,5.3641458511352536,2
WATLvirus_00017583,4.2757360458374025,1
WATLvirus_00017584,4.43249797821045,3
WATLvirus_00017587,4.3813997268676745,1
WATLvirus_00017588,6.309094047546388,3
WATLvirus_00017590,8.147247695922852,2
WATLvirus_00017598,4.0500284194946286,1
WATLvirus_00017609,4.371765518188477,2
WATLvirus_00017618,6.136076164245605,3
WATLvirus_00017633,4.343488121032716,1
WATLvirus_00017648,4.459155464172364,2
WATLvirus_00017650,5.270702552795409,3
WATLvirus_00019938,4.5414014816284185,1
WATLvirus_00019941,5.546883201599121,3
WATLvirus_00019942,4.9962270736694325,2
WATLvirus_00020004,6.391863822937012,2
WATLvirus_00020005,5.404728889465332,2
WATLvirus_00020006,4.351218223571778,1
WATLvirus_00020011,5.03112621307373,1
WATLvirus_00020020,4.838442039489746,1
WATLvirus_00020023,4.2381086349487305,1
WATLvirus_00020024,9.682458305358885,1
WATLvirus_00020027,4.624102210998536,1
WATLvirus_00020031,5.069435691833495,1
WATLvirus_00020032,4.787855339050293,5
WATLvirus_00020033,9.371011543273926,1
WATLvirus_00020039,9.693031120300294,1
WATLvirus_00020042,4.6995843887329105,2
WATLvirus_00020043,9.349350166320802,2
WATLvirus_00020045,4.0500284194946286,1
WATLvirus_00020046,5.083702278137205,1
WATLvirus_00020059,5.4112653732299805,1
WATLvirus_00020062,4.855806350708007,2
WATLvirus_00020063,5.112747001647949,1
WATLvirus_00020066,7.012078666687012,1
WATLvirus_00020068,4.681594848632812,2
WATLvirus_00020077,4.373953819274903,3
WATLvirus_00020079,6.317567253112792,2
WATLvirus_00020082,5.585192680358887,1
WATLvirus_00020090,5.896897697448731,1
WATLvirus_00020092,5.049712562561035,1
WATLvirus_00020096,5.221934700012206,3
WATLvirus_00020100,5.905309867858887,3
WATLvirus_00020102,5.200108528137206,1
WATLvirus_00020116,8.495917701721194,1
WATLvirus_00020131,5.474072456359862,1
WATLvirus_00020135,9.337036705017091,1
WATLvirus_00020147,4.777851676940918,1
WATLvirus_00020148,5.592354393005371,1
WATLvirus_00020152,4.437727165222169,2
WATLvirus_00020153,7.029983711242677,2
WATLvirus_00020157,4.385037422180175,1
WATLvirus_00020172,5.6616411209106445,1
WATLvirus_00020178,6.156879234313963,1
WATLvirus_00020186,5.216705513000488,1
WATLvirus_00020196,4.512470436096192,2
WATLvirus_00020200,4.233277320861816,1
WATLvirus_00020201,4.406011009216309,1
WATLvirus_00020225,4.871437072753906,2
WATLvirus_00020234,5.0942174911499025,1
WATLvirus_00020237,9.284881782531738,1
WATLvirus_00020238,5.08017826080322,1
WATLvirus_00020243,5.253451919555664,2
WATLvirus_00020245,4.854754829406737,1
WATLvirus_00023771,5.345701599121092,4
WATLvirus_00023774,5.749144744873046,4
WATLvirus_00023782,9.686842155456542,1
WATLvirus_00023786,5.298781013488769,1
WATLvirus_00023804,5.009129524230956,1
WATLvirus_00024522,5.494079780578613,5
WATLvirus_00024525,5.152733230590821,2
WATLvirus_00024548,5.83636417388916,3
WATLvirus_00024641,5.942766761779786,3
WATLvirus_00024642,4.611540794372559,7
WATLvirus_00024644,4.5685989379882805,2
WATLvirus_00024645,5.1953340530395495,1
WATLvirus_00024647,7.448155212402343,2
WATLvirus_00024649,4.801724052429199,2
WATLvirus_00024653,5.630265998840332,1
WATLvirus_00024654,5.355875778198243,6
WATLvirus_00024656,5.099901390075683,2
WATLvirus_00024657,5.2791147232055655,1
WATLvirus_00024658,5.569391441345213,1
WATLvirus_00024659,5.155944633483886,1
WATLvirus_00024660,4.984290885925293,3
WATLvirus_00024661,4.76560287475586,4
WATLvirus_00024664,6.305570030212404,1
WATLvirus_00024665,5.469070625305175,3
WATLvirus_00024668,4.984916114807128,1
WATLvirus_00024671,5.264904975891112,1
WATLvirus_00024677,4.255842399597168,1
WATLvirus_00024684,5.783276557922362,1
WATLvirus_00024688,4.570872497558593,2
WATLvirus_00024689,5.122636985778808,1
WATLvirus_00024690,5.582123374938964,1
WATLvirus_00024691,5.0896703720092775,1
WATLvirus_00024695,4.9545072555542,2
WATLvirus_00024699,5.748547935485839,1
WATLvirus_00024703,4.427837181091309,2
WATLvirus_00024704,5.153273200988767,1
WATLvirus_00024712,5.031410408020019,1
WATLvirus_00024713,7.044085121154785,2
WATLvirus_00024714,6.208306884765625,2
WATLvirus_00024715,4.419737625122071,4
WATLvirus_00024717,5.389410781860351,2
WATLvirus_00024723,5.252286720275878,1
WATLvirus_00024724,7.76906032562256,1
WATLvirus_00024725,4.832417106628417,5
WATLvirus_00024734,5.657662391662597,2
WATLvirus_00024736,4.084074974060059,1
WATLvirus_00024737,8.752179527282713,4
