File,Median_pI,n_structural
k141_2239473.faa,5.191014289855955,1
k141_340385.faa,4.481720542907715,1
k141_826188.faa,4.945924568176269,2
k141_238799.faa,5.980081558227539,6
k141_1488564.faa,5.095013236999511,3
k141_1488216.faa,5.414789390563963,3
k141_1888728.faa,6.18558292388916,1
k141_1990629.faa,5.45281467437744,3
k141_2261552.faa,7.738992500305176,1
k141_2257779.faa,4.550041007995605,3
k141_2165773.faa,4.550552558898925,1
k141_953885.faa,5.105386352539062,2
k141_2268947.faa,4.351957130432129,1
k141_1973015.faa,5.221082115173339,1
k141_109107.faa,5.832953834533691,1
k141_747998.faa,5.131390190124511,1
k141_1378787.faa,6.924035072326659,1
k141_678215.faa,6.306252098083497,1
k141_7586.faa,4.283181953430176,1
k141_684521.faa,10.687262535095215,1
k141_2226195.faa,5.726210212707521,1
k141_1299784.faa,5.435194587707519,4
k141_789603.faa,4.3251859664916985,2
k141_2082089.faa,5.867313003540039,2
k141_2149461.faa,6.936482810974121,1
k141_1533456.faa,5.089528274536133,2
k141_2079788.faa,5.5560911178588865,1
k141_759393.faa,4.838896751403809,2
k141_506149.faa,5.179134941101074,3
k141_876794.faa,4.967409706115722,2
k141_1066305.faa,6.38201847076416,1
k141_1132032.faa,7.530868339538574,2
k141_199463.faa,7.489105606079099,2
k141_655965.faa,4.992930412292479,1
k141_460972.faa,6.287751007080077,2
k141_1095662.faa,4.749943733215332,1
k141_1975659.faa,5.661300086975097,2
k141_1070611.faa,4.952006340026855,3
k141_711074.faa,5.662721061706543,1
k141_1846734.faa,5.034422874450684,1
k141_1004345.faa,5.697108650207519,4
k141_521325.faa,4.687761878967284,1
k141_264350.faa,4.730732154846191,5
k141_798452.faa,5.12468318939209,1
k141_1449717.faa,5.095467948913574,1
k141_884339.faa,4.458615493774414,2
k141_1472958.faa,9.510907936096192,1
k141_2222870.faa,5.914517784118652,1
k141_2151198.faa,5.5792245864868155,1
k141_962864.faa,5.114622688293457,1
k141_2119876.faa,5.523010826110839,5
k141_786137.faa,5.933956718444825,1
k141_858508.faa,5.342973327636718,2
k141_974948.faa,5.386767768859863,1
k141_883318.faa,5.759574699401856,2
k141_668763.faa,4.956240844726562,2
k141_1992216.faa,5.483166694641113,2
k141_1497526.faa,4.3927106857299805,1
k141_2002067.faa,6.845028877258301,1
k141_2378767.faa,4.793368721008301,3
k141_1093560.faa,4.417719841003419,1
k141_1973598.faa,5.222048377990723,2
k141_1940152.faa,4.6460136413574205,2
k141_1265528.faa,4.832303428649902,1
k141_511032.faa,5.13065128326416,1
k141_528076.faa,5.212158393859862,4
k141_1951856.faa,4.714248847961425,1
k141_687413.faa,4.717318153381346,1
k141_28493.faa,6.062753868103027,2
k141_594414.faa,9.712113761901854,1
k141_1113980.faa,5.9184965133667,2
k141_345572.faa,4.213383674621583,1
k141_1323623.faa,6.390373802185059,1
k141_728237.faa,5.965502357482911,1
k141_1417915.faa,4.944446754455566,1
k141_2061842.faa,5.443038368225097,1
k141_733818.faa,5.269224739074706,1
k141_883240.faa,7.510520935058594,4
k141_2121533.faa,4.960759544372558,1
k141_181956.faa,6.212581443786621,1
k141_1478652.faa,4.557060623168946,2
k141_426739.faa,5.204087257385253,1
k141_726795.faa,5.560183525085448,1
k141_266634.faa,4.278464317321778,1
k141_1949833.faa,5.958965873718263,3
k141_1997183.faa,7.412435722351075,2
k141_284921.faa,5.2560949325561515,3
k141_260325.faa,5.771624565124512,1
k141_2278788.faa,4.8168432235717775,1
k141_1517875.faa,5.323960685729981,1
k141_2325666.faa,4.762050437927246,3
k141_1894105.faa,5.849664497375487,1
k141_194750.faa,4.0500284194946286,1
k141_950144.faa,6.067642021179199,2
k141_341856.faa,7.841563606262207,1
k141_952034.faa,4.331892967224122,1
k141_916851.faa,4.687591361999511,1
k141_2230097.faa,6.114136314392089,1
k141_2072546.faa,4.812409782409667,1
k141_1234789.faa,5.633619499206542,2
k141_2317400.faa,5.30656795501709,1
k141_1909225.faa,6.286585807800294,3
k141_548624.faa,6.049453544616699,1
k141_873398.faa,5.076824760437012,2
k141_684335.faa,5.41825656890869,1
k141_1068884.faa,9.374686241149902,1
k141_498015.faa,4.947572898864746,1
k141_470595.faa,5.462022590637207,1
k141_435977.faa,5.953964042663575,1
k141_492935.faa,4.765744972229003,2
k141_328980.faa,4.591988182067872,1
k141_387839.faa,5.659822273254394,1
k141_2256925.faa,5.048064231872559,1
k141_307020.faa,4.5414014816284185,1
k141_1061487.faa,5.375343132019044,1
k141_1398703.faa,4.765233421325683,1
k141_1296712.faa,4.877945137023925,1
k141_2073921.faa,5.995399665832519,1
k141_2058232.faa,5.725016593933106,1
k141_1007514.faa,4.440341758728027,1
k141_648932.faa,4.468249702453612,1
k141_214289.faa,4.0500284194946286,1
k141_1948521.faa,5.18834285736084,2
k141_2154554.faa,11.786835289001466,1
k141_1160404.faa,4.7395421981811525,3
k141_74089.faa,4.728742790222167,1
k141_713103.faa,8.240687370300293,1
k141_1911483.faa,4.793084526062012,3
k141_1811497.faa,4.926087760925292,1
k141_465039.faa,5.573739624023438,2
k141_1099937.faa,9.513099861145019,1
k141_1064886.faa,4.594716453552246,1
k141_348125.faa,6.938010025024415,2
k141_1198624.faa,4.0500284194946286,1
k141_1738805.faa,6.114420509338378,1
k141_116022.faa,5.145486259460449,1
k141_983445.faa,6.727940559387207,1
k141_2181816.faa,6.550176620483398,4
k141_1221190.faa,5.629186058044433,1
k141_417849.faa,6.041893959045409,1
k141_2272099.faa,4.909320259094237,1
k141_2357225.faa,5.370398139953613,1
k141_1819545.faa,9.771166801452637,1
k141_656462.faa,9.182957267761232,1
k141_313450.faa,4.1575109481811525,1
k141_245164.faa,4.951665306091308,1
k141_1075154.faa,6.016032218933105,1
k141_1355980.faa,4.920972251892089,1
k141_1932893.faa,4.6213171005249025,3
k141_488946.faa,4.946720314025878,3
k141_1719955.faa,5.711034202575684,1
k141_1408837.faa,5.044483375549316,4
k141_395557.faa,9.218866157531735,1
k141_1110257.faa,5.095467948913574,1
k141_1837973.faa,5.708703804016113,1
k141_246026.faa,5.409901237487793,1
k141_1460508.faa,4.538616371154785,2
k141_56845.faa,4.0500284194946286,2
k141_2408469.faa,4.967807579040527,5
k141_438589.faa,6.286528968811036,1
k141_2044133.faa,4.97241153717041,3
k141_1806984.faa,5.573370170593261,1
k141_1758205.faa,5.130367088317871,5
k141_521755.faa,4.960589027404785,2
k141_271305.faa,7.8551664352417,1
k141_2207850.faa,7.088129234313963,1
k141_1356183.faa,4.853475952148438,2
k141_2463.faa,5.942084693908691,1
k141_1420272.faa,5.033257675170898,2
k141_2139709.faa,9.59961643218994,1
k141_327779.faa,5.64356632232666,1
k141_1877760.faa,6.297254753112793,2
k141_1021358.faa,5.056760597229004,1
k141_2131816.faa,8.39012508392334,1
k141_1949498.faa,5.7353612899780275,1
k141_898002.faa,6.850502204895021,2
k141_2396379.faa,5.239668464660644,1
k141_2127734.faa,4.498601722717285,2
k141_2163604.faa,4.572776603698731,1
k141_1670198.faa,5.679204368591309,5
k141_1840456.faa,9.520965003967284,1
k141_543264.faa,4.579199409484863,1
k141_1586311.faa,4.9716157913208,1
