seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_89233	5964	No terminal repeats	NA	10	11	0.9804	NA	5	12.0146	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_112862	5497	No terminal repeats	NA	6	11	0.9794	NA	3	6.2212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_304273	34837	DTR	NA	54	11	0.9744	NA	5	44.8013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_49987	5159	No terminal repeats	NA	5	11	0.9741	NA	3	5.9955	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_75477	4503	No terminal repeats	NA	8	11	0.9723	NA	0	5.7267	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_76355	5285	No terminal repeats	NA	6	11	0.9714	NA	0	4.2626	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_153470	3646	No terminal repeats	NA	8	11	0.9666	NA	4	9.3723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_277322	5603	No terminal repeats	NA	5	11	0.9662	NA	0	3.1109	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_289008	4701	No terminal repeats	NA	8	11	0.9638	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_85011	5190	No terminal repeats	NA	10	11	0.9625	NA	0	2.8303	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_213600	9546	No terminal repeats	NA	13	11	0.9611	NA	4	11.9741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_241860	6608	No terminal repeats	NA	6	11	0.9608	NA	0	3.1706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_261524	7688	No terminal repeats	NA	12	11	0.9577	NA	1	7.5546	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_39604	8019	No terminal repeats	NA	15	11	0.9566	NA	0	3.5471	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_214708	9841	No terminal repeats	NA	12	11	0.9531	NA	1	5.8695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_213308	7527	No terminal repeats	NA	10	11	0.9505	NA	1	5.8886	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_10074	4978	No terminal repeats	NA	5	11	0.9501	NA	0	4.7102	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_142221	6555	No terminal repeats	NA	8	11	0.9455	NA	0	6.1121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_45252	3901	No terminal repeats	NA	8	11	0.9443	NA	1	1.7157	Unclassified
k141_171484	7760	No terminal repeats	NA	13	11	0.9295	NA	0	3.7571	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_33923	4306	No terminal repeats	NA	10	11	0.9292	NA	0	3.5264	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_59028	4950	No terminal repeats	NA	11	11	0.9282	NA	0	5.1879	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_256697	9724	No terminal repeats	NA	14	11	0.9261	NA	0	5.9321	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_103314	5525	No terminal repeats	NA	10	11	0.9182	NA	1	2.0534	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_299093	4923	No terminal repeats	NA	8	11	0.9144	NA	1	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_5612	5092	No terminal repeats	NA	12	11	0.9076	NA	0	1.3438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_17982	4284	No terminal repeats	NA	10	11	0.9070	NA	0	3.4294	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_48236	5244	No terminal repeats	NA	10	11	0.8985	NA	0	1.6931	Viruses;Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae
k141_81650	38299	No terminal repeats	NA	80	11	0.8841	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_297793	5096	No terminal repeats	NA	7	11	0.8638	NA	0	1.3301	Unclassified
k141_117711	4578	No terminal repeats	NA	14	11	0.8447	NA	0	0.0000	Unclassified
k141_283856	5300	No terminal repeats	NA	8	11	0.8432	NA	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_179366	6717	No terminal repeats	NA	9	11	0.8376	NA	4	6.9076	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
