seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_348873	6233	No terminal repeats	NA	11	15	0.9831	NA	2	17.9458	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_507706	5197	No terminal repeats	NA	8	11	0.9822	NA	2	9.9848	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_781743	6544	No terminal repeats	NA	10	11	0.9821	NA	2	17.0894	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_993597	3856	No terminal repeats	NA	7	11	0.9817	NA	0	8.1326	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1125422	7962	No terminal repeats	NA	5	11	0.9816	NA	1	6.6400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_406614	3839	No terminal repeats	NA	7	11	0.9809	NA	3	10.3031	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_572195	7844	No terminal repeats	NA	10	11	0.9807	NA	6	11.6157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_840093	3614	No terminal repeats	NA	5	11	0.9805	NA	4	8.5901	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1156203	5144	No terminal repeats	NA	5	11	0.9804	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_640565	4872	No terminal repeats	NA	7	11	0.9802	NA	1	11.6879	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_140401	7322	No terminal repeats	NA	10	11	0.9801	NA	0	8.5914	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
k141_928228	4231	No terminal repeats	NA	5	11	0.9801	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_979045	3999	No terminal repeats	NA	9	11	0.9801	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_1066387	8081	No terminal repeats	NA	9	11	0.9801	NA	2	15.3711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_414085	3992	No terminal repeats	NA	6	11	0.9801	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_523299	4162	No terminal repeats	NA	5	11	0.9800	NA	1	8.2943	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_1184255	4069	No terminal repeats	NA	7	11	0.9798	NA	2	9.9419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_228482	3508	No terminal repeats	NA	5	11	0.9797	NA	0	6.2987	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_492355	7076	No terminal repeats	NA	5	11	0.9797	NA	0	6.8459	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_122886	4261	No terminal repeats	NA	11	11	0.9793	NA	1	18.1583	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_575997	4873	No terminal repeats	NA	8	11	0.9792	NA	0	5.6262	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
k141_1125593	9252	No terminal repeats	NA	12	11	0.9792	NA	0	11.2532	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
k141_694345	3877	No terminal repeats	NA	5	11	0.9792	NA	2	6.8619	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_849829	6825	No terminal repeats	NA	8	11	0.9792	NA	1	11.6088	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_166289	7978	No terminal repeats	NA	14	11	0.9789	NA	0	13.3811	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_321898	9867	No terminal repeats	NA	9	11	0.9789	NA	0	5.1548	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
k141_976285	8717	No terminal repeats	NA	9	11	0.9787	NA	1	8.5914	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
k141_916503	5335	No terminal repeats	NA	6	11	0.9785	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
