contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_20325|provirus_39362_78183	38822	30723	70059.2035206559	43.85291076131316	low	10.277080385265	14	CheckV-042113	38.99	21.45	29.52227951101466	79.23560745121476	4	1.0
k141_25273|provirus_11012_37104	26093	NA	48733.90887517343	53.541775331082846	medium	8.41034336583298	18	CheckV-009854	45.3	39.33	30.877042039556542	71.87565108254633	6	1.0
k141_2821	1163	NA	38490.03930744034	3.0215609568764084	low	19.9779518633113	4	CheckV-054569	30.6	90.91	NA	NA	0	1.0
k141_18819	1047	NA	68176.16918160452	1.5357272380779416	low	13.92	209	CheckV-003214	33.6	100.0	NA	NA	0	1.0
k141_23533	3054	NA	69437.0	4.398231490415773	low	18.8068221050936	1	CheckV-017871	39.7	24.02	NA	NA	0	1.04
k141_17893	21528	NA	73365.56423937918	29.34346682015264	low	18.5642512859947	40	CheckV-009059	37.54	11.39	19.57	64.11	1	1.0
k141_1428	4021	NA	47994.954990376886	8.377963893926395	low	15.8221246969266	59	CheckV-032536	53.0	13.01	6.92	13.69	1	1.0
k141_1451	3200	NA	133379.55674908796	2.399168266858018	low	14.8448260270765	2	CheckV-001167	42.2	29.04	NA	NA	0	1.0
k141_13228	4131	2715	53014.367218826264	5.1212532421510435	medium	7.1940049958368	7	CheckV-010399	66.4	30.82	3.59	8.99	1	1.0
k141_12777	1790	NA	40535.395013349844	4.415893811841442	low	12.1929432782492	20	CheckV-001167	40.2	34.45	0.39000000000000007	5.999999999999999	1	1.0
k141_17446	18224	NA	79916.17500565996	22.803894203782036	medium	9.11203640941222	10	CheckV-001838	36.8	23.26	NA	NA	0	1.02
k141_27820	2842	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_23619	3669	NA	61627.272157965366	5.9535330244627405	high	4.4433398762223	2	CheckV-018831	50.28	88.49	NA	NA	0	1.0
k141_4396	1220	NA	71446.21034319571	1.7075783224045957	high	3.42744338112238	11	CheckV-021690	70.4	49.38	NA	NA	0	1.0
k141_7681	2422	NA	42831.06073783071	5.654774731882273	high	4.45453017313834	80	CheckV-021018	61.44	100.0	4.373846153846154	6.280940170940171	2	1.0
k141_27292	1005	NA	NA	NA	NA	NA	0	NA	NA	NA	0.41	2.58	1	1.0
k141_2968	2632	NA	87896.1737432976	2.994442064892159	medium	8.47685945009496	4	CheckV-021690	41.42	100.0	3.664258064516129	6.502048387096774	2	1.0
k141_17019	108078	NA	1008209.2158306565	10.719798857517414	medium	9.62499348009988	25	CheckV-049879	32.11	12.61	26.133118149560715	46.773972900401226	19	1.0
k141_230	2077	NA	48070.942230487475	4.32069750170765	low	18.8068221050936	29	CheckV-021690	38.7	24.27	1.13	6.14	1	1.0
k141_21759	2923	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_18334	1808	NA	72516.88227059424	2.4932125367076736	high	4.72049567240535	7	CheckV-013549	56.09	92.62	1.3872138228941684	4.312159827213823	2	1.0
k141_592	6428	NA	70043.87789349873	9.177104685399819	low	11.9081075052972	75	CheckV-007670	54.9	17.83	6.250950226244344	17.354886877828054	2	1.01
k141_8127	3811	NA	NA	NA	NA	NA	0	NA	NA	NA	5.57	12.15	1	1.0
k141_12339	1063	NA	51614.168029608096	2.05951203047624	medium	7.04111901661928	22	CheckV-013549	51.0	59.94	1.58	3.0900000000000003	1	1.0
k141_289	2588	NA	45959.03878202287	5.631101234023872	medium	8.76990056085545	2	CheckV-009915	50.2	81.8	NA	NA	0	1.0
k141_18968	3478	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_27345	3035	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_25921	4934	NA	668031.0	0.7385884786783847	low	10.738170664253	1	CheckV-050294	29.8	53.79	0.24	2.81	1	1.01
k141_3493	2530	NA	20066.0	12.608392305392206	low	15.7078342823483	1	CheckV-001477	33.1	15.23	0.55	8.48	1	1.0
k141_7262	1280	NA	40572.25899988289	3.154865002719456	medium	7.76410691557064	16	CheckV-022386	48.2	56.63	NA	NA	0	1.0
k141_10463	1571	NA	56433.81947188791	2.783791731095894	high	4.50195005338972	4	CheckV-014277	55.0	100.0	NA	NA	0	1.0
k141_10912	1376	NA	43587.61344486541	3.156860151888155	low	10.6764514907398	60	CheckV-031122	43.9	100.0	NA	NA	0	1.0
k141_16567	75563	NA	317906.6596698864	23.76892641332662	low	32.0045732680983	161	CheckV-000616	52.72	5.58	11.066544991002507	35.02113619121123	12	1.01
k141_23168	1282	NA	58475.892857142855	2.1923564350388594	low	11.2165417334718	3	CheckV-001339	39.6	58.96	NA	NA	0	1.0
k141_21329	51734	NA	343902.45291044295	15.04321925074267	low	33.4305729197674	36	CheckV-001180	31.15	6.07	18.1251649970291	60.442776136805485	12	1.0
k141_5874	170280	NA	385211.2933353532	44.20431148983979	low	32.8837114381832	12	CheckV-001528	27.39	5.92	25.54488766387712	59.03259759760393	8	1.01
