File,Median_pI,n_structural
k141_301454.faa,8.206383514404298,2
k141_575617.faa,5.624923133850097,1
k141_22355.faa,5.10882511138916,6
k141_454342.faa,4.795244407653808,2
k141_41194.faa,5.072277641296386,3
k141_187448.faa,4.9153451919555655,2
k141_293485.faa,5.0657979965209945,1
k141_95299.faa,6.617851257324219,2
k141_47485.faa,10.577537345886228,1
k141_447538.faa,4.0500284194946286,1
k141_374356.faa,4.9543367385864245,3
k141_115076.faa,7.651241683959961,2
k141_157537.faa,7.823532676696777,2
k141_798653.faa,6.317676734924316,2
k141_1963010.faa,5.216478157043456,2
k141_492649.faa,4.309157371520996,2
k141_171080.faa,6.1933698654174805,1
k141_1857809.faa,5.289573097229003,1
k141_121853.faa,4.330415153503419,1
k141_477607.faa,4.675228881835937,2
k141_117304.faa,7.11120834350586,2
k141_484980.faa,4.636777305603028,2
k141_342801.faa,6.261406135559082,1
k141_299977.faa,5.7637239456176745,1
k141_1019841.faa,6.165007209777832,3
k141_158611.faa,5.191781616210936,4
k141_335486.faa,4.944759368896484,4
k141_217141.faa,6.549011421203613,1
k141_128321.faa,5.099333000183105,3
k141_851665.faa,4.676934051513671,2
k141_192078.faa,5.063979148864745,1
k141_395036.faa,5.690231132507324,3
k141_1177785.faa,5.184477806091308,3
k141_324602.faa,5.428771781921386,1
k141_7627.faa,4.924894142150878,1
k141_730331.faa,7.026486587524414,2
k141_64671.faa,4.311544609069825,1
k141_1733605.faa,5.142388534545898,2
k141_426264.faa,6.929775810241699,1
k141_741092.faa,4.699641227722167,1
k141_1557105.faa,4.967352867126464,1
k141_114551.faa,4.674575233459472,3
k141_409668.faa,9.23807773590088,1
k141_660666.faa,4.735733985900879,4
k141_88591.faa,4.692422676086425,3
k141_202770.faa,5.332969665527344,2
k141_124055.faa,4.829120445251464,4
k141_611505.faa,4.188715553283691,1
k141_374618.faa,5.39279270172119,8
k141_209195.faa,5.8854162216186525,5
k141_458618.faa,4.126988410949706,1
k141_495130.faa,9.299773979187012,1
k141_212562.faa,4.312624549865722,2
k141_490048.faa,4.440171241760253,1
k141_1218266.faa,5.132924842834471,1
k141_423043.faa,6.985705375671387,1
k141_558397.faa,5.443805694580077,2
k141_202567.faa,4.8872951507568345,2
k141_987552.faa,4.197923469543457,1
k141_716652.faa,4.221852684020996,1
k141_656276.faa,7.860388374328614,5
k141_1105338.faa,4.868850898742675,2
k141_1783689.faa,4.733261489868164,2
k141_1194804.faa,9.014243507385256,1
k141_326957.faa,4.608187294006347,2
k141_178139.faa,5.999378395080566,1
k141_1389184.faa,4.54887580871582,2
k141_332067.faa,5.029762077331543,1
k141_155722.faa,4.726241874694825,4
k141_719559.faa,5.139518165588378,2
k141_1289433.faa,6.13155746459961,4
k141_347771.faa,7.383756065368652,4
k141_297550.faa,4.750313186645508,2
k141_137986.faa,7.0796062469482415,2
k141_727058.faa,4.947885513305664,2
k141_753040.faa,4.994010353088379,4
k141_58992.faa,5.078359413146971,11
k141_86751.faa,4.534353446960449,1
k141_1978635.faa,4.0500284194946286,1
k141_241659.faa,4.283125114440918,1
k141_539591.faa,8.312569618225101,1
k141_1429742.faa,5.468672752380371,1
k141_100695.faa,4.72555980682373,1
k141_1913057.faa,5.791916084289551,1
k141_1958917.faa,4.526452827453612,1
k141_221436.faa,4.64632625579834,1
k141_1026453.faa,4.900368118286133,2
k141_202576.faa,4.690319633483886,3
k141_70206.faa,5.337090492248534,1
k141_541006.faa,4.615434265136718,2
k141_629316.faa,5.412373733520507,6
k141_7423.faa,4.867884635925292,1
k141_44216.faa,4.403566932678221,1
k141_850757.faa,4.728344917297362,1
k141_294689.faa,5.274624443054199,9
k141_318114.faa,5.859156608581542,1
k141_974634.faa,4.300915718078613,1
k141_1238006.faa,4.4997953414917,1
k141_642589.faa,9.065624809265138,1
k141_22350.faa,8.316824531555177,1
k141_310951.faa,5.63549518585205,5
k141_1485864.faa,7.085762023925781,2
k141_249763.faa,6.619321250915529,1
k141_1728800.faa,5.174616241455077,2
k141_1379660.faa,4.74323673248291,1
k141_439752.faa,5.440025901794433,3
k141_183763.faa,4.235437202453612,1
k141_81941.faa,6.987637901306152,1
k141_1130757.faa,6.2963052749633786,1
k141_1600380.faa,5.436501884460449,2
k141_50300.faa,7.139709854125977,2
k141_617628.faa,4.810875129699706,2
k141_105063.faa,5.3096940994262685,1
k141_1130742.faa,4.0500284194946286,1
k141_314698.faa,5.106437873840331,5
k141_171047.faa,10.919671058654785,1
k141_9753.faa,4.8318487167358395,2
k141_482304.faa,7.325769042968749,2
k141_345414.faa,7.768832969665529,3
k141_134094.faa,4.779556846618653,1
k141_1182494.faa,4.783706092834472,1
k141_43778.faa,7.165793991088867,2
k141_102334.faa,4.999466896057128,3
k141_368814.faa,4.979885864257811,2
k141_1204098.faa,4.768899536132812,2
k141_118634.faa,4.562716102600098,3
k141_673219.faa,8.784284782409667,1
k141_294174.faa,4.91497573852539,2
k141_1658013.faa,4.427268791198731,1
k141_1991805.faa,4.440114402770996,1
k141_854233.faa,5.096661567687987,2
k141_35104.faa,10.307801628112788,1
k141_131982.faa,4.713850975036621,1
k141_366876.faa,6.317676734924316,2
k141_814415.faa,7.728590965270995,1
k141_1543925.faa,4.725616645812988,1
k141_467106.faa,5.495046043395996,5
k141_299915.faa,8.62549915313721,1
k141_347270.faa,8.661227226257324,2
k141_244786.faa,4.571639823913575,1
k141_328112.faa,4.887295150756836,4
k141_202088.faa,5.079155158996581,2
k141_1429041.faa,4.185589408874511,1
k141_937622.faa,5.0388847351074215,4
k141_81517.faa,5.111041831970214,2
k141_12357.faa,9.936270332336427,1
k141_1476035.faa,4.638823509216309,2
k141_1198469.faa,4.911309623718262,1
k141_3032.faa,4.403566932678221,1
k141_55961.faa,5.857792472839353,2
k141_100223.faa,5.730927848815918,1
k141_665179.faa,5.26658172607422,2
k141_524189.faa,4.621459197998047,2
k141_1508886.faa,5.375627326965331,2
k141_267016.faa,6.452783012390136,3
k141_425056.faa,4.947885513305663,2
k141_360976.faa,7.346302986145018,2
k141_381208.faa,4.984859275817871,1
k141_7861.faa,4.710497474670409,1
k141_1248779.faa,7.779521369934082,2
k141_354623.faa,5.262176704406738,1
k141_383621.faa,6.390885353088379,3
k141_560939.faa,5.69503402709961,2
k141_23956.faa,4.749943733215332,1
k141_464578.faa,4.093567085266113,1
k141_1762603.faa,4.949732780456542,3
k141_1845706.faa,4.8790534973144535,2
k141_1168940.faa,7.145269393920898,2
k141_259071.faa,7.970693778991699,1
k141_23375.faa,7.837953376770019,1
k141_183510.faa,4.862484931945801,2
k141_487595.faa,4.742099952697754,3
k141_1241614.faa,4.439602851867675,1
k141_516272.faa,4.264595603942872,1
k141_791399.faa,4.167741966247559,1
k141_1727564.faa,4.765688133239746,1
