metagenome_origin	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1447832_length_67_cov_8.000000	67	No terminal repeats	1	11	0.8422	NA	1	1.314	T_virB3	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1402175_length_67_cov_54.916667	67	No terminal repeats	1	11	0.9547	NA	1	1.6999	T_virB2	NA
220816_LF_B7_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1611573_length_69_cov_2.571429	69	No terminal repeats	1	11	0.7869	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1441889_length_72_cov_19.588235	72	No terminal repeats	1	11	0.7761	NA	1	1.314	T_virB3	NA
220808_BK_F11_DNA_sed_contigs_plasmid_summary.tsv	NODE_3055182_length_73_cov_2.666667	73	No terminal repeats	1	11	0.8364	NA	1	1.314	T_virB3	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1074049_length_73_cov_25.111111	73	No terminal repeats	1	11	0.9482	NA	1	1.6999	T_virB2	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1395463_length_73_cov_39.666667	73	No terminal repeats	1	11	0.9544	NA	1	1.6999	T_virB2	NA
220812_MW_F11_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1073275_length_75_cov_6.000000	75	No terminal repeats	1	11	0.7819	NA	1	1.314	T_virB3	NA
220811_MW_F14_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_842085_length_75_cov_19.400000	75	No terminal repeats	1	11	0.9209	NA	1	1.154	NA	NA
220808_BK_F13_DNA_mat_green_contigs_plasmid_summary.tsv	NODE_2557136_length_75_cov_4.000000	75	No terminal repeats	1	11	0.9279	NA	1	1.5057	F_traL	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1393322_length_75_cov_35.350000	75	No terminal repeats	1	11	0.9525	NA	1	1.6999	T_virB2	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1393830_length_75_cov_7.700000	75	No terminal repeats	1	11	0.953	NA	1	1.6999	T_virB2	NA
220809_MW_S9_DNA_sed_contigs_plasmid_summary.tsv	NODE_1584566_length_77_cov_56.636364	77	No terminal repeats	1	11	0.7025	NA	1	0.9934	NA	NA
220812_MW_F9_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_747181_length_77_cov_6.000000	77	No terminal repeats	1	11	0.7203	NA	1	0.9934	NA	NA
220811_MW_F13_DNA_sed_A_contigs_plasmid_summary.tsv	NODE_2421292_length_77_cov_1.909091	77	No terminal repeats	1	11	0.9549	NA	1	1.6999	T_virB2	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1390176_length_78_cov_52.043478	78	No terminal repeats	1	11	0.7485	NA	1	1.314	T_virB3	NA
220811_JW_F18_DNA_Brine_B_contigs_plasmid_summary.tsv	NODE_1390982_length_78_cov_4.043478	78	No terminal repeats	1	11	0.7756	NA	1	1.314	T_virB3	NA
220808_BK_F14_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1942229_length_78_cov_15.434783	78	No terminal repeats	1	11	0.9151	NA	1	1.154	NA	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_1758826_length_78_cov_9.086957	78	No terminal repeats	1	11	0.9151	NA	1	1.154	NA	NA
220811_MW_F14_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_840306_length_78_cov_9.695652	78	No terminal repeats	1	11	0.9188	NA	1	1.154	NA	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1363273_length_79_cov_2.875000	79	No terminal repeats	1	11	0.7655	NA	1	1.314	T_virB3	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_1434939_length_79_cov_9.791667	79	No terminal repeats	1	11	0.8002	NA	1	1.314	T_virB3	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_1361845_length_80_cov_6.800000	80	No terminal repeats	1	11	0.8103	NA	1	1.314	T_virB3	NA
