seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_665179	6427	No terminal repeats	NA	10	11	0.9837	NA	1	16.6865	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_854233	4683	No terminal repeats	NA	8	11	0.9836	NA	2	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_797318	7686	No terminal repeats	NA	13	11	0.9836	NA	2	21.8254	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_791399	4156	No terminal repeats	NA	7	11	0.9836	NA	1	12.0192	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1580647	6137	No terminal repeats	NA	7	11	0.9835	NA	3	12.0230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_754980	4990	No terminal repeats	NA	7	11	0.9835	NA	1	11.3790	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_597835	6321	No terminal repeats	NA	10	11	0.9834	NA	1	16.6670	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_258545	5323	No terminal repeats	NA	6	11	0.9834	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_1244379	4993	No terminal repeats	NA	8	11	0.9834	NA	0	13.6867	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1618236	4615	No terminal repeats	NA	6	11	0.9834	NA	1	10.0873	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1178823	3457	No terminal repeats	NA	8	11	0.9834	NA	2	13.5413	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1324392	6023	No terminal repeats	NA	11	11	0.9834	NA	2	17.6332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_7703	3807	No terminal repeats	NA	6	11	0.9834	NA	2	10.3007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_972097	5549	No terminal repeats	NA	13	11	0.9833	NA	0	19.4577	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1367475	4872	No terminal repeats	NA	7	11	0.9833	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_472059	6020	No terminal repeats	NA	10	11	0.9833	NA	1	14.6150	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_529553	4809	No terminal repeats	NA	5	11	0.9833	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_396715	4422	No terminal repeats	NA	7	11	0.9833	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_208105	4363	No terminal repeats	NA	5	11	0.9833	NA	1	8.3749	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_816717	6407	No terminal repeats	NA	6	11	0.9833	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_258895	7245	No terminal repeats	NA	12	11	0.9833	NA	0	20.3193	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_458618	5805	No terminal repeats	NA	8	11	0.9833	NA	2	12.4711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1664435	5756	No terminal repeats	NA	8	11	0.9833	NA	2	11.4317	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_109561	7314	No terminal repeats	NA	10	11	0.9832	NA	2	13.4610	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1227012	8255	No terminal repeats	NA	9	11	0.9832	NA	7	15.4009	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1784575	3706	No terminal repeats	NA	6	11	0.9832	NA	2	10.2899	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1662341	4377	No terminal repeats	NA	9	11	0.9832	NA	0	14.7572	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1165606	5873	No terminal repeats	NA	5	11	0.9832	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1760782	4034	No terminal repeats	NA	7	11	0.9832	NA	1	11.2610	Viruses
k141_505671	4984	No terminal repeats	NA	8	11	0.9832	NA	1	11.8406	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_904403	6942	No terminal repeats	NA	10	11	0.9832	NA	2	16.5928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_211953	3937	No terminal repeats	NA	5	11	0.9832	NA	0	8.5859	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_931897	5287	No terminal repeats	NA	9	11	0.9832	NA	1	15.1504	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_981815	5503	No terminal repeats	NA	5	11	0.9831	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1511895	6135	No terminal repeats	NA	10	11	0.9831	NA	3	16.5703	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_360673	6148	No terminal repeats	NA	8	11	0.9831	NA	4	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_987552	5357	No terminal repeats	NA	7	11	0.9831	NA	0	10.5836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1684351	5355	No terminal repeats	NA	11	11	0.9831	NA	1	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1043335	5724	No terminal repeats	NA	7	11	0.9831	NA	0	12.0263	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_548120	6863	No terminal repeats	NA	9	11	0.9831	NA	2	15.2285	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1396783	6048	No terminal repeats	NA	7	11	0.9831	NA	5	11.7742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_814415	8088	No terminal repeats	NA	10	11	0.9831	NA	3	14.6313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
