contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_189900|provirus_1975_44198	42224	NA	56934.63141042236	74.16224353086889	low	12.2561147132961	3	CheckV-054129	46.13	17.98	37.89545711057375	100.0	10	1.0
k141_13449|provirus_4675_32813	28139	NA	74300.43697375382	37.871917240459744	medium	7.63126410322424	20	CheckV-060044	42.45	39.89	18.3388309352518	40.71035971223022	2	1.0
k141_76573|provirus_2_29906	29905	NA	74260.61374165758	40.27033779176047	medium	8.49858683739978	20	CheckV-060044	46.35	36.01	29.717552473977978	68.17760151910277	7	1.0
k141_40649	13137	NA	87501.68122530336	15.013425817698574	low	32.8609121902687	5	CheckV-014481	24.8	9.37	6.459999999999999	17.63	1	1.0
k141_188457	1301	NA	NA	NA	NA	NA	0	NA	NA	NA	1.2485248041775456	3.634817232375979	2	1.0
k141_177387	1128	NA	159305.78411597852	0.7080722186325565	low	12.972234865726	5	CheckV-003080	41.0	52.42	NA	NA	0	1.0
k141_188461	5944	NA	65758.03660222144	9.039199323963999	low	13.9757982883961	4	CheckV-060044	41.74	31.87	NA	NA	0	1.0
k141_225418	1324	NA	103257.0	1.2822375238482622	low	17.9409267776344	1	CheckV-044786	31.4	51.93	1.7	4.8	1	1.0
k141_114581	2745	NA	45155.53888222094	6.078988465091238	medium	7.56667930805488	223	CheckV-032358	43.94	100.0	2.0128522336769756	7.431288659793814	2	1.0
k141_62840	13077	NA	76255.43686499176	17.14894116094631	low	13.3435582822086	16	CheckV-060039	37.46	26.02	14.952631578947368	32.385069252077564	2	1.0
k141_125652	1696	NA	NA	NA	NA	NA	0	NA	NA	NA	1.97	6.6000000000000005	1	1.0
k141_147822	6027	NA	116911.2978690523	5.155190396355537	low	16.0458909824481	2	CheckV-044766	36.8	28.28	3.89	16.35	1	1.02
k141_147825	3595	NA	111046.8607897048	3.2373720197350178	high	4.71761886228158	3	CheckV-044766	62.3	47.81	NA	NA	0	1.0
k141_210633	2630	NA	41269.270803265485	6.372780397641283	medium	9.82267274135623	517	CheckV-031569	43.0	46.11	2.34	8.81	1	1.0
k141_188464	1519	NA	NA	NA	NA	NA	0	NA	NA	NA	1.95	5.5	1	1.0
k141_158926	1540	NA	240028.98203755167	0.6415891893250927	low	12.9831144465291	9	CheckV-002619	35.7	61.04	0.71	1.98	1	1.0
k141_59153	1031	NA	36885.88903149184	2.7951068201711755	high	2.90887460477086	2	CheckV-044817	76.4	100.0	0.92	3.45	1	1.0
k141_151531	3231	NA	46042.85301953144	7.017375744785853	high	3.80699424524126	53	CheckV-018112	69.52	56.17	3.3807387221733967	9.582470818863642	3	1.0
k141_25923	1946	NA	36656.26631044264	5.308778541489436	low	10.5427046263345	3	CheckV-044817	43.29	69.46	2.26	7.58	1	1.0
k141_133065	2816	NA	175785.13635756777	1.601955693382359	low	11.3661940130542	28	CheckV-018433	41.69	54.08	0.6495585996955859	3.805114155251142	2	1.0
k141_232817	2899	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_170001	4177	NA	106233.0	3.931923225363117	low	14.0086581853272	1	CheckV-000545	28.5	40.79	4.780000000000001	12.17	1	1.0
k141_29619	4875	NA	74097.68642274778	6.579152785131209	high	4.95140329802337	20	CheckV-060044	53.27	94.06	2.3253238275210446	10.011972169730287	3	1.0
k141_18544	2729	NA	60279.0	4.527281474477015	low	16.4303586321935	1	CheckV-061284	23.6	100.0	NA	NA	0	1.0
k141_195889	2802	NA	369986.5340161508	0.7573248597954881	medium	8.63813229571984	24	CheckV-062241	43.7	96.26	0.8283792048929663	1.1529357798165139	2	1.0
k141_70280	3946	NA	295413.3466659987	1.335755491257963	medium	8.30341430665155	4	CheckV-062241	51.95	51.76	1.5200000000000002	6.03	1	1.0
k141_133089	3702	NA	140626.09000952006	2.6325129282549087	medium	6.05636618029182	12	CheckV-044766	56.92	60.64	NA	NA	0	1.0
k141_166344	2972	NA	44975.81349166833	6.607996096725536	low	15.7159037542474	20	CheckV-003235	30.9	72.63	4.808609865470851	8.771614349775783	2	1.0
k141_44361	3842	NA	NA	NA	NA	NA	0	NA	NA	NA	0.86	1.13	1	1.0
