contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_279318	2053	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_163952	2327	NA	NA	NA	NA	NA	0	NA	NA	NA	2.9757558790593506	8.764759238521835	2	1.0
k141_230747	1470	NA	NA	NA	NA	NA	0	NA	NA	NA	1.12829373650108	3.508466522678186	2	1.0
k141_327904	2916	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_133599	1106	NA	NA	NA	NA	NA	0	NA	NA	NA	0.39	1.81	1	1.0
k141_78950	6132	NA	NA	NA	NA	NA	0	NA	NA	NA	7.904308905456707	14.810637194384375	6	1.0
k141_212536	5621	NA	NA	NA	NA	NA	0	NA	NA	NA	7.2941394658753715	18.31440652818991	2	1.0
k141_291488	2554	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_267188	8812	NA	NA	NA	NA	NA	0	NA	NA	NA	11.395223214738358	25.277592444259685	3	1.0
k141_327922	5336	NA	NA	NA	NA	NA	0	NA	NA	NA	2.3813332227252255	3.2784973098528125	3	1.0
k141_303638	2029	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_236845	4901	NA	NA	NA	NA	NA	0	NA	NA	NA	1.11	1.71	1	1.0
k141_230768	3009	NA	NA	NA	NA	NA	0	NA	NA	NA	3.7506177076183937	7.18656142759094	3	1.0
k141_206473	3923	NA	NA	NA	NA	NA	0	NA	NA	NA	1.3778156028368795	3.0725390070921987	2	1.0
k141_303640	3788	NA	NA	NA	NA	NA	0	NA	NA	NA	5.728914317610942	10.453340775886131	3	1.0
k141_267195	4739	NA	NA	NA	NA	NA	0	NA	NA	NA	7.21	14.25	1	1.0
k141_376491	13799	NA	NA	NA	NA	NA	0	NA	NA	NA	7.587154340836014	14.87532154340836	2	1.0
k141_103251	4230	NA	NA	NA	NA	NA	0	NA	NA	NA	39.44	96.09	1	1.0
k141_230774	2559	NA	NA	NA	NA	NA	0	NA	NA	NA	3.63	7.0	1	1.0
k141_382577	2931	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_285433	1001	NA	NA	NA	NA	NA	0	NA	NA	NA	1.8897183098591548	4.207786720321932	2	1.0
k141_297587	3317	NA	NA	NA	NA	NA	0	NA	NA	NA	1.4004841802492811	2.4598089302835233	3	1.0
k141_206490	2700	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_297595	1898	NA	NA	NA	NA	NA	0	NA	NA	NA	2.987466977466977	5.473512043512043	2	1.0
k141_139727	4171	NA	NA	NA	NA	NA	0	NA	NA	NA	7.219175367734289	15.864027120066302	5	1.0
k141_224704	3138	NA	NA	NA	NA	NA	0	NA	NA	NA	1.09	1.98	1	1.0
k141_127552	1789	NA	NA	NA	NA	NA	0	NA	NA	NA	2.36	4.64	1	1.0
k141_267213	5159	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_188308	4936	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_267220	3353	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_334043	4138	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_230823	10609	NA	NA	NA	NA	NA	0	NA	NA	NA	11.93895588983955	29.86100820255847	4	1.0
k141_358306	1632	NA	NA	NA	NA	NA	0	NA	NA	NA	2.44	5.35	1	1.0
k141_224725	1592	NA	NA	NA	NA	NA	0	NA	NA	NA	2.5	3.95	1	1.0
k141_78995	1141	NA	NA	NA	NA	NA	0	NA	NA	NA	1.4979999999999998	2.5769999999999995	2	1.0
k141_218660	5306	3641	NA	NA	NA	NA	0	NA	NA	NA	4.82	12.05	1	1.0
k141_133664	4298	NA	NA	NA	NA	NA	0	NA	NA	NA	4.489057116953762	12.855330915684497	2	1.0
k141_151897	13782	NA	NA	NA	NA	NA	0	NA	NA	NA	1.11	12.94	1	1.01
k141_194397	1272	NA	NA	NA	NA	NA	0	NA	NA	NA	1.8640988372093026	5.771293604651165	2	1.0
k141_194398	1511	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_358315	1942	NA	NA	NA	NA	NA	0	NA	NA	NA	3.950884084341218	5.033970887295302	3	1.0
k141_321916	2779	NA	NA	NA	NA	NA	0	NA	NA	NA	0.26573070984944974	1.1759206506784816	3	1.01
k141_42626	2780	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_6142	4739	NA	NA	NA	NA	NA	0	NA	NA	NA	2.1578240537767344	3.7902276682707767	7	1.0
k141_285512	8199	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_255136	2958	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_358324	2346	NA	NA	NA	NA	NA	0	NA	NA	NA	3.980213278438292	7.017742861544063	3	1.0
k141_194414	6632	NA	NA	NA	NA	NA	0	NA	NA	NA	10.137515081009868	20.78981170887295	3	1.0
k141_376554	3029	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_60833	3649	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.03
k141_151932	10001	NA	NA	NA	NA	NA	0	NA	NA	NA	8.680839941909896	27.61979866270633	6	1.0
k141_315909	4421	NA	NA	NA	NA	NA	0	NA	NA	NA	2.185762711864407	4.091864406779661	2	1.0
k141_242979	3843	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_97260	3684	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_230888	8140	NA	NA	NA	NA	NA	0	NA	NA	NA	2.14	6.14	1	1.0
k141_334094	1112	NA	NA	NA	NA	NA	0	NA	NA	NA	1.24	3.02	1	1.03
k141_194430	2412	NA	NA	NA	NA	NA	0	NA	NA	NA	0.62	1.52	1	1.0
k141_152	3242	NA	NA	NA	NA	NA	0	NA	NA	NA	6.53	9.84	1	1.0
k141_109396	1384	NA	NA	NA	NA	NA	0	NA	NA	NA	2.07	4.54	1	1.0
k141_346212	2797	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
