seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_1877496	6168	No terminal repeats	NA	7	11	0.9837	NA	1	10.4227	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_966118	6277	No terminal repeats	NA	7	11	0.9837	NA	2	11.2705	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1292492	6209	No terminal repeats	NA	7	11	0.9836	NA	1	11.7462	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_985635	3586	No terminal repeats	NA	9	11	0.9836	NA	1	15.2772	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1602612	6745	No terminal repeats	NA	17	11	0.9836	NA	1	27.0781	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1566154	4348	No terminal repeats	NA	5	11	0.9836	NA	3	8.5856	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_556064	4860	No terminal repeats	NA	10	11	0.9835	NA	2	16.9854	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1480698	4073	No terminal repeats	NA	11	11	0.9835	NA	2	16.3452	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
k141_138809	9140	No terminal repeats	NA	11	11	0.9835	NA	0	18.6203	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_721056	6221	No terminal repeats	NA	8	11	0.9835	NA	1	13.5556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_516103	7974	No terminal repeats	NA	7	11	0.9834	NA	1	12.0177	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_1369057	7930	No terminal repeats	NA	9	11	0.9834	NA	5	15.3224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
k141_376476	4109	No terminal repeats	NA	8	11	0.9834	NA	1	13.1367	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_936761	7036	No terminal repeats	NA	8	11	0.9834	NA	0	12.9407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_690053	4949	No terminal repeats	NA	8	11	0.9834	NA	0	13.2554	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_484398	7570	No terminal repeats	NA	11	11	0.9834	NA	3	17.0276	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_987684	5752	No terminal repeats	NA	9	11	0.9834	NA	3	14.6762	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_76912	5657	No terminal repeats	NA	9	11	0.9833	NA	4	15.1697	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_884162	6337	No terminal repeats	NA	7	11	0.9833	NA	2	11.9569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_778686	7324	No terminal repeats	NA	7	11	0.9833	NA	1	10.3056	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_756901	5682	No terminal repeats	NA	9	11	0.9833	NA	1	15.4024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_771540	5585	No terminal repeats	NA	7	11	0.9833	NA	1	11.4709	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_332487	5542	No terminal repeats	NA	5	11	0.9833	NA	2	8.5756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1176286	3856	No terminal repeats	NA	6	11	0.9833	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
