contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_556864|provirus_1_32205	32205	NA	87561.69851796822	36.7797799095815	medium	5.1679751894797	4	CheckV-000960	31.1	37.93	28.479386055399765	73.58769721625443	6	1.0
k141_1244211|provirus_2_5560	5559	NA	99798.0722837256	5.570247874323444	medium	7.1940049958368	24	CheckV-014457	63.3	29.28	2.655199149350937	11.977445394532808	3	1.0
k141_408060|provirus_2_9573	9572	NA	177203.47913919727	5.401699812271169	low	22.555739773824	81	CheckV-048945	31.7	18.53	4.7793154034229826	6.506454767726161	2	1.0
k141_1722747	2520	NA	98324.8572035195	2.562932783908277	high	1.8033946251768	54	CheckV-007432	97.0	60.4	2.733933054393305	6.807112970711297	2	1.0
k141_61535	1338	NA	325439.84715025907	0.4111358863139556	medium	9.71165752697683	3	CheckV-061307	50.0	27.63	NA	NA	0	1.0
k141_369177	8270	NA	139528.7233991359	5.9270950084899985	low	26.9204150716114	48	CheckV-020771	39.3	8.23	NA	NA	0	1.0
k141_1722753	6392	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_676831	1567	NA	296063.8801581794	0.5292776677664266	high	1.8723085564501	6	CheckV-019141	100.0	43.21	0.55	1.17	1	1.0
k141_1907349	4430	NA	178170.03252349576	2.486388949508557	high	4.8112493805814	143	CheckV-058914	72.0	18.57	1.9175180447347662	3.846992334213809	4	1.01
k141_1046003	1544	NA	122093.72046041783	1.264602302376851	medium	6.60958170163851	376	CheckV-046586	77.4	27.44	0.6791650670830557	1.3982816991058908	3	1.0
k141_922952	1061	NA	217363.40465600142	0.4881226449682894	low	10.6764514907398	16	CheckV-048521	47.1	100.0	0.48	2.89	1	1.0
k141_307670	4796	NA	59033.809575975996	8.124158062046783	low	10.4596183917162	1255	CheckV-057269	62.8	20.97	6.2802625963096075	11.096538968398997	6	1.0
k141_61575	4501	NA	6097.01805090581	73.82297317180002	medium	8.79473845212603	9	CheckV-007657	34.7	54.79	41.96	100.0	1	1.0
k141_1353660	2530	NA	742897.3714337252	0.3405584805229997	low	11.9200678430089	28	CheckV-050294	29.2	100.0	0.21	1.61	1	1.0
k141_1845877	1226	NA	153688.07113912364	0.7977196869691879	high	2.94385480123092	40	CheckV-059243	73.0	61.28	0.62	0.72	1	1.0
k141_1722822	1087	NA	57299.00741127844	1.897066021052994	high	0.0603500301750151	61	CheckV-001559	98.8	69.64	NA	NA	0	1.0
k141_1784415	5210	NA	43744.07391766304	11.910184702518755	low	14.6911520575663	4	CheckV-010436	34.2	37.01	5.907415591977122	13.722073580576419	5	1.0
k141_1169134	1483	NA	365119.94522459817	0.4061678961656708	high	1.61574618096357	46	CheckV-061307	84.0	58.16	0.41703081232492994	0.6002240896358543	2	1.0
k141_1599828	3468	NA	702202.6023865868	0.4938745581707124	low	19.7445197918309	27	CheckV-000133	41.6	21.96	0.28	1.94	1	1.0
k141_369293	2816	NA	92985.29744577625	3.028435760655744	low	21.4175654853621	2	CheckV-021443	30.9	27.91	NA	NA	0	1.0
k141_923063	1751	NA	177659.96263193781	0.9855906609794727	medium	8.76990056085545	297	CheckV-062175	51.1	78.42	0.78	1.61	1	1.0
k141_1476736	2439	NA	178219.66269694635	1.3685358636029952	medium	7.60627655447017	271	CheckV-014734	54.0	41.03	1.0462524908116726	1.5838303148385955	3	1.0
