File,Median_pI,n_structural
k141_355171.faa,4.0500284194946286,2
k141_32384.faa,4.358436775207521,1
k141_572379.faa,10.474516868591309,1
k141_265927.faa,4.322344017028808,2
k141_339095.faa,4.536627006530763,1
k141_286673.faa,4.577380561828614,1
k141_371614.faa,4.222477912902832,1
k141_670070.faa,4.0500284194946286,1
k141_155905.faa,4.779784202575684,1
k141_425556.faa,5.839291381835936,2
k141_607809.faa,4.0500284194946286,1
k141_354334.faa,4.0500284194946286,3
k141_484748.faa,4.806725883483887,3
k141_683060.faa,4.55174617767334,4
k141_655938.faa,4.607789421081542,1
k141_167079.faa,4.413172721862793,2
k141_230827.faa,4.817638969421386,1
k141_146937.faa,4.0500284194946286,4
k141_620427.faa,4.290684700012207,1
k141_459558.faa,4.544641304016113,3
k141_440009.faa,4.595739555358887,1
k141_74199.faa,4.419936561584472,1
k141_620797.faa,4.0500284194946286,2
k141_121412.faa,4.31842212677002,4
k141_207057.faa,4.307395362854004,2
k141_153483.faa,4.0500284194946286,3
k141_328084.faa,4.463645744323731,2
k141_131753.faa,4.508491706848145,1
k141_125134.faa,5.704952430725098,1
k141_479127.faa,4.134036445617675,1
k141_151688.faa,4.724991416931151,3
k141_297059.faa,4.0500284194946286,1
k141_661102.faa,4.736643409729004,3
k141_279183.faa,4.187806129455566,1
k141_42181.faa,5.079268836975095,1
k141_451732.faa,9.549073219299316,1
k141_249078.faa,4.471375846862792,1
k141_262405.faa,5.663801002502441,3
k141_315302.faa,4.759464263916015,2
k141_502396.faa,4.0500284194946286,1
k141_284641.faa,4.636379432678221,1
k141_87904.faa,4.152764892578125,2
k141_674022.faa,4.592727088928222,3
k141_650433.faa,4.898918724060058,5
k141_263597.faa,4.090327262878418,2
k141_533112.faa,4.0500284194946286,1
k141_626607.faa,4.7052114486694325,1
k141_423310.faa,4.5712987899780275,1
k141_362076.faa,4.4281213760375975,1
k141_13782.faa,4.310464668273926,1
k141_227515.faa,4.443581581115722,1
k141_320130.faa,4.1806444168090815,1
