gene	gene_id	scaffold	auxiliary_score	amg_flags	gene_description	module	sheet	header	subheader	potential_amg	gene_id_origin	metabolism	reference	verified
WATLvirus_00000034-cat_2_8	K01520	WATLvirus_00000034-cat_2	3	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00000051-cat_2_3	K00525	WATLvirus_00000051-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00004243-cat_2_11	K09883	WATLvirus_00004243-cat_2	3	MKF	cobT; cobaltochelatase CobT [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00004243-cat_2_12	K09882	WATLvirus_00004243-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00007531-cat_2_11	K00525	WATLvirus_00007531-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00012494-cat_1_74	K00525	WATLvirus_00012494-cat_1	2	MKE	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00020022-cat_2_10	K00558	WATLvirus_00020022-cat_2	3	MTF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00020024-cat_2_12	M17	WATLvirus_00020024-cat_2	3	MF	Catlytic type: Metallo; any N-terminal amino acid can be released from dipeptides and polypeptides, although there is a preference for leucine; bonds with proline in P1 are not cleaved; maximally active between pH 9 and 9.5	Aminopeptidases	Organic Nitrogen	Peptidase		True	genome_summary_form			
WATLvirus_00020182-cat_2_4	K01784	WATLvirus_00020182-cat_2	3	MKF	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	Nucleotide sugar biosynthesis, eukaryotes	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00020182-cat_2_4	K01784	WATLvirus_00020182-cat_2	3	MKF	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	carbon utilization	central carbon	glycolysis	True	genome_summary_form			
WATLvirus_00020182-cat_2_4	K01784	WATLvirus_00020182-cat_2	3	MKF	UDP-glucose 4-epimerase	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	True	genome_summary_form			
WATLvirus_00024522-cat_1_54	K00558	WATLvirus_00024522-cat_1	2	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00030603-cat_1_5	K00558	WATLvirus_00030603-cat_1	2	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00036381-cat_1_51	K01939	WATLvirus_00036381-cat_1	1	M	adenylosuccinate synthase [EC:6.3.4.4] [RN:R01135]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00036501-cat_1_4	K00526	WATLvirus_00036501-cat_1	2	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00036505-cat_2_8	K01520	WATLvirus_00036505-cat_2	3	MF	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00036506-cat_2_2	K09883	WATLvirus_00036506-cat_2	3	MKF	cobT; cobaltochelatase CobT [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00045923_provirus_2_121232-cat_1_108	K00558	WATLvirus_00045923_provirus_2_121232-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00045926-cat_1_69	K09882	WATLvirus_00045926-cat_1	2	M	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00045926-cat_1_70	K09883	WATLvirus_00045926-cat_1	2	MK	cobT; cobaltochelatase CobT [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00045932-cat_1_31	K00558	WATLvirus_00045932-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00045937-cat_1_13	K00558	WATLvirus_00045937-cat_1	2	M	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00046396-cat_2_5	K09883	WATLvirus_00046396-cat_2	3	MKF	cobT; cobaltochelatase CobT [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00046585-cat_2_2	K00558	WATLvirus_00046585-cat_2	3	MF	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Methionine degradation	Organic Nitrogen	Amino Acid		True	genome_summary_form			
WATLvirus_00057275-cat_1_45	K09882	WATLvirus_00057275-cat_1	2	M	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00057330-cat_2_2	K09882	WATLvirus_00057330-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00057349-cat_2_13	K00525	WATLvirus_00057349-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00060671-cat_2_2	K00525	WATLvirus_00060671-cat_2	3	MKEF	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00060672-cat_2_3	K00425	WATLvirus_00060672-cat_2	3	MKF	cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		True	genome_summary_form			
WATLvirus_00113162-cat_1_5	K01992	WATLvirus_00113162-cat_1	3	MF	ABC-2.P; ABC-2 type transport system permease protein	ABC-2 type transport system	Transporters			True	genome_summary_form			
WATLvirus_00114208-cat_1_32	K09883	WATLvirus_00114208-cat_1	1	MK	cobT; cobaltochelatase CobT [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00114208-cat_1_33	K09882	WATLvirus_00114208-cat_1	1	M	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00114278-cat_2_5	K00560	WATLvirus_00114278-cat_2	3	MF	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	MISC	Information systems	Nucleotide	True	genome_summary_form			
WATLvirus_00114280-cat_2_11	K09882	WATLvirus_00114280-cat_2	3	MF	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Cobalamin biosynthesis, precorrin2 => cobinamide	MISC	aerobic corrin ring synthesis		True	genome_summary_form			
WATLvirus_00114327-cat_2_8	U69	WATLvirus_00114327-cat_2	3	MF	Self-processing occurs at the Ser846|+|Ala bond.	Self-processing peptidases	Organic Nitrogen	Peptidase		True	genome_summary_form			
