seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_1304096	8177	No terminal repeats	NA	12	11	0.9837	NA	6	20.1494	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_166265	6769	No terminal repeats	NA	11	11	0.9837	NA	2	17.8626	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1031979	4771	No terminal repeats	NA	8	11	0.9836	NA	1	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1260295	7245	No terminal repeats	NA	9	11	0.9836	NA	0	14.4857	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_172368	6655	No terminal repeats	NA	7	11	0.9836	NA	5	11.5931	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_496405	4503	No terminal repeats	NA	8	11	0.9836	NA	0	13.1836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_306465	8017	No terminal repeats	NA	8	11	0.9836	NA	4	13.1263	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_813259	3879	No terminal repeats	NA	8	11	0.9836	NA	4	12.7653	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1443507	4889	No terminal repeats	NA	5	11	0.9835	NA	1	8.1419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_465690	8076	No terminal repeats	NA	11	11	0.9835	NA	1	18.4848	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1573818	3760	No terminal repeats	NA	7	11	0.9835	NA	3	11.0723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_176669	4856	No terminal repeats	NA	10	11	0.9835	NA	1	15.1753	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1232368	8739	No terminal repeats	NA	10	11	0.9834	NA	1	16.6692	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_414818	6685	No terminal repeats	NA	9	11	0.9834	NA	3	14.5066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_871413	4881	No terminal repeats	NA	9	11	0.9834	NA	2	15.1276	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1282603	4862	No terminal repeats	NA	8	11	0.9834	NA	1	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_465539	6899	No terminal repeats	NA	8	11	0.9834	NA	3	13.7435	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_438335	5847	No terminal repeats	NA	7	11	0.9834	NA	2	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
k141_1683297	6751	No terminal repeats	NA	8	11	0.9834	NA	1	11.5898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_506924	6143	No terminal repeats	NA	9	11	0.9833	NA	3	14.6481	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_436444	6169	No terminal repeats	NA	6	11	0.9833	NA	1	10.0200	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_189134	5945	No terminal repeats	NA	5	11	0.9833	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_974413	4102	No terminal repeats	NA	6	11	0.9833	NA	3	9.8320	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1175484	5822	No terminal repeats	NA	7	11	0.9833	NA	3	12.0122	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_446928	4095	No terminal repeats	NA	6	11	0.9833	NA	1	10.2233	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
k141_1053367	4633	No terminal repeats	NA	7	11	0.9832	NA	1	9.9168	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1178587	7458	No terminal repeats	NA	8	11	0.9832	NA	3	11.9936	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_128287	7162	No terminal repeats	NA	11	11	0.9832	NA	3	18.0695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1411145	6799	No terminal repeats	NA	9	11	0.9832	NA	1	14.0543	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_328180	6493	No terminal repeats	NA	8	11	0.9832	NA	1	13.2291	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_305585	4972	No terminal repeats	NA	9	11	0.9832	NA	1	15.1050	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_95481	5096	No terminal repeats	NA	8	11	0.9832	NA	2	13.2487	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_746215	7257	No terminal repeats	NA	9	11	0.9832	NA	0	14.0715	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_84516	6160	No terminal repeats	NA	7	11	0.9832	NA	4	10.8251	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1117506	6713	No terminal repeats	NA	9	11	0.9831	NA	1	11.7262	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_707785	4377	No terminal repeats	NA	7	11	0.9831	NA	1	9.4158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1522443	5909	No terminal repeats	NA	7	11	0.9831	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zobellviridae
k141_1522393	8133	No terminal repeats	NA	15	11	0.9831	NA	3	22.0741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1294558	8053	No terminal repeats	NA	9	11	0.9831	NA	3	14.5665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1304168	6029	No terminal repeats	NA	9	11	0.9831	NA	3	11.7835	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_572570	4532	No terminal repeats	NA	5	11	0.9831	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_994304	6520	No terminal repeats	NA	11	11	0.9831	NA	2	16.7033	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1495944	4767	No terminal repeats	NA	5	11	0.9831	NA	5	6.7714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1065756	5841	No terminal repeats	NA	7	11	0.9831	NA	1	10.0604	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_400719	6251	No terminal repeats	NA	11	11	0.9831	NA	4	14.1966	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_764943	8847	No terminal repeats	NA	8	11	0.9830	NA	3	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_502263	8359	No terminal repeats	NA	9	11	0.9830	NA	2	11.6797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_904566	6862	No terminal repeats	NA	7	11	0.9830	NA	0	10.7526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1106713	8292	No terminal repeats	NA	10	11	0.9830	NA	4	13.5177	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1005150	3551	No terminal repeats	NA	6	11	0.9830	NA	1	9.6360	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1468314	23227	No terminal repeats	NA	25	11	0.9830	NA	4	28.1521	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
k141_550646	6286	No terminal repeats	NA	10	11	0.9830	NA	3	15.4396	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_1437544	6012	No terminal repeats	NA	6	11	0.9830	NA	1	9.2540	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
k141_903489	3666	No terminal repeats	NA	9	11	0.9830	NA	2	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
