metagenome_origin	seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_14831_length_2683_cov_5.308219	2683	No terminal repeats	4	11	0.7429	NA	0	1.5384	B_traF	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_2161_length_5842_cov_5.679972	5842	No terminal repeats	7	11	0.9882	NA	7	9.1936	F_traF;F_traN;F_trbC;F_traU;F_traW	NA
220808_BK_F11_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_19321_length_2155_cov_144.748571	2155	No terminal repeats	2	11	0.9013	NA	1	1.4173	F_traG	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_10142_length_2435_cov_5.906303	2435	No terminal repeats	1	11	0.9638	NA	1	1.3264	F_traG	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_5251_length_2772_cov_7.409275	2772	No terminal repeats	2	11	0.7555	NA	1	1.4173	F_traG	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_1385_length_3059_cov_4.677763	3059	No terminal repeats	2	11	0.9099	NA	1	1.4173	F_traG	NA
220808_BK_F11_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_9497_length_3100_cov_13.991790	3100	No terminal repeats	4	11	0.8882	NA	1	1.4173	F_traG	NA
220816_LF_B4_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3207_length_3314_cov_134.805769	3314	No terminal repeats	2	11	0.8177	NA	1	1.4173	F_traG	NA
220816_LF_B5_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_4600_length_3314_cov_50.615833	3314	No terminal repeats	2	11	0.843	NA	1	1.4173	F_traG	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_8509_length_3501_cov_7.986071	3501	No terminal repeats	2	11	0.8472	NA	1	1.4173	F_traG	NA
220806_BK_F6E_DNA_brine_contigs_plasmid_summary.tsv	NODE_6311_length_5018_cov_67.672376	5018	No terminal repeats	5	11	0.8397	NA	1	0.3492	F_traG	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_2792_length_7093_cov_9.509662	7093	No terminal repeats	5	11	0.9063	NA	1	0.9731	F_traG	NF000237
220805_MW_S3_DNA_Brine_contigs_plasmid_summary.tsv	NODE_1313_length_7560_cov_5.483011	7560	No terminal repeats	6	11	0.8448	NA	1	1.4173	F_traG	NA
220815_LF_B2_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_2187_length_8202_cov_9.889284	8202	No terminal repeats	9	11	0.9624	NA	1	2.0465	F_traG	NA
220811_JW_F19_DNA_Brine_A_contigs_plasmid_summary.tsv	NODE_569_length_13670_cov_208.011017	13670	No terminal repeats	16	11	0.925	NA	1	1.9291	F_traG	NA
220805_MW_S4_DNA_Brine_contigs_plasmid_summary.tsv	NODE_396_length_17637_cov_10.705381	17637	No terminal repeats	21	11	0.8799	NA	1	1.1456	F_traG	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_8163_length_2134_cov_5.167388	2134	No terminal repeats	4	11	0.9816	NA	1	2.0219	F_traH	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_8798_length_2043_cov_4.084004	2043	No terminal repeats	4	11	0.9947	NA	4	5.9081	F_traK;F_traE;F_traL	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_343_length_17254_cov_6.595209	17254	No terminal repeats	14	11	0.9895	NA	5	8.8635	F_traK;F_traE;F_traL	NA
220816_LF_B4_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3489_length_3159_cov_6.050580	3159	No terminal repeats	5	11	0.8297	NA	1	0.8461	F_traL	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_8495_length_2088_cov_3.259715	2088	No terminal repeats	3	11	0.9889	NA	3	3.817	F_traN;F_trbC;F_traU	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_6954_length_2341_cov_4.182415	2341	No terminal repeats	2	11	0.994	NA	1	2.9963	F_traV	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_3208_length_4654_cov_5.803218	4654	No terminal repeats	4	11	0.9949	NA	1	5.1547	F_traV	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_2209_length_5779_cov_6.282669	5779	No terminal repeats	6	11	0.9952	NA	2	6.3581	F_traV	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_7392_length_2260_cov_3.240816	2260	No terminal repeats	5	11	0.9931	NA	3	5.781	F_traW	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_3699_length_4286_cov_6.127157	4286	No terminal repeats	8	11	0.9935	NA	3	7.2864	F_traW	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_12324_length_2192_cov_4.697239	2192	No terminal repeats	5	11	0.9881	NA	2	4.0867	F_traW;F_traU	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_995_length_9174_cov_6.393793	9174	No terminal repeats	10	11	0.9958	NA	8	13.3044	F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH	NA
220809_MW_F8_DNA_BrineA_A_contigs_plasmid_summary.tsv	NODE_411_length_15427_cov_6.173432	15427	No terminal repeats	14	11	0.9914	NA	4	8.8049	F_trbC;F_traF;F_traH;F_traG	NA
220806_MW_S6_DNA_Brine_contigs_plasmid_summary.tsv	NODE_7845_length_2195_cov_3.449533	2195	No terminal repeats	3	11	0.9211	NA	2	3.1576	G_tfc14;G_tfc13;G_tfc12	NA
220806_MW_S6_DNA_Brine_contigs_plasmid_summary.tsv	NODE_6750_length_2352_cov_2.980409	2352	No terminal repeats	2	11	0.8407	NA	1	2.2747	G_tfc23;G_tfc22	NA
220808_BK_F15_DNA_brine_B_contigs_plasmid_summary.tsv	NODE_6941_length_2810_cov_4.434846	2810	No terminal repeats	4	11	0.7546	NA	1	1.1702	G_tfc7	NA
220809_MW_F8_DNA_BrineB_A_contigs_plasmid_summary.tsv	NODE_9007_length_2017_cov_4.548420	2017	No terminal repeats	3	11	0.9451	NA	1	2.2881	I_traI	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_5084_length_2164_cov_8.961593	2164	No terminal repeats	3	11	0.7866	NA	1	1.1508	I_traI	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_2348_length_2846_cov_4.438552	2846	No terminal repeats	4	11	0.7686	NA	1	2.2881	I_traI	NA
220811_JW_F21_DNA_Brine_contigs_plasmid_summary.tsv	NODE_1349_length_3096_cov_36.130220	3096	No terminal repeats	5	11	0.9315	NA	1	2.8691	I_traI	NA
220805_BK_F3_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3079_length_3096_cov_25.953305	3096	No terminal repeats	5	11	0.9365	NA	1	2.8691	I_traI	NA
220808_BK_F9_DNA_brine_A_contigs_plasmid_summary.tsv	NODE_2053_length_3150_cov_15.820032	3150	No terminal repeats	5	11	0.9386	NA	1	2.8691	I_traI	NA
220808_BK_F12_DNA_brine_C_contigs_plasmid_summary.tsv	NODE_3347_length_4221_cov_7.850696	4221	No terminal repeats	5	11	0.9193	NA	1	2.2881	I_traI	NA
220814_MW_F9_DNA_Brine_C_contigs_plasmid_summary.tsv	NODE_680_length_4408_cov_17.740409	4408	No terminal repeats	6	11	0.9656	NA	1	4.0064	I_traI	NA
