contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_1650903|provirus_10536_58755	48220	NA	407435.3965472271	11.835005109677718	medium	7.35080622818197	3	CheckV-014862	32.98	24.06	30.03	96.29	1	1.0
k141_1515690|provirus_1_11999	11999	NA	100029.86019242647	11.995418145059526	medium	7.52860853030347	195	CheckV-016006	45.43	42.53	9.285482580233179	22.11938552494541	5	1.0
k141_1164446|provirus_3_3411	3409	3214	84184.50997525653	3.8178044879570567	low	14.8448260270765	67	CheckV-014689	39.6	29.29	3.8013124881773597	8.91224946405322	4	1.0
k141_1165364|provirus_4_25414	25411	NA	164768.18261140335	15.422273643650266	low	26.8672114679771	52	CheckV-000484	41.61	6.99	8.559622641509435	20.13075471698113	2	1.0
k141_732676|provirus_19094_24818	5725	4211	58618.258028653014	7.183768575895984	low	15.15892931936	24	CheckV-000253	77.8	12.29	2.7331291796844743	10.561704407549898	3	1.0
k141_1383408|provirus_8850_27048	18199	NA	128102.06606297882	14.206640501061727	low	16.7308326916731	7	CheckV-000201	31.53	14.99	11.14	31.26	1	1.0
k141_463818|provirus_3482_36665	33184	NA	80750.56340625885	41.094450119251995	high	3.5948207353361	2	CheckV-010398	26.2	39.77	18.093833031015688	64.28347310534377	4	1.0
k141_1059418|provirus_3_26957	26955	NA	63477.40297701314	42.46393005359896	high	2.23509933774834	8	CheckV-016139	68.4	78.41	32.66777115433981	69.1697204004273	7	1.0
k141_328801|provirus_1836_6568	4733	NA	124682.69641073905	3.7960359666975743	low	16.0458909824481	26	CheckV-026106	34.92	31.83	3.2	11.01	1	1.0
k141_194438|provirus_5263_11913	6651	NA	41301.26833669546	16.103621675198536	medium	5.25388435047253	25	CheckV-020097	48.48	74.62	10.583326641974521	25.291520656345707	8	1.0
k141_790554|provirus_5973_14660	8688	NA	180875.24798391474	4.803310622563805	low	17.7188662440404	303	CheckV-053404	29.1	23.43	2.51	11.19	1	1.0
k141_8401|provirus_5436_41508	36073	NA	156654.5625481812	23.027098230161837	low	13.0153246546824	47	CheckV-000202	37.75	12.8	17.063109656301144	33.4084124386252	2	1.0
k141_170807|provirus_3904_17452	13549	NA	379909.43511392444	3.5663762854262955	low	20.3878139483986	11	CheckV-045085	47.8	9.96	7.159351446099912	28.71980718667835	2	1.0
k141_224306|provirus_2_28641	28640	NA	44908.0	63.77482853834506	low	11.4429041549327	1	CheckV-019108	38.92	20.39	14.944391978737967	56.15322629871081	6	1.0
k141_1443717|provirus_5127_18921	13795	NA	45417.13850447494	30.37399636844312	medium	8.13503653657515	2	CheckV-020097	44.3	76.8	25.83329494294158	44.941584646888856	11	1.0
k141_578055|provirus_14526_23794	9269	NA	44027.08880594619	21.0529477450895	medium	7.81059947871416	37	CheckV-005165	42.34	54.23	15.059718680228231	26.266795832299675	4	1.01
k141_472937|provirus_5967_33846	27880	NA	203753.76039166676	13.683183047226967	medium	7.17609750786514	11	CheckV-061429	55.72	22.19	10.480580840521094	35.45719385203126	5	1.0
k141_473423|provirus_4715_23813	19099	NA	340986.49566999567	5.6011015810092015	medium	9.11203640941222	3	CheckV-000484	33.2	23.7	NA	NA	0	1.01
k141_284351|provirus_1_27621	27621	NA	84449.92882014412	32.70695474335494	high	4.9975770009041	168	CheckV-041203	37.32	64.03	20.306314188521462	45.80154944517976	6	1.0
k141_1556376|provirus_3_12668	12666	NA	35179.005410415295	36.004428926379006	low	11.4453806865935	126	CheckV-017481	34.73	34.96	23.63262714067041	37.033915385200864	4	1.0
k141_1369173|provirus_1_94299	94299	NA	168278.02938856016	56.037618423888325	medium	7.23120837297812	4	CheckV-020851	49.3	43.97	58.30515941064854	98.03249363333606	17	1.0
k141_151001|provirus_4869_45725	40857	NA	163580.2116217745	24.976737464106225	low	11.5877136788159	15	CheckV-019111	24.36	16.55	10.83	42.3	1	1.0
k141_1179649|provirus_11490_99410	87921	NA	167506.36057275528	52.4881560911307	low	35.9439843853632	113	CheckV-000715	39.76	5.43	48.078238446912565	92.30043910668923	8	1.0
k141_1588072|provirus_2827_27135	24309	NA	88823.2533505672	27.36783340287858	low	14.2746572313136	556	CheckV-002057	57.9	11.53	8.266387195121952	21.72015243902439	2	1.0
k141_181509|provirus_11209_29143	17935	NA	44510.92756495405	40.293476189252075	low	13.3626373626374	126	CheckV-049710	31.14	22.01	16.57	48.92999999999999	1	1.0
k141_1724390|provirus_20451_44822	24372	NA	53653.12999793687	45.42512245033455	medium	8.34098931386297	7	CheckV-047960	47.3	29.18	36.68914123055162	63.711192671679825	10	1.0
