seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_1852562	7160	No terminal repeats	NA	9	11	0.9838	NA	1	14.9514	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1503893	6292	No terminal repeats	NA	9	11	0.9837	NA	2	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_35476	7490	No terminal repeats	NA	13	11	0.9837	NA	2	21.4772	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1547824	4619	No terminal repeats	NA	6	11	0.9837	NA	0	9.0803	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1782108	4817	No terminal repeats	NA	7	11	0.9837	NA	1	11.7224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_711995	5835	No terminal repeats	NA	6	11	0.9836	NA	1	10.0048	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2351264	8099	No terminal repeats	NA	9	11	0.9836	NA	5	15.3378	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1759959	3995	No terminal repeats	NA	7	11	0.9836	NA	3	12.0239	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_771966	7398	No terminal repeats	NA	11	11	0.9836	NA	5	17.9882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_673658	3963	No terminal repeats	NA	8	11	0.9836	NA	0	12.7482	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1856610	8489	No terminal repeats	NA	15	11	0.9836	NA	1	25.2384	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2322514	4822	No terminal repeats	NA	9	11	0.9836	NA	3	15.2775	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2264842	6253	No terminal repeats	NA	8	11	0.9836	NA	2	13.5399	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1820943	4495	No terminal repeats	NA	8	11	0.9836	NA	0	12.9262	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1477349	4390	No terminal repeats	NA	8	11	0.9836	NA	1	13.5499	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1951856	7600	No terminal repeats	NA	12	11	0.9836	NA	2	20.1832	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1074791	4261	No terminal repeats	NA	7	11	0.9836	NA	3	11.8216	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_82177	4888	No terminal repeats	NA	6	11	0.9836	NA	3	10.0962	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1467780	16391	No terminal repeats	NA	19	11	0.9836	NA	7	30.2386	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_74089	7206	No terminal repeats	NA	9	11	0.9836	NA	2	15.2704	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1181862	8142	No terminal repeats	NA	9	11	0.9836	NA	0	15.2695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2042609	4357	No terminal repeats	NA	6	11	0.9836	NA	1	10.0986	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_214289	6260	No terminal repeats	NA	8	11	0.9836	NA	2	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2317002	5186	No terminal repeats	NA	8	11	0.9836	NA	2	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1335319	6055	No terminal repeats	NA	14	11	0.9836	NA	2	24.0511	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_111450	7959	No terminal repeats	NA	17	11	0.9835	NA	3	27.2625	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1846537	4749	No terminal repeats	NA	9	11	0.9835	NA	0	14.6000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1538324	6862	No terminal repeats	NA	10	15	0.9835	NA	1	16.6725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1444782	6318	No terminal repeats	NA	6	11	0.9835	NA	0	10.3075	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae
k141_7581	9413	No terminal repeats	NA	12	11	0.9835	NA	5	19.6196	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_488946	26323	No terminal repeats	NA	35	11	0.9835	NA	0	52.6972	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1265528	6775	No terminal repeats	NA	9	11	0.9835	NA	5	14.2622	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1950104	5385	No terminal repeats	NA	9	11	0.9835	NA	5	14.7104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2110301	7139	No terminal repeats	NA	7	11	0.9835	NA	1	11.9569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_695231	6393	No terminal repeats	NA	10	11	0.9835	NA	2	16.4168	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_819148	6711	No terminal repeats	NA	11	11	0.9835	NA	0	18.3882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_770119	6306	No terminal repeats	NA	10	11	0.9835	NA	0	15.2624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_30102	4529	No terminal repeats	NA	5	11	0.9835	NA	0	8.0245	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
